year,name,Humanitarian,Education,Health,Refugees in Donor Countries,Environment Protection,source
2018,Italy,0.1064,0.0619,0.0679,0.2222,0.0214,OECD DAC Creditor Reporting System (CRS)
2018,Japan,0.0454,0.0473,0.0542,0.0,0.0077,OECD DAC Creditor Reporting System (CRS)
2018,Latvia,0.1551,0.0722,0.0432,0.0346,0.0282,OECD DAC Creditor Reporting System (CRS)
2018,Lithuania,0.1536,0.1124,0.0384,0.0192,0.027,OECD DAC Creditor Reporting System (CRS)
2018,Luxembourg,0.156,0.1236,0.1356,,0.008,OECD DAC Creditor Reporting System (CRS)
2018,Netherlands,0.0814,0.0528,0.1165,0.1137,0.0186,OECD DAC Creditor Reporting System (CRS)
2018,New Zealand,0.0924,0.1437,0.0513,0.0329,0.0121,OECD DAC Creditor Reporting System (CRS)
2018,Norway,0.1328,0.0851,0.1184,0.0214,0.098,OECD DAC Creditor Reporting System (CRS)
2018,Poland,0.1371,0.174,0.0329,0.0079,0.019,OECD DAC Creditor Reporting System (CRS)
2018,Portugal,0.0884,0.1726,0.0477,0.0218,0.0159,OECD DAC Creditor Reporting System (CRS)
2018,Slovakia,0.1444,0.0861,0.0497,0.0062,0.0212,OECD DAC Creditor Reporting System (CRS)
2018,Slovenia,0.1096,0.1787,0.0308,0.0283,0.0282,OECD DAC Creditor Reporting System (CRS)
2018,South Korea,0.0152,0.0242,0.0352,0.0002,0.0069,OECD DAC Creditor Reporting System (CRS)
2018,Spain,0.0888,0.0649,0.0494,0.0908,0.0223,OECD DAC Creditor Reporting System (CRS)
2018,Sweden,0.1351,0.0481,0.0914,0.089,0.0646,OECD DAC Creditor Reporting System (CRS)
2018,Switzerland,0.1211,0.0593,0.0655,0.0934,0.0304,OECD DAC Creditor Reporting System (CRS)
2018,United Kingdom,0.1167,0.0689,0.1467,0.0245,0.0315,OECD DAC Creditor Reporting System (CRS)
2018,United States,0.2122,0.0511,0.2942,0.0473,0.0198,OECD DAC Creditor Reporting System (CRS)
2019,Australia,0.0802,0.0598,0.11,,0.0123,OECD DAC Creditor Reporting System (CRS)
2019,Austria,0.071,0.1372,0.0299,0.0203,0.0324,OECD DAC Creditor Reporting System (CRS)
2019,Belgium,0.1236,0.0782,0.0802,0.0588,0.0319,OECD DAC Creditor Reporting System (CRS)
2019,Canada,0.1438,0.0721,0.18,0.1023,0.0336,OECD DAC Creditor Reporting System (CRS)
2019,Czechia,0.1576,0.0797,0.0423,0.0203,0.0236,OECD DAC Creditor Reporting System (CRS)
2019,Denmark,0.1809,0.0444,0.061,0.0184,0.016,OECD DAC Creditor Reporting System (CRS)
2019,Estonia,0.1655,0.1054,0.0356,0.0138,0.0204,OECD DAC Creditor Reporting System (CRS)
2019,Finland,0.095,0.0665,0.0412,0.0733,0.0123,OECD DAC Creditor Reporting System (CRS)
2019,France,0.0377,0.1033,0.0617,0.0799,0.0372,OECD DAC Creditor Reporting System (CRS)
2019,Germany,0.1024,0.1113,0.0521,0.1088,0.0403,OECD DAC Creditor Reporting System (CRS)
2019,Greece,0.0928,0.0473,0.027,0.377,0.0165,OECD DAC Creditor Reporting System (CRS)
2019,Hungary,0.1041,0.368,0.0433,0.0016,0.013,OECD DAC Creditor Reporting System (CRS)
2019,Iceland,0.1092,0.0922,0.0797,0.1344,0.001,OECD DAC Creditor Reporting System (CRS)
2019,Ireland,0.2052,0.0764,0.1158,0.0893,0.0188,OECD DAC Creditor Reporting System (CRS)
2019,Italy,0.11,0.0752,0.0789,0.1055,0.0297,OECD DAC Creditor Reporting System (CRS)
2019,Japan,0.0406,0.0507,0.0546,0.0,0.0129,OECD DAC Creditor Reporting System (CRS)
2019,Latvia,0.162,0.0921,0.039,0.0318,0.0238,OECD DAC Creditor Reporting System (CRS)
2019,Lithuania,0.1538,0.1174,0.035,0.0189,0.0229,OECD DAC Creditor Reporting System (CRS)
2019,Luxembourg,0.1537,0.1257,0.1498,0.0005,0.006,OECD DAC Creditor Reporting System (CRS)
2019,Netherlands,0.0726,0.0386,0.1062,0.0976,0.0236,OECD DAC Creditor Reporting System (CRS)
2019,New Zealand,0.0877,0.1404,0.0484,0.0313,0.0235,OECD DAC Creditor Reporting System (CRS)
2019,Norway,0.1426,0.0818,0.1136,0.0132,0.0999,OECD DAC Creditor Reporting System (CRS)
2019,Poland,0.1236,0.2244,0.046,0.0075,0.0177,OECD DAC Creditor Reporting System (CRS)
2019,Portugal,0.0986,0.1846,0.0547,0.0176,0.0159,OECD DAC Creditor Reporting System (CRS)
2019,Slovakia,0.1431,0.0901,0.0442,0.0078,0.0217,OECD DAC Creditor Reporting System (CRS)
2019,Slovenia,0.109,0.2103,0.0284,0.0264,0.0253,OECD DAC Creditor Reporting System (CRS)
2019,South Korea,0.0315,0.0526,0.0614,0.0003,0.0085,OECD DAC Creditor Reporting System (CRS)
2019,Spain,0.0951,0.0593,0.045,0.1016,0.0271,OECD DAC Creditor Reporting System (CRS)
2019,Sweden,0.141,0.0459,0.0966,0.0511,0.0393,OECD DAC Creditor Reporting System (CRS)
2019,Switzerland,0.1234,0.0568,0.0655,0.0916,0.022,OECD DAC Creditor Reporting System (CRS)
2019,United Kingdom,0.1366,0.0665,0.144,0.0303,0.0287,OECD DAC Creditor Reporting System (CRS)
2019,United States,0.252,0.045,0.2402,0.0578,0.0179,OECD DAC Creditor Reporting System (CRS)
2020,Australia,0.0968,0.0586,0.1656,,0.0133,OECD DAC Creditor Reporting System (CRS)
2020,Austria,0.0846,0.1394,0.0298,0.0204,0.0263,OECD DAC Creditor Reporting System (CRS)
2020,Belgium,0.1317,0.0762,0.0852,0.0561,0.0303,OECD DAC Creditor Reporting System (CRS)
2020,Canada,0.1358,0.0688,0.1605,0.1268,0.0148,OECD DAC Creditor Reporting System (CRS)
2020,Czechia,0.1773,0.0841,0.0545,0.0192,0.0266,OECD DAC Creditor Reporting System (CRS)
2020,Denmark,0.1788,0.0612,0.066,0.0217,0.0185,OECD DAC Creditor Reporting System (CRS)
2020,Estonia,0.1933,0.091,0.0456,0.0127,0.0215,OECD DAC Creditor Reporting System (CRS)
2020,Finland,0.1262,0.0749,0.0713,0.0441,0.0136,OECD DAC Creditor Reporting System (CRS)
2020,France,0.03,0.0956,0.0542,0.0644,0.0548,OECD DAC Creditor Reporting System (CRS)
2020,Germany,0.0818,0.104,0.0942,0.0781,0.0387,OECD DAC Creditor Reporting System (CRS)
2020,Greece,0.0987,0.052,0.0316,0.2576,0.0185,OECD DAC Creditor Reporting System (CRS)
2020,Hungary,0.0825,0.3085,0.0786,0.0063,0.0106,OECD DAC Creditor Reporting System (CRS)
2020,Iceland,0.1032,0.1055,0.1879,0.1039,0.0015,OECD DAC Creditor Reporting System (CRS)
2020,Ireland,0.2162,0.0719,0.1288,0.0396,0.0197,OECD DAC Creditor Reporting System (CRS)
2020,Italy,0.1145,0.0728,0.0788,0.0529,0.0281,OECD DAC Creditor Reporting System (CRS)
2020,Japan,0.0334,0.0362,0.0937,0.0,0.0103,OECD DAC Creditor Reporting System (CRS)
2020,Latvia,0.1518,0.0901,0.0434,0.0263,0.0201,OECD DAC Creditor Reporting System (CRS)
2020,Lithuania,0.1551,0.1124,0.0362,0.017,0.0201,OECD DAC Creditor Reporting System (CRS)
2020,Luxembourg,0.1842,0.1072,0.1195,0.0004,0.0078,OECD DAC Creditor Reporting System (CRS)
2020,Netherlands,0.0958,0.0349,0.1015,0.1079,0.0183,OECD DAC Creditor Reporting System (CRS)
2020,New Zealand,0.0806,0.1343,0.108,0.0162,0.0176,OECD DAC Creditor Reporting System (CRS)
2020,Norway,0.1339,0.0806,0.144,0.0107,0.085,OECD DAC Creditor Reporting System (CRS)
2020,Poland,0.1546,0.2085,0.0437,0.0082,0.0171,OECD DAC Creditor Reporting System (CRS)
2020,Portugal,0.0825,0.1554,0.0445,0.0196,0.0163,OECD DAC Creditor Reporting System (CRS)
2020,Slovakia,0.1222,0.0696,0.0466,0.0071,0.017,OECD DAC Creditor Reporting System (CRS)
2020,Slovenia,0.1134,0.2337,0.0355,0.0301,0.0168,OECD DAC Creditor Reporting System (CRS)
2020,South Korea,0.0406,0.0465,0.1494,0.0003,0.0176,OECD DAC Creditor Reporting System (CRS)
2020,Spain,0.1124,0.0641,0.0668,0.0667,0.0156,OECD DAC Creditor Reporting System (CRS)
2020,Sweden,0.1379,0.0402,0.0974,0.0242,0.0328,OECD DAC Creditor Reporting System (CRS)
2020,Switzerland,0.1806,0.0533,0.0973,0.0901,0.0195,OECD DAC Creditor Reporting System (CRS)
2020,United Kingdom,0.1229,0.0485,0.1582,0.0395,0.0221,OECD DAC Creditor Reporting System (CRS)
2020,United States,0.2468,0.039,0.2879,0.0415,0.0129,OECD DAC Creditor Reporting System (CRS)
2021,Australia,0.1087,0.0632,0.2385,,0.0152,OECD DAC Creditor Reporting System (CRS)
2021,Austria,0.1217,0.1419,0.0576,0.0386,0.018,OECD DAC Creditor Reporting System (CRS)
2021,Belgium,0.1283,0.0702,0.0944,0.092,0.0311,OECD DAC Creditor Reporting System (CRS)
2021,Canada,0.1377,0.0505,0.3121,0.073,0.0141,OECD DAC Creditor Reporting System (CRS)
2021,Czechia,0.1732,0.071,0.1051,0.0179,0.0213,OECD DAC Creditor Reporting System (CRS)
2021,Denmark,0.1716,0.041,0.0909,0.021,0.0265,OECD DAC Creditor Reporting System (CRS)
2021,Estonia,0.1605,0.0939,0.094,,0.0238,OECD DAC Creditor Reporting System (CRS)
2021,Finland,0.1139,0.0871,0.0619,0.0446,0.0165,OECD DAC Creditor Reporting System (CRS)
2021,France,0.0339,0.0894,0.1019,0.0584,0.0497,OECD DAC Creditor Reporting System (CRS)
2021,Germany,0.1008,0.0977,0.1234,0.0713,0.0392,OECD DAC Creditor Reporting System (CRS)
2021,Greece,0.1161,0.0542,0.1445,0.1205,0.0192,OECD DAC Creditor Reporting System (CRS)
2021,Hungary,0.0698,0.3277,0.1721,0.0033,0.0103,OECD DAC Creditor Reporting System (CRS)
2021,Iceland,0.1472,0.1046,0.2316,0.0645,0.0117,OECD DAC Creditor Reporting System (CRS)
2021,Ireland,0.2273,0.0627,0.1323,0.0451,0.0241,OECD DAC Creditor Reporting System (CRS)
2021,Italy,0.101,0.0611,0.1633,0.0871,0.0236,OECD DAC Creditor Reporting System (CRS)
2021,Japan,0.0579,0.0321,0.0975,0.0,0.0112,OECD DAC Creditor Reporting System (CRS)
2021,Latvia,0.1568,0.0679,0.1006,0.0399,0.0203,OECD DAC Creditor Reporting System (CRS)
2021,Lithuania,0.1505,0.1174,0.0913,0.0226,0.0198,OECD DAC Creditor Reporting System (CRS)
2021,Luxembourg,0.1728,0.116,0.1493,,0.0051,OECD DAC Creditor Reporting System (CRS)
2021,Netherlands,0.0927,0.031,0.1213,0.0807,0.0279,OECD DAC Creditor Reporting System (CRS)
2021,New Zealand,0.0769,0.0948,0.1402,0.0174,0.028,OECD DAC Creditor Reporting System (CRS)
2021,Norway,0.143,0.0784,0.1743,0.0105,0.0838,OECD DAC Creditor Reporting System (CRS)
2021,Poland,0.1452,0.1884,0.0987,0.0172,0.0173,OECD DAC Creditor Reporting System (CRS)
2021,Portugal,0.0955,0.1641,0.1047,0.0209,0.0172,OECD DAC Creditor Reporting System (CRS)
2021,Slovakia,0.1365,0.0674,0.1338,0.0072,0.0181,OECD DAC Creditor Reporting System (CRS)
2021,Slovenia,0.12,0.198,0.1473,0.0206,0.0262,OECD DAC Creditor Reporting System (CRS)
2021,South Korea,0.0426,0.0463,0.1372,0.0001,0.0087,OECD DAC Creditor Reporting System (CRS)
2021,Spain,0.1192,0.0535,0.1743,0.0663,0.0197,OECD DAC Creditor Reporting System (CRS)
2021,Sweden,0.1534,0.0397,0.121,0.0152,0.0394,OECD DAC Creditor Reporting System (CRS)
2021,Switzerland,0.1144,0.0543,0.1445,0.0966,0.015,OECD DAC Creditor Reporting System (CRS)
2021,United Kingdom,0.0841,0.0469,0.1507,0.0809,0.0238,OECD DAC Creditor Reporting System (CRS)
2021,United States,0.2545,0.0273,0.2911,0.0954,0.0115,OECD DAC Creditor Reporting System (CRS)
2022,Australia,0.1449,0.0739,0.1791,0.0,0.0153,OECD DAC Creditor Reporting System (CRS)
2022,Austria,0.1171,0.1089,0.0468,0.18,0.0151,OECD DAC Creditor Reporting System (CRS)
2022,Belgium,0.1255,0.0634,0.0833,0.1034,0.0222,OECD DAC Creditor Reporting System (CRS)
2022,Canada,0.1179,0.0381,0.1796,0.0987,0.0105,OECD DAC Creditor Reporting System (CRS)
2022,Czechia,0.0895,0.0264,0.0329,0.6183,0.009,OECD DAC Creditor Reporting System (CRS)
2022,Denmark,0.1942,0.0417,0.0696,0.1249,0.0288,OECD DAC Creditor Reporting System (CRS)
2022,Estonia,0.0584,0.0252,0.0166,0.6845,0.0058,OECD DAC Creditor Reporting System (CRS)
2022,Finland,0.1109,0.0547,0.0578,0.2514,0.0145,OECD DAC Creditor Reporting System (CRS)
2022,France,0.0476,0.0896,0.0895,0.0733,0.0356,OECD DAC Creditor Reporting System (CRS)
2022,Germany,0.1096,0.0873,0.1012,0.1165,0.0284,OECD DAC Creditor Reporting System (CRS)
2022,Greece,0.1277,0.051,0.1085,0.2062,0.0221,OECD DAC Creditor Reporting System (CRS)
2022,Hungary,0.1641,0.3972,0.1389,0.0,0.0061,OECD DAC Creditor Reporting System (CRS)
2022,Iceland,0.2181,0.0692,0.1136,0.0709,0.0078,OECD DAC Creditor Reporting System (CRS)
2022,Ireland,0.1309,0.0306,0.0627,0.5068,0.016,OECD DAC Creditor Reporting System (CRS)
2022,Italy,0.1224,0.084,0.105,0.2162,0.0154,OECD DAC Creditor Reporting System (CRS)
2022,Japan,0.0357,0.0316,0.12,0.0025,0.0057,OECD DAC Creditor Reporting System (CRS)
2022,Latvia,0.0802,0.0339,0.0943,0.4677,0.0095,OECD DAC Creditor Reporting System (CRS)
2022,Lithuania,0.2777,0.0548,0.0397,0.3082,0.0111,OECD DAC Creditor Reporting System (CRS)
2022,Luxembourg,0.207,0.0905,0.1469,0.0,0.0052,OECD DAC Creditor Reporting System (CRS)
2022,Netherlands,0.1123,0.0305,0.1069,0.1489,0.0308,OECD DAC Creditor Reporting System (CRS)
2022,New Zealand,0.0838,0.0764,0.1279,0.0285,0.0391,OECD DAC Creditor Reporting System (CRS)
2022,Norway,0.1411,0.0493,0.0956,0.0926,0.0704,OECD DAC Creditor Reporting System (CRS)
2022,Poland,0.1071,0.0543,0.0217,0.6273,0.0076,OECD DAC Creditor Reporting System (CRS)
2022,Portugal,0.1535,0.1422,0.0852,0.0252,0.0157,OECD DAC Creditor Reporting System (CRS)
2022,Slovakia,0.1621,0.0697,0.1511,0.0078,0.0215,OECD DAC Creditor Reporting System (CRS)
2022,Slovenia,0.124,0.1295,0.0627,0.1562,0.0166,OECD DAC Creditor Reporting System (CRS)
2022,South Korea,0.0472,0.0558,0.1045,0.0024,0.0142,OECD DAC Creditor Reporting System (CRS)
2022,Spain,0.1105,0.0442,0.1069,0.2115,0.0175,OECD DAC Creditor Reporting System (CRS)
2022,Sweden,0.1636,0.0378,0.0986,0.0716,0.0374,OECD DAC Creditor Reporting System (CRS)
2022,Switzerland,0.127,0.0449,0.0615,0.2777,0.0142,OECD DAC Creditor Reporting System (CRS)
2022,United Kingdom,0.098,0.031,0.121,0.2604,0.0295,OECD DAC Creditor Reporting System (CRS)
2022,United States,0.2056,0.022,0.2688,0.124,0.0091,OECD DAC Creditor Reporting System (CRS)
2023,Australia,0.1286,0.0637,0.1368,0.0,0.0191,OECD DAC Creditor Reporting System (CRS)
2023,Austria,0.1171,0.1379,0.04,0.1336,0.0241,OECD DAC Creditor Reporting System (CRS)
2023,Belgium,0.1488,0.0703,0.0884,0.1201,0.0238,OECD DAC Creditor Reporting System (CRS)
2023,Canada,0.087,0.0463,0.1274,0.1784,0.0206,OECD DAC Creditor Reporting System (CRS)
2023,Czechia,0.0951,0.0356,0.0417,0.5218,0.0139,OECD DAC Creditor Reporting System (CRS)
2023,Denmark,0.1823,0.0412,0.05,0.091,0.0476,OECD DAC Creditor Reporting System (CRS)
2023,Estonia,0.1304,0.0805,0.0436,0.3126,0.0226,OECD DAC Creditor Reporting System (CRS)
2023,Finland,0.1351,0.0555,0.0591,0.1465,0.0186,OECD DAC Creditor Reporting System (CRS)
2023,France,0.0667,0.1036,0.0878,0.0646,0.0476,OECD DAC Creditor Reporting System (CRS)
2023,Germany,0.0831,0.0796,0.0473,0.1544,0.0289,OECD DAC Creditor Reporting System (CRS)
2023,Greece,0.1508,0.0574,0.0561,0.1531,0.0258,OECD DAC Creditor Reporting System (CRS)
2023,Hungary,0.0459,0.4004,0.2737,0.0073,0.0015,OECD DAC Creditor Reporting System (CRS)
2023,Iceland,0.1979,0.0517,0.1143,0.0912,0.0135,OECD DAC Creditor Reporting System (CRS)
2023,Ireland,0.1216,0.0328,0.056,0.5283,0.0152,OECD DAC Creditor Reporting System (CRS)
2023,Italy,0.1111,0.0673,0.0614,0.254,0.0231,OECD DAC Creditor Reporting System (CRS)
2023,Japan,0.0578,0.0318,0.0735,0.0015,0.0091,OECD DAC Creditor Reporting System (CRS)
2023,Latvia,0.1342,0.0407,0.0808,0.3154,0.0109,OECD DAC Creditor Reporting System (CRS)
2023,Lithuania,0.272,0.1084,0.089,0.1662,0.0134,OECD DAC Creditor Reporting System (CRS)
2023,Luxembourg,0.2228,0.1126,0.131,0.0,0.018,OECD DAC Creditor Reporting System (CRS)
2023,Netherlands,0.1259,0.027,0.0936,0.179,0.0233,OECD DAC Creditor Reporting System (CRS)
2023,New Zealand,0.0884,0.0799,0.0563,0.0177,0.0537,OECD DAC Creditor Reporting System (CRS)
2023,Norway,0.1809,0.0389,0.0755,0.0716,0.0641,OECD DAC Creditor Reporting System (CRS)
2023,Poland,0.1047,0.0794,0.0286,0.5152,0.0101,OECD DAC Creditor Reporting System (CRS)
2023,Portugal,0.1273,0.1536,0.0651,0.0155,0.0178,OECD DAC Creditor Reporting System (CRS)
2023,Slovakia,0.1629,0.0714,0.1326,0.009,0.0239,OECD DAC Creditor Reporting System (CRS)
2023,Slovenia,0.1851,0.1649,0.0532,0.1113,0.0216,OECD DAC Creditor Reporting System (CRS)
2023,South Korea,0.0505,0.0675,0.1139,0.0003,0.033,OECD DAC Creditor Reporting System (CRS)
2023,Spain,0.1417,0.0576,0.081,0.082,0.0294,OECD DAC Creditor Reporting System (CRS)
2023,Sweden,0.1763,0.0388,0.0987,0.0462,0.0688,OECD DAC Creditor Reporting System (CRS)
2023,Switzerland,0.1353,0.0441,0.0598,0.2825,0.014,OECD DAC Creditor Reporting System (CRS)
2023,United Kingdom,0.0704,0.0341,0.1439,0.2652,0.0326,OECD DAC Creditor Reporting System (CRS)
2023,United States,0.233,0.0275,0.1464,0.1055,0.0154,OECD DAC Creditor Reporting System (CRS)
2024,Australia,0.1083,0.0457,0.1318,0.0,0.0132,OECD DAC Creditor Reporting System (CRS)
2024,Austria,0.1363,0.1737,0.0344,0.052,0.031,OECD DAC Creditor Reporting System (CRS)
2024,Belgium,0.1297,0.0706,0.0831,0.1423,0.0288,OECD DAC Creditor Reporting System (CRS)
2024,Canada,0.0592,0.0391,0.1106,0.1906,0.0359,OECD DAC Creditor Reporting System (CRS)
2024,Czechia,0.1281,0.0532,0.0566,0.296,0.022,OECD DAC Creditor Reporting System (CRS)
2024,Denmark,0.2077,0.0432,0.0704,0.0563,0.0415,OECD DAC Creditor Reporting System (CRS)
2024,Estonia,0.1362,0.0872,0.0596,0.0318,0.021,OECD DAC Creditor Reporting System (CRS)
2024,Finland,0.1264,0.0576,0.0516,0.1828,0.0212,OECD DAC Creditor Reporting System (CRS)
2024,France,0.0561,0.1014,0.0756,0.0592,0.0537,OECD DAC Creditor Reporting System (CRS)
2024,Germany,0.0745,0.0872,0.0396,0.1586,0.0422,OECD DAC Creditor Reporting System (CRS)
2024,Greece,0.1412,0.0618,0.0508,0.1264,0.0236,OECD DAC Creditor Reporting System (CRS)
2024,Hungary,0.0408,0.5184,0.0888,0.0039,0.0026,OECD DAC Creditor Reporting System (CRS)
2024,Iceland,0.1654,0.0636,0.1271,0.0684,0.017,OECD DAC Creditor Reporting System (CRS)
2024,Ireland,0.1342,0.0435,0.0635,0.4265,0.0271,OECD DAC Creditor Reporting System (CRS)
2024,Italy,0.0979,0.0585,0.0525,0.2438,0.0267,OECD DAC Creditor Reporting System (CRS)
2024,Japan,0.0399,0.0277,0.0596,0.0005,0.0107,OECD DAC Creditor Reporting System (CRS)
2024,Latvia,0.1475,0.0546,0.0706,0.1692,0.0224,OECD DAC Creditor Reporting System (CRS)
2024,Lithuania,0.2327,0.0738,0.063,0.0708,0.0153,OECD DAC Creditor Reporting System (CRS)
2024,Luxembourg,0.2044,0.1222,0.138,0.0005,0.009,OECD DAC Creditor Reporting System (CRS)
2024,Netherlands,0.1129,0.0178,0.0857,0.1811,0.0195,OECD DAC Creditor Reporting System (CRS)
2024,New Zealand,0.0866,0.0902,0.0648,0.0176,0.0779,OECD DAC Creditor Reporting System (CRS)
2024,Norway,0.1616,0.0417,0.0909,0.0688,0.0952,OECD DAC Creditor Reporting System (CRS)
2024,Poland,0.1151,0.1339,0.0459,0.2146,0.024,OECD DAC Creditor Reporting System (CRS)
2024,Portugal,0.0932,0.1267,0.0538,0.0289,0.0158,OECD DAC Creditor Reporting System (CRS)
2024,Slovakia,0.1781,0.0746,0.0553,0.0062,0.0251,OECD DAC Creditor Reporting System (CRS)
2024,Slovenia,0.1917,0.1489,0.0463,0.0427,0.026,OECD DAC Creditor Reporting System (CRS)
2024,South Korea,0.1311,0.0547,0.0719,0.0002,0.0134,OECD DAC Creditor Reporting System (CRS)
2024,Spain,0.1359,0.0602,0.0747,0.1042,0.0342,OECD DAC Creditor Reporting System (CRS)
2024,Sweden,0.1915,0.0371,0.0959,0.0267,0.0519,OECD DAC Creditor Reporting System (CRS)
2024,Switzerland,0.12,0.0452,0.0625,0.2486,0.0191,OECD DAC Creditor Reporting System (CRS)
2024,United Kingdom,0.1114,0.0559,0.1229,0.201,0.0516,OECD DAC Creditor Reporting System (CRS)
2024,United States,0.1544,0.0194,0.1708,0.0794,0.0106,OECD DAC Creditor Reporting System (CRS)
