Country,Cause,Type,Year,Deaths per 100K people,Deaths,missing
Egypt,Stroke,Noncommunicable diseases,2019.0,43.84,"43,839",False
Egypt,Cirrhosis of the liver,Noncommunicable diseases,2019.0,60.12,"60,122",False
Egypt,Ischaemic heart disease,Noncommunicable diseases,2019.0,173.87,"173,871",False
Eritrea,Chronic obstructive pulmonary disease,Noncommunicable diseases,2000.0,23.38,536,False
Eritrea,Diabetes mellitus,Noncommunicable diseases,2000.0,29.85,684,False
Eritrea,Hypertensive heart disease,Noncommunicable diseases,2000.0,30.94,709,False
Eritrea,Road injury,Injuries,2000.0,31.32,718,False
Eritrea,Cirrhosis of the liver,Noncommunicable diseases,2000.0,46.65,"1,069",False
Eritrea,Ischaemic heart disease,Noncommunicable diseases,2000.0,59.34,"1,360",False
Eritrea,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,78.27,"1,794",False
Eritrea,Stroke,Noncommunicable diseases,2000.0,88.98,"2,040",False
Eritrea,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,149.54,"3,428",False
Eritrea,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,151.37,"3,470",False
Eritrea,Chronic obstructive pulmonary disease,Noncommunicable diseases,2019.0,18.93,662,False
Eritrea,Hypertensive heart disease,Noncommunicable diseases,2019.0,26.47,926,False
Eritrea,Diabetes mellitus,Noncommunicable diseases,2019.0,27.01,944,False
Eritrea,Cirrhosis of the liver,Noncommunicable diseases,2019.0,34.74,"1,215",False
Eritrea,Road injury,Injuries,2019.0,37.92,"1,326",False
Eritrea,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,47.18,"1,650",False
Eritrea,Ischaemic heart disease,Noncommunicable diseases,2019.0,61.59,"2,154",False
Eritrea,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,65.54,"2,292",False
Eritrea,Stroke,Noncommunicable diseases,2019.0,73.32,"2,564",False
Eritrea,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,93.7,"3,277",False
Western Sahara,,,,,nan,True
Ethiopia,Diabetes mellitus,Noncommunicable diseases,2000.0,20.41,"13,513",False
Ethiopia,Congenital anomalies,Noncommunicable diseases,2000.0,23.19,"15,349",False
Ethiopia,Road injury,Injuries,2000.0,24.62,"16,300",False
Ethiopia,Cirrhosis of the liver,Noncommunicable diseases,2000.0,33.35,"22,079",False
Ethiopia,Ischaemic heart disease,Noncommunicable diseases,2000.0,40.36,"26,715",False
Ethiopia,Stroke,Noncommunicable diseases,2000.0,52.03,"34,447",False
Ethiopia,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,85.0,"56,270",False
Ethiopia,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,161.94,"107,203",False
Ethiopia,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,180.22,"119,304",False
Ethiopia,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,181.24,"119,981",False
Ethiopia,Congenital anomalies,Noncommunicable diseases,2019.0,13.96,"15,638",False
Ethiopia,Diabetes mellitus,Noncommunicable diseases,2019.0,14.52,"16,258",False
Ethiopia,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,19.16,"21,455",False
Ethiopia,Cirrhosis of the liver,Noncommunicable diseases,2019.0,24.35,"27,270",False
Ethiopia,Road injury,Injuries,2019.0,28.18,"31,564",False
Ethiopia,Ischaemic heart disease,Noncommunicable diseases,2019.0,32.62,"36,530",False
Ethiopia,Stroke,Noncommunicable diseases,2019.0,35.14,"39,362",False
Ethiopia,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,39.61,"44,361",False
Ethiopia,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,53.51,"59,931",False
Ethiopia,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,70.83,"79,332",False
Gabon,Road injury,Injuries,2000.0,21.25,261,False
Gabon,Cirrhosis of the liver,Noncommunicable diseases,2000.0,35.69,438,False
Gabon,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,44.12,542,False
Gabon,Diabetes mellitus,Noncommunicable diseases,2000.0,46.58,572,False
Gabon,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,74.82,919,False
Gabon,Ischaemic heart disease,Noncommunicable diseases,2000.0,78.21,961,False
Gabon,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,80.82,993,False
Gabon,Stroke,Noncommunicable diseases,2000.0,80.9,994,False
Gabon,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,81.99,"1,007",False
Gabon,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,136.69,"1,679",False
Gabon,Cirrhosis of the liver,Noncommunicable diseases,2019.0,19.17,416,False
Gabon,Road injury,Injuries,2019.0,23.86,518,False
Gabon,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,24.85,540,False
Gabon,Diabetes mellitus,Noncommunicable diseases,2019.0,29.58,643,False
Gabon,Stroke,Noncommunicable diseases,2019.0,41.26,896,False
Gabon,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,44.45,966,False
Gabon,Ischaemic heart disease,Noncommunicable diseases,2019.0,46.9,"1,019",False
Gabon,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,51.17,"1,112",False
Gabon,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,51.92,"1,128",False
Gabon,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,83.72,"1,819",False
Ghana,Cirrhosis of the liver,Noncommunicable diseases,2000.0,25.38,"4,898",False
Ghana,Road injury,Injuries,2000.0,25.79,"4,977",False
Ghana,Ischaemic heart disease,Noncommunicable diseases,2000.0,38.97,"7,522",False
Ghana,Stroke,Noncommunicable diseases,2000.0,46.02,"8,882",False
Ghana,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,46.44,"8,962",False
Ghana,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,52.34,"10,101",False
Ghana,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,81.92,"15,811",False
Ghana,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,88.84,"17,146",False
Ghana,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,91.73,"17,704",False
Ghana,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,107.76,"20,797",False
Ghana,Cirrhosis of the liver,Noncommunicable diseases,2019.0,19.91,"6,053",False
Ghana,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,21.51,"6,538",False
Ghana,Road injury,Injuries,2019.0,25.68,"7,808",False
Ghana,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,33.6,"10,214",False
Ghana,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,36.72,"11,162",False
Ghana,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,44.62,"13,565",False
Ghana,Ischaemic heart disease,Noncommunicable diseases,2019.0,46.39,"14,103",False
Ghana,Stroke,Noncommunicable diseases,2019.0,49.88,"15,163",False
Ghana,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,53.49,"16,262",False
Ghana,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,56.53,"17,185",False
Guinea,Road injury,Injuries,2000.0,31.09,"2,562",False
Guinea,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,35.52,"2,927",False
Guinea,Ischaemic heart disease,Noncommunicable diseases,2000.0,38.13,"3,142",False
Guinea,Stroke,Noncommunicable diseases,2000.0,44.25,"3,647",False
Guinea,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,57.92,"4,773",False
Guinea,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,108.69,"8,956",False
Guinea,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,132.37,"10,909",False
Guinea,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,135.01,"11,126",False
Guinea,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,150.43,"12,396",False
Guinea,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,170.61,"14,060",False
Guinea,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,20.57,"2,633",False
Guinea,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,23.59,"3,020",False
Guinea,Road injury,Injuries,2019.0,29.6,"3,788",False
Guinea,Ischaemic heart disease,Noncommunicable diseases,2019.0,44.26,"5,665",False
Guinea,Stroke,Noncommunicable diseases,2019.0,45.13,"5,777",False
Guinea,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,47.07,"6,025",False
Guinea,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,53.03,"6,788",False
Guinea,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,63.91,"8,180",False
Guinea,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,95.51,"12,225",False
Guinea,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,99.92,"12,790",False
Gambia,Congenital anomalies,Noncommunicable diseases,2000.0,21.67,286,False
Gambia,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,25.72,339,False
Gambia,Road injury,Injuries,2000.0,25.73,339,False
Gambia,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,33.09,436,False
Gambia,Stroke,Noncommunicable diseases,2000.0,38.03,501,False
Gambia,Ischaemic heart disease,Noncommunicable diseases,2000.0,42.26,557,False
Gambia,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,54.61,720,False
Gambia,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,102.37,"1,349",False
Gambia,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,114.81,"1,513",False
Gambia,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,143.58,"1,892",False
Gambia,Congenital anomalies,Noncommunicable diseases,2019.0,16.32,383,False
Gambia,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,18.95,445,False
Gambia,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,26.65,626,False
Gambia,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,28.71,674,False
Gambia,Road injury,Injuries,2019.0,29.62,695,False
Gambia,Stroke,Noncommunicable diseases,2019.0,34.18,802,False
Gambia,Ischaemic heart disease,Noncommunicable diseases,2019.0,42.88,"1,007",False
Gambia,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,47.91,"1,125",False
Gambia,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,57.09,"1,340",False
Gambia,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,85.9,"2,017",False
Guinea-Bissau,Cirrhosis of the liver,Noncommunicable diseases,2000.0,29.36,353,False
Guinea-Bissau,Road injury,Injuries,2000.0,30.66,368,False
Guinea-Bissau,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,52.89,635,False
Guinea-Bissau,Ischaemic heart disease,Noncommunicable diseases,2000.0,58.91,708,False
Guinea-Bissau,Stroke,Noncommunicable diseases,2000.0,59.41,714,False
Guinea-Bissau,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,73.14,879,False
Guinea-Bissau,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,92.27,"1,108",False
Guinea-Bissau,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,166.37,"1,999",False
Guinea-Bissau,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,179.16,"2,152",False
Guinea-Bissau,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,186.21,"2,237",False
Guinea-Bissau,Cirrhosis of the liver,Noncommunicable diseases,2019.0,21.08,405,False
Guinea-Bissau,Road injury,Injuries,2019.0,32.23,619,False
Guinea-Bissau,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,35.61,684,False
Guinea-Bissau,Stroke,Noncommunicable diseases,2019.0,43.16,829,False
Guinea-Bissau,Ischaemic heart disease,Noncommunicable diseases,2019.0,47.21,907,False
Guinea-Bissau,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,47.52,913,False
Guinea-Bissau,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,72.19,"1,387",False
Guinea-Bissau,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,72.34,"1,390",False
Guinea-Bissau,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,75.24,"1,445",False
Guinea-Bissau,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,104.47,"2,007",False
Equatorial Guinea,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,6.33,38,False
Equatorial Guinea,Road injury,Injuries,2000.0,22.11,134,False
Equatorial Guinea,Diabetes mellitus,Noncommunicable diseases,2000.0,25.55,155,False
Equatorial Guinea,Ischaemic heart disease,Noncommunicable diseases,2000.0,59.47,360,False
Equatorial Guinea,Stroke,Noncommunicable diseases,2000.0,66.58,404,False
Equatorial Guinea,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,105.91,642,False
Equatorial Guinea,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,128.62,780,False
Equatorial Guinea,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,130.49,791,False
Equatorial Guinea,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,148.3,899,False
Equatorial Guinea,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,155.85,945,False
Equatorial Guinea,Diabetes mellitus,Noncommunicable diseases,2019.0,22.06,299,False
Equatorial Guinea,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,23.66,321,False
Equatorial Guinea,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,25.73,349,False
Equatorial Guinea,Road injury,Injuries,2019.0,27.17,368,False
Equatorial Guinea,Ischaemic heart disease,Noncommunicable diseases,2019.0,30.89,419,False
Equatorial Guinea,Stroke,Noncommunicable diseases,2019.0,32.24,437,False
Equatorial Guinea,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,49.23,668,False
Equatorial Guinea,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,67.31,913,False
Equatorial Guinea,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,79.19,"1,074",False
Equatorial Guinea,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,135.58,"1,838",False
British Indian Ocean Territory,,,,,nan,True
Kenya,Ischaemic heart disease,Noncommunicable diseases,2000.0,19.83,"6,345",False
Kenya,Road injury,Injuries,2000.0,26.41,"8,452",False
Kenya,Cirrhosis of the liver,Noncommunicable diseases,2000.0,29.77,"9,528",False
Kenya,Stroke,Noncommunicable diseases,2000.0,33.77,"10,806",False
Kenya,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,40.9,"13,089",False
Kenya,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,44.74,"14,317",False
Kenya,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,73.95,"23,663",False
Kenya,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,86.75,"27,760",False
Kenya,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,96.68,"30,939",False
Kenya,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,339.47,"108,629",False
Kenya,Ischaemic heart disease,Noncommunicable diseases,2019.0,22.76,"11,972",False
Kenya,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,24.05,"12,652",False
Kenya,Cirrhosis of the liver,Noncommunicable diseases,2019.0,25.48,"13,405",False
Kenya,Road injury,Injuries,2019.0,28.29,"14,883",False
Kenya,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,29.32,"15,420",False
Kenya,Stroke,Noncommunicable diseases,2019.0,30.22,"15,895",False
Kenya,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,37.37,"19,655",False
Kenya,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,39.71,"20,885",False
Kenya,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,42.91,"22,571",False
Kenya,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,48.77,"25,652",False
Liberia,Road injury,Injuries,2000.0,35.48,"1,011",False
Liberia,Stroke,Noncommunicable diseases,2000.0,39.98,"1,139",False
Liberia,Ischaemic heart disease,Noncommunicable diseases,2000.0,41.87,"1,193",False
Liberia,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,47.98,"1,367",False
Liberia,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,110.52,"3,148",False
Liberia,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,122.54,"3,490",False
Liberia,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,138.32,"3,940",False
Liberia,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,140.19,"3,993",False
Liberia,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,145.93,"4,157",False
Liberia,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,161.86,"4,610",False
Liberia,Stroke,Noncommunicable diseases,2019.0,31.96,"1,578",False
Liberia,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,32.24,"1,592",False
Liberia,Ischaemic heart disease,Noncommunicable diseases,2019.0,38.17,"1,885",False
Liberia,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,38.87,"1,919",False
Liberia,Road injury,Injuries,2019.0,38.89,"1,920",False
Liberia,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,49.17,"2,428",False
Liberia,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,51.74,"2,554",False
Liberia,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,54.54,"2,693",False
Liberia,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,56.03,"2,766",False
Liberia,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,89.21,"4,405",False
Libya,Collective violence and legal intervention,Injuries,2000.0,1.15,62,False
Libya,Alzheimer disease and other dementias,Noncommunicable diseases,2000.0,7.0,375,False
Libya,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,7.11,381,False
Libya,Diabetes mellitus,Noncommunicable diseases,2000.0,7.5,402,False
Libya,Hypertensive heart disease,Noncommunicable diseases,2000.0,8.86,475,False
Libya,Kidney diseases,Noncommunicable diseases,2000.0,12.83,687,False
Libya,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,14.58,781,False
Libya,Road injury,Injuries,2000.0,20.61,"1,104",False
Libya,Stroke,Noncommunicable diseases,2000.0,32.73,"1,754",False
Libya,Ischaemic heart disease,Noncommunicable diseases,2000.0,78.73,"4,218",False
Libya,Alzheimer disease and other dementias,Noncommunicable diseases,2019.0,10.96,743,False
Libya,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,10.97,744,False
Libya,Diabetes mellitus,Noncommunicable diseases,2019.0,11.85,803,False
Libya,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,11.98,812,False
Libya,Hypertensive heart disease,Noncommunicable diseases,2019.0,13.5,915,False
Libya,Collective violence and legal intervention,Injuries,2019.0,15.56,"1,055",False
Libya,Kidney diseases,Noncommunicable diseases,2019.0,17.5,"1,186",False
Libya,Road injury,Injuries,2019.0,21.3,"1,444",False
Libya,Stroke,Noncommunicable diseases,2019.0,38.41,"2,603",False
Libya,Ischaemic heart disease,Noncommunicable diseases,2019.0,97.53,"6,610",False
Lesotho,Self-harm,Injuries,2000.0,28.56,581,False
Lesotho,Chronic obstructive pulmonary disease,Noncommunicable diseases,2000.0,38.19,776,False
Lesotho,Diabetes mellitus,Noncommunicable diseases,2000.0,41.23,838,False
Lesotho,Ischaemic heart disease,Noncommunicable diseases,2000.0,52.67,"1,071",False
Lesotho,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,54.84,"1,115",False
Lesotho,Stroke,Noncommunicable diseases,2000.0,80.85,"1,644",False
Lesotho,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,96.24,"1,956",False
Lesotho,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,110.92,"2,255",False
Lesotho,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,111.12,"2,259",False
Lesotho,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,567.66,"11,540",False
Lesotho,Chronic obstructive pulmonary disease,Noncommunicable diseases,2019.0,51.85,"1,102",False
Lesotho,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,56.86,"1,208",False
Lesotho,Self-harm,Injuries,2019.0,72.44,"1,539",False
Lesotho,Diabetes mellitus,Noncommunicable diseases,2019.0,94.09,"2,000",False
Lesotho,Ischaemic heart disease,Noncommunicable diseases,2019.0,98.85,"2,101",False
Lesotho,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,101.31,"2,153",False
Lesotho,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,110.77,"2,354",False
Lesotho,Stroke,Noncommunicable diseases,2019.0,132.54,"2,817",False
Lesotho,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,151.24,"3,214",False
Lesotho,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,224.32,"4,767",False
Morocco,Diabetes mellitus,Noncommunicable diseases,2000.0,9.35,"2,692",False
Morocco,Chronic obstructive pulmonary disease,Noncommunicable diseases,2000.0,10.46,"3,014",False
Morocco,"Trachea, bronchus, lung cancers",Noncommunicable diseases,2000.0,10.58,"3,048",False
Morocco,Kidney diseases,Noncommunicable diseases,2000.0,16.6,"4,782",False
Morocco,Hypertensive heart disease,Noncommunicable diseases,2000.0,19.24,"5,542",False
Morocco,Road injury,Injuries,2000.0,23.85,"6,870",False
Morocco,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,30.43,"8,765",False
Morocco,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,49.68,"14,307",False
Morocco,Stroke,Noncommunicable diseases,2000.0,63.72,"18,350",False
Morocco,Ischaemic heart disease,Noncommunicable diseases,2000.0,150.13,"43,238",False
Morocco,Road injury,Injuries,2019.0,16.94,"6,185",False
Morocco,Chronic obstructive pulmonary disease,Noncommunicable diseases,2019.0,17.25,"6,296",False
Morocco,"Trachea, bronchus, lung cancers",Noncommunicable diseases,2019.0,18.04,"6,585",False
Morocco,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,19.83,"7,237",False
Morocco,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,20.11,"7,339",False
Morocco,Diabetes mellitus,Noncommunicable diseases,2019.0,20.21,"7,377",False
Morocco,Kidney diseases,Noncommunicable diseases,2019.0,27.99,"10,216",False
Morocco,Hypertensive heart disease,Noncommunicable diseases,2019.0,29.41,"10,736",False
Morocco,Stroke,Noncommunicable diseases,2019.0,87.29,"31,861",False
Morocco,Ischaemic heart disease,Noncommunicable diseases,2019.0,211.89,"77,340",False
Madagascar,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,14.26,"2,253",False
Madagascar,Hypertensive heart disease,Noncommunicable diseases,2000.0,23.52,"3,716",False
Madagascar,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,24.48,"3,868",False
Madagascar,Road injury,Injuries,2000.0,26.57,"4,198",False
Madagascar,Ischaemic heart disease,Noncommunicable diseases,2000.0,42.41,"6,700",False
Madagascar,Stroke,Noncommunicable diseases,2000.0,67.71,"10,698",False
Madagascar,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,84.01,"13,273",False
Madagascar,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,106.92,"16,893",False
Madagascar,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,112.18,"17,724",False
Madagascar,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,138.76,"21,925",False
Madagascar,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,20.4,"5,507",False
Madagascar,Hypertensive heart disease,Noncommunicable diseases,2019.0,22.99,"6,208",False
Madagascar,Road injury,Injuries,2019.0,29.18,"7,880",False
Madagascar,Measles,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,33.97,"9,172",False
Madagascar,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,41.06,"11,085",False
Madagascar,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,42.98,"11,606",False
Madagascar,Ischaemic heart disease,Noncommunicable diseases,2019.0,45.88,"12,388",False
Madagascar,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,51.51,"13,908",False
Madagascar,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,54.09,"14,605",False
Madagascar,Stroke,Noncommunicable diseases,2019.0,66.53,"17,964",False
Mali,Road injury,Injuries,2000.0,25.67,"2,798",False
Mali,Ischaemic heart disease,Noncommunicable diseases,2000.0,40.16,"4,377",False
Mali,Stroke,Noncommunicable diseases,2000.0,45.24,"4,931",False
Mali,Protein-energy malnutrition,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,48.86,"5,326",False
Mali,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,53.41,"5,822",False
Mali,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,63.04,"6,871",False
Mali,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,158.88,"17,318",False
Mali,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,169.44,"18,469",False
Mali,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,203.12,"22,140",False
Mali,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",2000.0,204.33,"22,272",False
Mali,Road injury,Injuries,2019.0,22.66,"4,465",False
Mali,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,23.0,"4,531",False
Mali,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,29.36,"5,785",False
Mali,Protein-energy malnutrition,"Communicable, maternal, neonatal, and nutritional diseases",2019.0,29.68,"5,848",False
