date,indicator,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Democratic Republic of","Congo, Republic of",Cote d'Ivoire,Djibouti,Eastern and Southern Africa,"Egypt, Arab Republic of",Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Southern Africa,Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2021-09-30,Monthly Disbursements,0.0,6.57,10.38,0.0,24.93,4.84,0.6,5.89,10.19,6.5,2.46,19.32,4.59,27.92,2.72,,32.92,0.0,0.0,0.0,34.29,6.17,2.3,16.23,0.87,1.4,79.5,5.67,4.0,13.92,9.3,17.8,4.53,0.0,440.31,43.78,0.0,14.22,32.47,35.99,2.36,41.49,0.0,6.92,6.58,18.45,2.13,0.0,0.0,,7.12,5.33,1.04,13.14,40.23,12.3
2021-10-31,Monthly Disbursements,0.0,14.27,12.56,253.4,17.77,8.28,2.61,4.29,1.63,4.07,0.3,26.73,12.08,45.05,1.66,,57.79,0.0,0.0,0.01,124.76,17.95,4.47,15.64,0.0,1.48,15.61,3.82,8.71,16.48,9.21,21.38,40.71,0.0,70.16,50.36,0.0,29.63,36.25,10.45,2.05,19.62,0.15,11.22,4.31,0.0,16.34,0.0,10.2,,3.05,4.22,1.44,20.47,12.79,0.0
2021-11-30,Monthly Disbursements,0.0,3.86,19.25,0.0,13.41,6.69,1.23,8.92,5.51,2.68,1.03,39.22,4.13,33.56,4.53,,129.35,0.0,0.0,0.0,69.5,0.0,4.98,35.47,0.0,1.13,39.73,5.17,8.16,9.1,19.37,17.94,9.93,0.0,-1.89,38.51,0.0,35.66,305.52,13.2,0.71,13.39,9.0,19.69,1.49,0.0,22.74,0.0,0.0,,43.67,10.5,0.0,8.31,4.19,0.0
2021-12-31,Monthly Disbursements,0.0,6.73,128.96,0.0,99.16,5.31,32.08,9.86,13.52,15.05,3.09,36.12,5.97,63.94,3.51,,-20.69,0.0,0.0,1.41,38.74,2.7,3.27,26.61,0.0,4.67,25.47,3.74,5.07,61.21,25.01,16.75,7.67,0.0,109.13,72.3,0.0,272.83,296.21,7.0,14.66,89.46,35.0,79.83,23.21,0.0,13.06,0.0,0.0,,48.98,10.02,29.86,33.7,5.63,0.0
2022-01-31,Monthly Disbursements,0.0,5.32,5.55,26.04,22.13,9.06,-0.1,-0.11,5.99,4.36,0.52,12.47,6.93,6.18,1.6,,16.97,0.0,0.0,8.45,103.72,0.0,8.66,38.39,2.05,0.46,10.5,1.73,7.14,12.02,21.53,24.46,4.41,0.0,33.28,53.78,0.0,13.42,121.97,9.12,0.93,17.62,0.14,1.05,0.0,0.0,0.0,0.0,0.0,,129.99,2.18,1.35,6.7,18.71,0.0
2022-02-28,Monthly Disbursements,0.0,12.44,9.75,11.67,0.01,10.37,0.95,7.59,7.96,4.69,3.96,36.64,10.0,26.66,2.79,,133.44,0.0,0.0,0.0,153.63,0.0,5.45,5.4,0.33,4.34,50.52,4.67,5.23,17.23,6.29,14.14,10.3,0.0,19.35,69.95,0.0,19.48,116.17,12.36,1.6,15.58,0.0,4.66,8.17,0.0,20.34,0.0,0.0,,55.78,6.32,15.46,12.89,5.5,0.0
2022-03-31,Monthly Disbursements,0.0,35.3,17.99,0.0,0.0,15.5,1.21,9.2,8.89,2.89,4.49,31.46,11.52,29.21,2.8,,39.48,0.0,0.0,0.0,42.09,0.31,3.88,47.79,14.9,4.46,32.9,4.99,9.75,24.58,13.5,14.48,6.59,0.0,3.55,28.52,0.0,22.29,234.15,173.98,2.41,13.96,0.0,11.95,6.33,750.75,11.38,0.0,0.0,,83.12,15.07,29.49,104.5,154.59,0.0
2022-04-30,Monthly Disbursements,0.0,47.16,13.64,0.0,0.0,8.64,3.56,1.61,10.89,5.47,1.58,22.82,9.02,16.23,0.7,,395.74,0.0,0.0,0.87,155.06,0.28,6.13,36.24,24.78,4.47,782.93,2.49,20.29,64.98,36.6,0.0,5.8,0.0,25.04,30.09,0.0,32.3,68.9,27.67,1.19,68.13,0.1,6.33,27.98,0.0,-6.3,0.0,0.0,,67.45,10.53,1.63,92.93,2.74,0.0
2022-05-31,Monthly Disbursements,0.0,96.35,15.3,0.0,20.63,15.25,0.42,13.36,7.58,7.43,3.54,48.89,7.1,48.55,4.42,1.07,49.8,0.0,-0.0,75.0,78.0,20.25,6.84,38.57,9.66,1.58,66.28,0.66,12.22,29.23,69.77,0.0,13.67,0.0,31.73,23.84,0.0,34.77,139.36,26.47,0.8,23.29,0.13,5.4,37.96,0.0,-0.0,0.0,0.0,,4.29,99.95,164.13,42.49,20.46,0.0
2022-06-30,Monthly Disbursements,0.0,29.22,55.15,16.26,155.7,28.92,0.05,138.49,22.69,24.94,7.64,489.19,9.91,82.07,4.29,1.85,28.22,0.0,0.0,0.44,299.31,4.74,29.97,162.14,11.13,3.5,185.42,5.88,13.41,70.5,109.58,7.39,12.4,0.0,131.88,95.68,0.0,49.4,793.07,60.53,6.17,384.13,0.0,0.8,11.36,0.0,92.55,0.0,0.0,,280.84,8.38,-1.35,42.81,108.3,6.58
2022-07-31,Monthly Disbursements,0.0,3.52,4.58,0.0,11.43,7.51,0.39,3.73,2.72,3.06,0.57,14.66,7.03,9.06,2.74,1.86,2.61,0.0,0.0,0.0,19.86,0.12,10.66,1.11,4.11,1.18,11.94,2.52,3.57,9.49,10.43,19.03,12.86,0.0,25.63,26.19,0.0,4.47,70.19,11.87,0.88,14.89,0.0,7.81,1.71,0.0,0.0,0.0,0.0,,144.26,8.06,1.86,11.12,1.97,0.0
2022-08-31,Monthly Disbursements,0.0,504.02,10.13,0.0,187.2,4.75,3.72,2.49,6.12,11.05,1.66,250.27,10.29,8.36,1.33,4.41,87.7,0.0,0.0,0.0,135.06,0.48,2.74,14.41,8.02,4.66,27.54,1.17,8.61,7.71,6.87,29.6,2.81,0.0,667.55,26.8,0.0,16.63,43.83,11.92,1.21,25.42,0.15,12.07,110.95,-15.73,0.0,0.0,0.0,,0.97,0.42,73.76,11.51,8.06,0.0
2022-09-30,Monthly Disbursements,0.0,75.33,3.65,0.0,17.7,9.31,0.51,15.79,6.75,5.73,2.18,50.06,8.29,17.84,2.82,1.0,14.45,0.0,0.0,0.69,202.22,1.97,1.74,25.16,2.84,0.93,78.58,2.15,3.27,17.63,19.09,18.0,10.03,0.0,29.95,29.14,0.0,17.2,101.99,41.66,1.74,16.8,0.0,23.83,14.96,391.04,12.56,0.0,0.0,,71.73,2.36,57.14,77.25,10.64,0.0
2022-10-31,Monthly Disbursements,0.0,8.68,192.72,0.0,5.07,5.36,0.75,13.74,15.15,5.8,1.96,55.61,9.81,29.95,6.6,3.19,61.7,0.0,0.0,0.0,53.48,1.81,7.04,7.8,4.41,2.84,48.0,0.79,5.87,14.63,29.04,19.3,6.26,0.0,13.55,334.46,0.0,36.26,131.27,10.17,0.86,21.34,0.0,4.76,13.09,0.0,84.94,0.0,0.0,,4.31,5.19,3.7,29.99,1.63,0.0
2022-11-30,Monthly Disbursements,0.0,3.54,11.63,14.26,0.27,10.59,2.85,18.49,7.06,2.11,2.61,28.34,8.39,23.11,2.99,6.89,6.61,0.0,0.0,0.0,211.81,1.89,3.75,11.62,6.13,7.25,41.67,4.74,63.3,45.19,58.51,11.41,7.64,0.0,17.08,113.53,0.0,38.28,384.29,15.81,1.0,17.73,0.13,20.76,5.85,0.0,0.04,0.0,0.0,,15.89,8.75,19.04,34.57,183.22,0.0
2022-12-31,Monthly Disbursements,0.0,18.99,17.04,0.0,2.14,9.0,45.41,110.42,7.02,10.58,2.51,58.65,62.41,497.49,8.17,2.4,2.09,0.0,0.0,6.79,114.0,11.68,30.42,24.01,9.31,1.36,122.46,5.78,7.17,14.54,56.25,24.73,6.04,0.0,211.86,33.94,0.0,446.98,345.49,27.38,2.39,28.92,25.22,117.91,138.78,0.0,0.24,0.0,0.0,,618.16,15.56,5.33,28.29,250.4,2.1
2023-01-31,Monthly Disbursements,0.0,0.19,57.87,0.0,19.24,7.66,2.64,46.74,4.85,2.1,0.42,13.27,8.68,54.73,1.92,1.76,1.58,0.0,0.0,1.87,196.78,3.61,12.44,42.1,4.79,3.09,15.72,9.32,3.77,9.38,28.69,7.02,35.61,0.0,0.52,40.48,0.0,15.53,51.5,25.09,1.79,38.48,0.0,6.52,15.48,0.0,0.06,0.0,0.0,,6.36,5.7,9.74,0.0,4.38,0.0
2023-02-28,Monthly Disbursements,0.0,5.93,11.58,17.44,117.67,15.67,8.14,16.01,7.66,11.27,1.16,66.97,6.13,21.62,4.01,0.35,2.62,0.0,0.0,0.0,251.99,3.22,6.79,37.14,5.83,3.03,15.28,9.98,2.76,23.84,37.35,19.35,11.43,0.0,3.5,22.65,0.0,61.98,120.0,14.29,0.38,15.96,0.0,4.71,3.32,0.0,0.81,0.0,0.0,,76.94,11.73,4.23,16.8,22.07,0.49
2023-03-31,Monthly Disbursements,0.0,0.54,27.22,0.0,86.99,8.41,1.01,34.0,10.22,42.72,1.74,91.8,9.58,36.11,4.45,11.7,36.76,0.0,0.0,3.26,75.42,0.09,4.46,71.06,1.92,0.92,55.87,1.37,14.27,36.39,80.63,16.76,4.88,0.0,109.8,31.49,0.0,22.2,123.37,253.41,2.82,30.92,0.12,17.69,11.92,0.0,41.7,0.0,0.0,,252.12,25.8,4.92,34.62,47.0,0.0
2023-04-30,Monthly Disbursements,0.0,6.71,16.08,0.0,14.18,14.07,0.0,21.29,7.35,12.11,7.92,145.94,11.17,17.8,1.9,50.94,155.95,0.0,0.0,0.0,106.13,0.0,12.52,88.36,13.11,1.67,26.0,0.91,10.86,19.25,34.24,29.31,8.08,0.0,0.57,50.06,0.0,35.75,214.15,19.2,1.58,20.77,0.07,5.95,6.25,0.0,20.57,0.0,0.0,,49.37,6.36,59.92,8.85,42.22,0.0
2023-05-31,Monthly Disbursements,0.0,4.84,44.01,0.0,54.99,4.35,6.52,9.64,10.37,13.51,4.32,65.47,12.76,164.12,4.44,2.14,214.27,0.0,0.0,0.0,320.78,0.19,6.32,85.0,5.82,4.4,54.3,4.63,5.09,21.29,36.19,43.89,9.53,0.0,0.0,76.08,0.0,30.42,79.13,17.9,2.42,30.55,0.04,10.34,6.76,0.0,2.5,0.0,0.0,,56.4,10.68,18.88,26.88,6.2,0.0
2023-06-30,Monthly Disbursements,0.0,102.18,93.13,0.0,65.97,30.86,5.02,72.84,32.5,60.54,5.06,769.93,9.48,111.04,14.79,10.16,30.54,0.0,0.0,3.63,186.18,8.48,11.75,85.86,48.11,11.2,1181.13,4.29,14.86,232.66,92.73,48.57,10.12,0.0,174.2,161.18,0.0,56.61,168.53,36.63,4.02,419.87,5.03,7.26,12.78,0.0,92.52,0.0,0.0,,225.08,47.55,20.76,76.85,26.95,0.0
2023-07-31,Monthly Disbursements,0.0,28.87,13.18,21.96,15.75,5.46,0.41,6.79,4.09,1.53,10.05,28.39,4.28,8.68,5.1,0.39,7.0,0.0,0.0,0.23,56.34,0.01,2.08,11.88,4.49,2.54,14.5,0.35,66.86,7.58,18.38,11.05,18.89,0.0,468.4,67.28,0.0,11.99,42.69,19.67,1.83,10.39,0.0,16.74,15.69,1.1,1.11,0.0,0.0,,65.68,7.07,0.0,-0.03,3.96,0.0
2023-08-31,Monthly Disbursements,0.0,2.67,9.9,0.0,33.73,19.81,5.56,6.99,6.75,11.17,1.75,-62.38,2.66,22.37,2.75,1.77,47.59,0.0,0.0,3.14,74.98,0.02,7.15,40.27,10.71,2.4,14.01,3.44,16.15,51.36,78.92,17.49,5.5,0.0,0.0,35.03,0.0,0.0,230.78,22.73,1.21,19.01,0.26,5.66,25.19,0.0,4.03,0.0,0.0,,126.46,5.81,25.32,78.8,8.8,0.0
2023-09-30,Monthly Disbursements,0.0,6.93,6.12,8.66,35.43,6.33,0.0,28.71,4.18,17.77,1.11,15.11,1.83,9.32,8.15,5.11,3.0,0.0,0.0,1.21,119.94,0.0,9.69,9.83,7.8,7.93,66.57,0.98,4.81,15.93,27.65,10.11,5.18,0.0,25.68,30.84,0.0,-0.06,90.3,27.83,16.0,25.01,0.09,8.48,171.18,0.0,0.25,0.0,0.0,,31.68,4.69,0.0,34.26,12.12,0.0
2023-10-31,Monthly Disbursements,0.0,513.73,166.05,0.0,26.31,46.12,-1.35,42.36,22.88,10.06,1.91,18.72,2.37,111.66,1.21,1.76,4.39,0.0,0.0,0.51,172.08,0.0,4.89,64.99,12.35,1.51,38.89,1.27,2.55,38.99,36.74,3.9,4.74,0.0,0.0,128.8,0.0,-0.03,360.65,22.87,1.4,36.22,0.14,3.63,62.87,0.0,2.08,0.0,0.0,,118.93,150.35,4.1,1.07,6.56,0.0
2023-11-30,Monthly Disbursements,0.0,11.03,33.75,-0.01,25.88,31.56,2.8,21.5,10.26,26.27,25.24,44.7,8.4,26.94,6.41,1.31,56.91,0.0,0.0,3.09,88.78,0.0,14.45,97.91,12.56,1.59,30.73,-0.09,13.73,7.27,21.23,27.15,7.44,0.0,25.49,48.55,0.0,0.0,271.75,34.62,1.19,23.86,0.1,24.57,15.76,0.0,0.69,0.0,0.0,,279.14,10.27,0.0,27.93,20.49,0.0
2023-12-31,Monthly Disbursements,0.0,29.67,29.37,0.0,63.8,8.55,28.82,8.68,29.65,5.78,4.63,28.95,15.25,405.3,5.29,3.77,3.89,0.0,0.0,3.11,130.13,5.18,53.48,97.4,21.54,1.87,82.5,6.21,10.29,64.01,126.94,47.94,21.9,0.0,0.0,368.4,0.0,0.0,117.96,163.01,0.9,25.48,0.11,77.02,27.56,0.0,0.46,0.0,0.0,,561.01,12.13,60.98,40.61,134.89,0.0
2024-01-31,Monthly Disbursements,0.0,3.08,9.93,0.38,45.0,5.09,-0.08,39.63,5.59,12.22,2.12,0.71,83.0,19.01,3.98,0.42,2.95,0.0,0.0,4.92,58.74,0.71,8.99,21.59,4.5,5.57,20.59,2.27,7.41,24.2,55.11,-0.0,4.0,0.0,15.67,55.43,0.0,0.0,120.44,25.33,2.89,61.94,0.13,0.56,0.75,1000.0,2.86,0.0,0.0,,80.55,13.05,0.0,59.26,28.3,0.0
2020-04-30,Cumulative Disbursements Since April 2020,0.0,13.0,7.6,0.0,23.49,5.5,11.16,17.53,8.15,7.8,5.41,20.66,7.35,223.98,7.17,,45.16,0.0,0.0,0.0,585.78,4.53,3.2,57.14,5.82,1.08,126.14,4.02,4.51,11.67,33.95,19.93,10.6,0.0,416.57,25.05,0.0,13.9,248.16,3.34,1.99,28.12,7.13,13.39,21.62,0.0,0.01,0.0,0.0,,134.76,9.26,17.18,35.83,8.73,-0.0
2020-05-31,Cumulative Disbursements Since April 2020,0.0,20.15,17.76,5.21,28.05,13.12,16.51,22.35,12.5,10.79,12.02,35.03,9.92,236.53,8.31,,102.68,0.0,0.0,-0.04,634.89,12.71,4.12,81.13,15.85,4.53,1024.3,7.36,12.82,136.93,34.54,27.84,15.38,0.0,417.95,64.84,0.0,22.64,313.81,20.8,2.26,55.09,7.13,14.58,22.17,0.0,27.33,0.0,0.0,,171.29,12.9,17.61,39.77,17.46,-0.0
2020-06-30,Cumulative Disbursements Since April 2020,0.0,27.29,79.45,8.67,247.84,23.87,17.66,27.99,22.18,33.21,13.44,64.39,15.28,298.83,11.38,,120.17,0.0,0.0,4.01,1205.6,22.29,9.43,91.93,30.1,19.05,1502.07,12.45,27.32,152.22,50.35,63.69,21.09,0.0,464.67,113.88,0.0,55.87,393.74,162.32,2.78,185.16,7.13,42.63,82.47,34.82,29.84,0.0,0.0,,226.5,23.56,121.06,67.85,31.76,13.95
2020-07-31,Cumulative Disbursements Since April 2020,-0.0,32.53,113.18,8.67,265.24,27.63,20.87,32.99,24.93,65.01,15.5,93.81,20.99,313.08,16.91,,222.76,0.0,0.0,4.27,1262.29,22.29,16.65,96.06,35.62,22.78,1520.06,13.17,33.56,158.51,62.01,90.25,28.52,-0.0,504.17,145.2,0.0,72.78,447.44,287.21,3.58,199.45,22.13,152.95,84.91,34.82,29.86,0.0,0.0,,265.67,27.35,151.38,463.07,38.99,13.95
2020-08-31,Cumulative Disbursements Since April 2020,-0.0,43.17,124.77,8.67,275.41,33.35,21.75,36.31,32.34,76.33,15.78,120.14,30.59,366.55,17.01,,236.71,0.0,0.0,4.27,1264.78,22.29,51.16,108.02,40.88,23.65,1544.86,13.66,35.72,165.05,64.86,99.81,103.51,-0.0,1050.15,153.16,0.0,90.26,462.83,310.28,4.19,199.73,22.13,176.74,86.91,34.82,29.87,0.0,0.0,,316.61,29.62,156.64,506.91,48.24,13.95
2020-09-30,Cumulative Disbursements Since April 2020,-0.0,60.38,133.35,8.67,295.55,41.1,48.84,53.26,67.99,81.66,16.44,134.89,45.05,387.97,20.53,,375.26,0.0,0.0,9.15,1481.73,22.28,54.67,141.61,131.1,28.13,1598.0,18.84,38.43,186.36,76.12,100.25,113.73,-0.0,1063.74,170.68,0.0,381.27,492.86,336.61,7.08,225.03,22.13,180.55,107.42,34.82,32.72,0.0,0.0,,351.47,35.82,157.8,531.04,57.47,13.95
2020-10-31,Cumulative Disbursements Since April 2020,-0.0,80.27,142.9,8.67,312.42,43.16,53.85,59.08,85.74,85.21,17.52,177.82,50.74,399.59,23.97,,414.69,0.0,0.0,9.15,1511.38,36.72,61.06,177.07,137.1,31.59,1678.0,19.76,49.19,195.24,114.11,100.25,123.4,-0.0,1086.99,208.22,0.0,394.6,695.62,366.32,8.18,255.86,22.13,183.38,109.22,34.82,41.09,0.0,0.0,,352.69,115.84,158.23,574.41,81.71,13.95
2020-11-30,Cumulative Disbursements Since April 2020,-0.0,103.37,149.53,22.83,331.04,50.7,54.74,69.37,151.93,85.18,24.44,251.09,63.42,417.42,25.24,,473.49,0.0,0.0,9.15,1624.35,40.28,64.71,191.05,140.53,32.67,1744.46,21.3,49.86,230.67,129.19,118.37,130.57,-0.0,1090.52,257.67,0.0,422.06,739.25,374.14,8.08,301.11,22.13,193.99,113.03,34.82,42.18,0.0,0.0,,404.17,121.6,160.16,580.09,90.52,13.95
2020-12-31,Cumulative Disbursements Since April 2020,-0.0,106.74,263.08,14.0,377.46,57.74,55.91,67.96,159.23,94.32,35.8,310.34,79.49,468.07,27.61,,652.61,0.0,0.0,9.7,1814.14,40.06,74.37,211.18,144.45,34.05,1836.72,21.71,55.68,284.86,152.84,141.83,149.86,-0.0,1140.12,394.92,0.0,468.06,1101.11,397.87,18.75,305.9,22.13,201.72,155.1,34.82,44.83,0.0,100.64,,423.51,135.95,416.2,653.32,103.09,13.95
2021-01-31,Cumulative Disbursements Since April 2020,-0.0,117.92,271.25,14.0,391.34,62.85,61.91,72.93,162.29,103.11,36.27,335.27,86.8,475.97,32.36,,727.21,0.0,0.0,49.6,1847.08,46.31,76.75,220.47,149.66,35.61,1847.71,24.5,60.0,289.6,160.3,148.06,152.99,-0.0,1155.63,414.22,0.0,487.79,1164.64,421.92,19.2,322.13,22.13,205.05,155.53,58.18,44.83,0.0,100.64,,424.64,143.16,422.68,663.55,104.04,13.95
2021-02-28,Cumulative Disbursements Since April 2020,-0.0,123.64,279.9,14.0,421.02,71.62,63.67,79.45,167.51,104.43,36.61,361.63,99.34,499.46,34.42,,754.09,0.0,0.0,53.51,1859.54,47.06,77.87,342.33,158.38,40.77,1929.11,24.58,75.74,312.01,189.77,165.48,159.4,-0.0,1169.68,487.25,0.0,519.59,1181.24,432.16,19.29,340.42,22.13,239.62,168.91,58.18,47.38,0.0,100.64,,434.77,146.33,422.68,668.62,106.14,20.27
2021-03-31,Cumulative Disbursements Since April 2020,-0.0,144.85,291.97,25.66,510.48,82.6,68.47,90.01,174.79,115.92,42.81,380.16,106.17,607.94,38.52,,795.58,0.0,0.0,55.3,1924.15,47.76,78.84,379.31,233.9,41.75,1999.0,27.23,107.32,322.93,209.47,187.02,164.03,-0.0,1318.62,540.17,0.0,534.86,1333.38,612.64,19.33,361.52,22.13,249.58,171.38,58.18,47.38,0.0,1409.83,,443.53,150.67,425.01,679.69,142.05,20.27
2021-04-30,Cumulative Disbursements Since April 2020,0.0,151.31,306.76,25.66,533.15,86.73,76.27,116.78,181.42,122.89,43.84,410.17,112.19,935.86,40.63,,816.46,0.0,0.0,55.3,2119.6,46.95,84.03,393.57,254.89,43.68,2019.78,31.37,115.15,347.79,222.68,272.07,169.94,0.0,1350.45,570.04,0.0,555.42,1385.77,619.53,20.73,425.24,22.13,259.85,204.68,58.18,53.73,0.0,1409.83,,475.08,152.98,428.12,686.63,147.7,20.27
2021-05-31,Cumulative Disbursements Since April 2020,-0.0,160.78,313.68,50.57,646.77,96.33,81.49,144.46,180.22,122.76,48.98,438.97,125.66,960.89,49.55,,826.19,0.0,0.0,55.3,2122.45,46.95,84.9,414.65,264.04,44.19,2113.72,40.24,118.74,352.9,225.56,282.86,177.9,-0.0,1532.49,594.08,0.0,564.75,1403.34,626.36,22.65,439.66,22.13,266.47,205.01,58.18,53.73,0.0,1409.83,,573.71,159.32,435.71,686.63,161.01,20.27
2021-06-30,Cumulative Disbursements Since April 2020,-0.0,166.18,344.1,50.57,705.57,105.6,84.98,211.23,188.1,122.76,49.8,744.99,136.41,1040.59,56.09,,949.99,0.0,0.0,55.3,2438.88,46.03,105.5,494.62,289.83,54.92,2982.75,47.8,123.38,479.85,250.26,282.86,185.29,-0.0,1533.43,645.09,0.0,608.67,1785.55,667.45,26.73,500.75,22.35,277.54,221.11,58.18,53.73,0.0,1409.83,,693.0,167.29,471.1,806.44,172.95,20.27
2021-07-31,Cumulative Disbursements Since April 2020,-0.0,169.03,349.45,50.57,722.24,109.27,86.73,313.37,194.79,136.75,50.54,759.77,140.51,1059.97,57.07,,955.18,0.0,0.0,55.3,2516.98,46.39,107.85,511.31,293.22,64.12,2988.44,50.51,168.68,488.35,252.39,283.9,189.65,-0.0,1533.43,670.75,0.0,616.98,1754.7,683.25,27.79,518.12,22.47,286.41,221.67,58.18,79.04,0.0,1409.83,,743.19,169.58,594.15,821.78,174.82,20.27
2021-08-31,Cumulative Disbursements Since April 2020,-0.0,871.73,352.93,50.57,739.25,112.33,88.18,331.66,205.13,146.16,50.6,770.12,144.87,1082.56,60.6,,1001.37,0.0,0.0,55.93,2572.56,46.41,109.27,517.8,301.29,67.93,3024.61,53.41,173.88,512.08,268.26,283.9,195.82,-0.0,1533.77,716.11,0.0,630.37,1883.69,691.14,28.3,519.39,22.56,297.66,228.58,58.18,79.04,0.0,1409.83,,805.47,171.83,695.96,977.73,180.65,20.27
2021-09-30,Cumulative Disbursements Since April 2020,-0.0,878.3,363.31,50.57,764.17,117.17,88.78,337.55,215.33,152.65,53.07,789.44,149.46,1110.48,63.31,,1034.29,0.0,0.0,55.93,2606.86,52.58,111.57,534.03,302.16,69.33,3104.11,59.08,177.88,525.99,277.56,301.69,200.35,-0.0,1974.09,759.89,0.0,644.6,1916.16,727.13,30.65,560.88,22.56,304.59,235.16,76.63,81.17,0.0,1409.83,,812.6,177.16,697.01,990.87,220.87,32.57
2021-10-31,Cumulative Disbursements Since April 2020,-0.0,892.57,375.87,303.97,781.94,125.45,91.39,341.84,216.96,156.73,53.37,816.17,161.53,1155.53,64.97,,1092.07,0.0,0.0,55.94,2731.62,70.53,116.04,549.66,302.16,70.81,3119.72,62.9,186.59,542.47,286.76,323.07,241.06,-0.0,2044.25,810.25,0.0,674.23,1952.41,737.59,32.7,580.51,22.71,315.81,239.48,76.63,97.5,0.0,1420.03,,815.64,181.38,698.45,1011.34,233.66,32.57
2021-11-30,Cumulative Disbursements Since April 2020,-0.0,896.42,395.12,303.97,795.35,132.14,92.62,350.76,222.47,159.41,54.39,855.39,165.66,1189.09,69.5,,1221.43,0.0,0.0,55.94,2801.12,70.53,121.02,585.14,302.16,71.94,3159.45,68.08,194.75,551.57,306.13,341.01,251.0,-0.0,2042.36,848.76,0.0,709.89,2257.92,750.78,33.41,593.9,31.71,335.5,240.97,76.63,120.25,0.0,1420.03,,859.31,191.88,698.45,1019.65,237.85,32.57
2021-12-31,Cumulative Disbursements Since April 2020,-0.0,903.15,524.08,303.97,894.51,137.45,124.69,360.62,235.99,174.46,57.48,891.51,171.64,1253.03,73.01,,1200.73,0.0,0.0,57.35,2839.86,73.24,124.3,611.75,302.16,76.61,3184.92,71.81,199.82,612.78,331.14,357.76,258.67,-0.0,2151.49,921.06,0.0,982.72,2554.14,757.79,48.08,683.36,66.71,415.33,264.17,76.63,133.31,0.0,1420.03,,908.29,201.9,728.3,1053.35,243.48,32.57
2022-01-31,Cumulative Disbursements Since April 2020,-0.0,908.47,529.63,330.0,916.64,146.5,124.6,360.51,241.98,178.82,58.0,903.97,178.56,1259.21,74.61,,1217.7,0.0,0.0,65.8,2943.57,73.24,132.96,650.14,304.21,77.07,3195.41,73.55,206.95,624.8,352.67,382.22,263.08,-0.0,2184.77,974.84,0.0,996.14,2676.11,766.91,49.01,700.98,66.85,416.37,264.17,76.63,133.31,0.0,1420.03,,1038.28,204.08,729.65,1060.06,262.19,32.57
2022-02-28,Cumulative Disbursements Since April 2020,-0.0,920.92,539.38,341.68,916.65,156.87,125.54,368.09,249.93,183.51,61.95,940.61,188.56,1285.87,77.4,,1351.14,0.0,0.0,65.8,3097.2,73.24,138.4,655.54,304.55,81.41,3245.94,78.21,212.18,642.03,358.96,396.36,273.38,-0.0,2204.12,1044.8,0.0,1015.62,2792.27,779.27,50.6,716.56,66.85,421.03,272.34,76.63,153.64,0.0,1420.03,,1094.06,210.4,745.11,1072.95,267.68,32.57
2022-03-31,Cumulative Disbursements Since April 2020,-0.0,956.22,557.36,341.68,916.65,172.38,126.75,377.29,258.82,186.4,66.44,972.07,200.08,1315.09,80.2,,1390.63,0.0,0.0,65.8,3139.3,73.55,142.28,703.33,319.44,85.87,3278.84,83.2,221.93,666.61,372.47,410.85,279.97,-0.0,2207.68,1073.31,0.0,1037.91,3026.43,953.25,53.01,730.52,66.85,432.98,278.67,827.38,165.03,0.0,1420.03,,1177.19,225.47,774.59,1177.45,422.28,32.57
2022-04-30,Cumulative Disbursements Since April 2020,-0.0,1003.38,571.0,341.68,916.65,181.02,130.31,378.9,269.71,191.87,68.02,994.89,209.1,1331.32,80.91,,1786.37,0.0,0.0,66.66,3294.36,73.83,148.41,739.57,344.22,90.34,4061.77,85.69,242.22,731.59,409.07,410.85,285.77,-0.0,2232.72,1103.4,0.0,1070.21,3095.32,980.92,54.2,798.66,66.95,439.31,306.65,827.38,158.72,0.0,1420.03,,1244.64,236.0,776.22,1270.37,425.01,32.57
2022-05-31,Cumulative Disbursements Since April 2020,-0.0,1099.73,586.3,341.68,937.28,196.27,130.72,392.26,277.29,199.3,71.56,1043.78,216.2,1379.87,85.33,1.07,1836.17,0.0,0.0,141.66,3372.36,94.09,155.25,778.15,353.88,91.92,4128.05,86.35,254.44,760.82,478.84,410.85,299.44,-0.0,2264.45,1127.24,0.0,1104.98,3234.68,1007.39,55.0,821.95,67.08,444.71,344.61,827.38,158.72,0.0,1420.03,,1248.93,335.95,940.35,1312.87,445.47,32.57
