Country,Cause,Type,2000,2019,Deaths (2000),Deaths (2019)
Madagascar,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",84.01,42.98,"13,273","11,606"
Malawi,Cirrhosis of the liver,Noncommunicable diseases,41.58,17.52,"4,616","3,259"
Malawi,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",132.62,31.09,"14,721","5,782"
Malawi,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",556.6,69.03,"61,783","12,839"
Malawi,Ischaemic heart disease,Noncommunicable diseases,48.44,26.5,"5,377","4,929"
Malawi,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",143.23,41.61,"15,898","7,739"
Malawi,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",197.8,33.91,"21,956","6,308"
Malawi,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",149.17,55.79,"16,558","10,377"
Malawi,Road injury,Injuries,31.36,33.45,"3,480","6,221"
Malawi,Stroke,Noncommunicable diseases,62.25,31.93,"6,910","5,939"
Malawi,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",23.26,16.09,"2,582","2,992"
Mali,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",204.33,68.12,"22,272","13,419"
Mali,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",63.04,29.36,"6,871","5,785"
Mali,Ischaemic heart disease,Noncommunicable diseases,40.16,29.99,"4,377","5,907"
Mali,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",169.44,75.56,"18,469","14,885"
Mali,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",158.88,59.28,"17,318","11,678"
Mali,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",53.41,23.0,"5,822","4,531"
Mali,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",203.12,117.61,"22,140","23,169"
Mali,Protein-energy malnutrition,"Communicable, maternal, neonatal, and nutritional diseases",48.86,29.68,"5,326","5,848"
Mali,Road injury,Injuries,25.67,22.66,"2,798","4,465"
Mali,Stroke,Noncommunicable diseases,45.24,31.28,"4,931","6,163"
Mauritania,Congenital anomalies,Noncommunicable diseases,15.42,14.7,405,665
Mauritania,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",85.75,36.6,"2,255","1,656"
Mauritania,Ischaemic heart disease,Noncommunicable diseases,36.56,36.14,962,"1,636"
Mauritania,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",107.13,60.89,"2,818","2,756"
Mauritania,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",35.81,31.43,942,"1,423"
Mauritania,Maternal conditions,"Communicable, maternal, neonatal, and nutritional diseases",23.43,14.11,616,639
Mauritania,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",141.64,94.49,"3,725","4,276"
Mauritania,Road injury,Injuries,26.08,25.6,686,"1,158"
Mauritania,Stroke,Noncommunicable diseases,32.65,28.88,859,"1,307"
Mauritania,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",56.13,15.83,"1,476",717
Mauritius,Breast cancer,Noncommunicable diseases,6.52,18.29,77,232
Mauritius,Chronic obstructive pulmonary disease,Noncommunicable diseases,31.5,50.91,373,646
Mauritius,Colon and rectum cancers,Noncommunicable diseases,4.68,14.35,55,182
Mauritius,Diabetes mellitus,Noncommunicable diseases,96.54,147.54,"1,144","1,873"
Mauritius,Hypertensive heart disease,Noncommunicable diseases,17.54,46.6,208,592
Mauritius,Ischaemic heart disease,Noncommunicable diseases,117.5,142.15,"1,393","1,805"
Mauritius,Kidney diseases,Noncommunicable diseases,71.28,57.04,845,724
Mauritius,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",21.56,27.26,256,346
Mauritius,Stroke,Noncommunicable diseases,57.12,77.58,677,985
Mauritius,"Trachea, bronchus, lung cancers",Noncommunicable diseases,7.6,14.36,90,182
Mayotte,,,,,,
Morocco,Chronic obstructive pulmonary disease,Noncommunicable diseases,10.46,17.25,"3,014","6,296"
Morocco,Diabetes mellitus,Noncommunicable diseases,9.35,20.21,"2,692","7,377"
Morocco,Hypertensive heart disease,Noncommunicable diseases,19.24,29.41,"5,542","10,736"
Morocco,Ischaemic heart disease,Noncommunicable diseases,150.13,211.89,"43,238","77,340"
Morocco,Kidney diseases,Noncommunicable diseases,16.6,27.99,"4,782","10,216"
Morocco,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",30.43,19.83,"8,765","7,237"
Morocco,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",49.68,20.11,"14,307","7,339"
Morocco,Road injury,Injuries,23.85,16.94,"6,870","6,185"
Morocco,Stroke,Noncommunicable diseases,63.72,87.29,"18,350","31,861"
Morocco,"Trachea, bronchus, lung cancers",Noncommunicable diseases,10.58,18.04,"3,048","6,585"
Mozambique,Diabetes mellitus,Noncommunicable diseases,23.15,22.62,"4,097","6,877"
Mozambique,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",113.99,42.52,"20,176","12,928"
Mozambique,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",215.85,165.89,"38,206","50,430"
Mozambique,Hypertensive heart disease,Noncommunicable diseases,22.79,19.03,"4,033","5,786"
Mozambique,Ischaemic heart disease,Noncommunicable diseases,39.41,41.52,"6,976","12,621"
Mozambique,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",133.41,73.83,"23,613","22,445"
Mozambique,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",191.73,49.25,"33,936","14,971"
Mozambique,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",174.54,91.5,"30,894","27,817"
Mozambique,Road injury,Injuries,33.99,29.99,"6,017","9,117"
Mozambique,Stroke,Noncommunicable diseases,84.05,76.02,"14,877","23,110"
Namibia,Chronic obstructive pulmonary disease,Noncommunicable diseases,22.49,18.49,404,461
Namibia,Diabetes mellitus,Noncommunicable diseases,32.37,29.04,581,724
Namibia,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",59.51,25.85,"1,068",645
Namibia,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",380.33,117.39,"6,825","2,928"
Namibia,Ischaemic heart disease,Noncommunicable diseases,51.06,48.93,916,"1,221"
Namibia,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",91.56,58.71,"1,643","1,464"
Namibia,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",58.2,44.71,"1,044","1,115"
Namibia,Road injury,Injuries,22.54,34.81,404,868
Namibia,Stroke,Noncommunicable diseases,65.74,53.43,"1,180","1,333"
Namibia,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",45.95,56.78,825,"1,416"
Niger,Cirrhosis of the liver,Noncommunicable diseases,21.79,17.67,"2,463","4,116"
Niger,Congenital anomalies,Noncommunicable diseases,40.79,18.65,"4,609","4,346"
Niger,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",289.02,68.8,"32,659","16,030"
Niger,Ischaemic heart disease,Noncommunicable diseases,33.09,35.32,"3,739","8,229"
Niger,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",279.4,90.53,"31,572","21,093"
Niger,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",150.92,73.06,"17,054","17,022"
Niger,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",111.44,22.48,"12,593","5,237"
Niger,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",196.47,103.69,"22,201","24,160"
Niger,Road injury,Injuries,28.51,25.52,"3,222","5,946"
Niger,Stroke,Noncommunicable diseases,40.5,37.41,"4,577","8,717"
Nigeria,Congenital anomalies,Noncommunicable diseases,24.51,24.72,"29,905","49,696"
Nigeria,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",155.97,72.0,"190,286","144,724"
Nigeria,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",49.7,21.95,"60,632","44,124"
Nigeria,Ischaemic heart disease,Noncommunicable diseases,42.53,30.53,"51,891","61,374"
Nigeria,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",134.19,103.12,"163,713","207,281"
Nigeria,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",145.0,50.23,"176,903","100,963"
Nigeria,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",29.21,21.72,"35,640","43,651"
Nigeria,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",162.7,118.78,"198,490","238,750"
Nigeria,Stroke,Noncommunicable diseases,45.79,28.73,"55,869","57,744"
Nigeria,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",65.6,63.35,"80,030","127,335"
Reunion,,,,,,
Rwanda,Cirrhosis of the liver,Noncommunicable diseases,48.13,20.22,"3,818","2,548"
Rwanda,Diabetes mellitus,Noncommunicable diseases,27.24,14.75,"2,162","1,858"
Rwanda,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",220.88,24.77,"17,524","3,121"
Rwanda,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",161.43,22.42,"12,807","2,826"
Rwanda,Ischaemic heart disease,Noncommunicable diseases,48.65,28.61,"3,860","3,605"
Rwanda,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",215.38,41.9,"17,088","5,280"
Rwanda,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",60.6,26.17,"4,808","3,298"
Rwanda,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",139.32,43.02,"11,053","5,420"
Rwanda,Road injury,Injuries,37.96,29.51,"3,012","3,718"
Rwanda,Stroke,Noncommunicable diseases,91.56,40.16,"7,264","5,060"
Sao Tome and Principe,Chronic obstructive pulmonary disease,Noncommunicable diseases,20.48,19.07,29,41
Sao Tome and Principe,Cirrhosis of the liver,Noncommunicable diseases,26.28,18.82,37,40
Sao Tome and Principe,Congenital anomalies,Noncommunicable diseases,18.56,12.56,26,27
Sao Tome and Principe,Ischaemic heart disease,Noncommunicable diseases,44.61,50.09,63,108
Sao Tome and Principe,Kidney diseases,Noncommunicable diseases,19.32,20.37,27,44
Sao Tome and Principe,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",105.52,51.61,150,111
Sao Tome and Principe,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",83.5,36.11,119,78
Sao Tome and Principe,Road injury,Injuries,12.32,27.9,18,60
Sao Tome and Principe,Stroke,Noncommunicable diseases,44.49,42.73,63,92
Sao Tome and Principe,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",23.95,19.18,34,41
Senegal,Congenital anomalies,Noncommunicable diseases,20.45,14.51,"2,003","2,364"
Senegal,Diabetes mellitus,Noncommunicable diseases,15.6,14.7,"1,528","2,395"
Senegal,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",123.0,32.78,"12,052","5,343"
Senegal,Ischaemic heart disease,Noncommunicable diseases,45.92,38.19,"4,499","6,224"
Senegal,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",125.92,44.07,"12,338","7,184"
Senegal,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",54.27,28.19,"5,317","4,595"
Senegal,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",133.34,62.97,"13,064","10,264"
Senegal,Road injury,Injuries,24.81,23.51,"2,431","3,832"
Senegal,Stroke,Noncommunicable diseases,42.26,32.77,"4,141","5,342"
Senegal,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",28.14,16.43,"2,757","2,678"
Seychelles,Chronic obstructive pulmonary disease,Noncommunicable diseases,24.06,22.97,19,22
Seychelles,Cirrhosis of the liver,Noncommunicable diseases,30.62,31.99,25,31
Seychelles,Colon and rectum cancers,Noncommunicable diseases,17.54,25.26,14,25
Seychelles,Diabetes mellitus,Noncommunicable diseases,16.23,26.13,13,26
Seychelles,Hypertensive heart disease,Noncommunicable diseases,53.77,42.91,44,42
Seychelles,Ischaemic heart disease,Noncommunicable diseases,105.18,106.3,85,104
Seychelles,Kidney diseases,Noncommunicable diseases,35.67,43.65,29,43
Seychelles,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",50.57,76.6,41,75
Seychelles,Prostate cancer,Noncommunicable diseases,15.91,20.49,13,20
Seychelles,Stroke,Noncommunicable diseases,61.24,68.04,50,66
Sierra Leone,Congenital anomalies,Noncommunicable diseases,31.83,19.61,"1,459","1,532"
Sierra Leone,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",193.46,67.51,"8,869","5,275"
Sierra Leone,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",58.29,32.58,"2,672","2,546"
Sierra Leone,Ischaemic heart disease,Noncommunicable diseases,54.38,51.54,"2,493","4,027"
Sierra Leone,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",190.62,94.96,"8,739","7,420"
Sierra Leone,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",211.66,87.34,"9,704","6,824"
Sierra Leone,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",187.99,98.31,"8,619","7,681"
Sierra Leone,Road injury,Injuries,31.23,33.04,"1,432","2,581"
Sierra Leone,Stroke,Noncommunicable diseases,51.62,48.24,"2,366","3,769"
Sierra Leone,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",74.96,30.9,"3,436","2,414"
Somalia,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",258.74,99.76,"22,956","15,363"
Somalia,Ischaemic heart disease,Noncommunicable diseases,42.9,46.97,"3,807","7,233"
Somalia,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",228.46,140.98,"20,270","21,712"
Somalia,Measles,"Communicable, maternal, neonatal, and nutritional diseases",102.05,75.17,"9,054","11,576"
Somalia,Meningitis,"Communicable, maternal, neonatal, and nutritional diseases",57.62,34.94,"5,112","5,381"
Somalia,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",179.13,125.02,"15,893","19,253"
Somalia,Protein-energy malnutrition,"Communicable, maternal, neonatal, and nutritional diseases",58.99,31.33,"5,234","4,825"
Somalia,Road injury,Injuries,27.65,27.47,"2,453","4,231"
Somalia,Stroke,Noncommunicable diseases,61.97,55.81,"5,498","8,595"
Somalia,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",90.91,66.63,"8,066","10,261"
South Africa,Diabetes mellitus,Noncommunicable diseases,42.69,51.51,"19,213","30,188"
South Africa,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",39.95,27.04,"17,980","15,843"
South Africa,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",329.23,122.86,"148,155","71,996"
South Africa,Interpersonal violence,Injuries,53.77,35.84,"24,197","21,000"
South Africa,Ischaemic heart disease,Noncommunicable diseases,61.79,55.87,"27,806","32,739"
South Africa,Kidney diseases,Noncommunicable diseases,19.83,26.11,"8,924","15,302"
South Africa,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",75.91,67.13,"34,161","39,341"
South Africa,Self-harm,Injuries,22.42,23.51,"10,090","13,774"
South Africa,Stroke,Noncommunicable diseases,65.25,52.38,"29,364","30,693"
South Africa,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",57.01,37.48,"25,652","21,965"
South Sudan,Congenital anomalies,Noncommunicable diseases,25.46,18.2,"1,578","2,020"
South Sudan,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",155.27,65.49,"9,626","7,270"
South Sudan,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",77.75,71.3,"4,820","7,915"
South Sudan,Ischaemic heart disease,Noncommunicable diseases,23.01,26.39,"1,427","2,930"
South Sudan,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",159.35,89.35,"9,879","9,918"
South Sudan,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",113.53,48.13,"7,038","5,342"
South Sudan,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",172.77,105.27,"10,711","11,685"
South Sudan,Road injury,Injuries,19.24,36.6,"1,193","4,063"
South Sudan,Stroke,Noncommunicable diseases,34.56,31.91,"2,143","3,541"
South Sudan,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",53.56,33.97,"3,321","3,771"
St. Helena,,,,,,
Sudan,Congenital anomalies,Noncommunicable diseases,20.19,12.87,"5,511","5,507"
Sudan,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",60.81,14.67,"16,601","6,277"
Sudan,Hypertensive heart disease,Noncommunicable diseases,14.15,17.03,"3,864","7,287"
Sudan,Ischaemic heart disease,Noncommunicable diseases,101.3,102.72,"27,656","43,966"
Sudan,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",93.6,29.48,"25,554","12,619"
Sudan,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",23.11,13.12,"6,309","5,614"
Sudan,Measles,"Communicable, maternal, neonatal, and nutritional diseases",22.28,21.73,"6,084","9,301"
Sudan,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",127.17,78.61,"34,717","33,645"
Sudan,Road injury,Injuries,25.48,26.77,"6,955","11,459"
Sudan,Stroke,Noncommunicable diseases,51.77,48.09,"14,134","20,582"
Tanzania,Congenital anomalies,Noncommunicable diseases,19.61,16.88,"6,570","9,791"
Tanzania,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",120.37,30.32,"40,323","17,587"
Tanzania,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",237.03,47.24,"79,406","27,402"
Tanzania,Ischaemic heart disease,Noncommunicable diseases,29.37,22.78,"9,838","13,215"
Tanzania,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",132.8,44.88,"44,489","26,028"
Tanzania,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",89.5,37.51,"29,983","21,758"
Tanzania,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",122.37,63.64,"40,995","36,911"
Tanzania,Road injury,Injuries,32.22,31.13,"10,794","18,054"
Tanzania,Stroke,Noncommunicable diseases,43.03,29.13,"14,413","16,894"
Tanzania,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",66.07,34.95,"22,134","20,269"
Togo,Cirrhosis of the liver,Noncommunicable diseases,27.64,18.77,"1,361","1,517"
Togo,Diabetes mellitus,Noncommunicable diseases,15.05,14.62,741,"1,181"
Togo,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",90.38,39.47,"4,451","3,190"
Togo,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",123.26,37.2,"6,070","3,007"
Togo,Ischaemic heart disease,Noncommunicable diseases,53.28,51.25,"2,624","4,142"
Togo,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",113.01,71.0,"5,565","5,739"
Togo,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",96.15,62.79,"4,735","5,075"
Togo,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",123.97,71.12,"6,105","5,748"
Togo,Road injury,Injuries,30.08,28.65,"1,481","2,316"
Togo,Stroke,Noncommunicable diseases,51.11,44.22,"2,517","3,574"
Tunisia,Alzheimer disease and other dementias,Noncommunicable diseases,11.57,21.43,"1,123","2,507"
Tunisia,Diabetes mellitus,Noncommunicable diseases,8.58,15.15,833,"1,773"
Tunisia,Hypertensive heart disease,Noncommunicable diseases,18.19,24.14,"1,766","2,824"
Tunisia,Ischaemic heart disease,Noncommunicable diseases,146.44,176.56,"14,217","20,658"
Tunisia,Kidney diseases,Noncommunicable diseases,15.59,22.0,"1,514","2,574"
Tunisia,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",18.6,16.34,"1,806","1,912"
Tunisia,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",24.71,15.43,"2,399","1,805"
Tunisia,Road injury,Injuries,23.71,16.48,"2,302","1,928"
Tunisia,Stroke,Noncommunicable diseases,62.1,72.73,"6,029","8,509"
Tunisia,"Trachea, bronchus, lung cancers",Noncommunicable diseases,12.68,15.8,"1,231","1,849"
Uganda,Congenital anomalies,Noncommunicable diseases,20.4,14.99,"4,834","6,641"
Uganda,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",100.9,27.32,"23,913","12,103"
Uganda,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",351.84,47.83,"83,387","21,188"
Uganda,Ischaemic heart disease,Noncommunicable diseases,31.35,19.83,"7,429","8,784"
Uganda,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",124.0,42.58,"29,388","18,865"
Uganda,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",178.3,30.65,"42,258","13,576"
Uganda,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",136.29,60.48,"32,301","26,793"
Uganda,Road injury,Injuries,33.8,29.37,"8,010","13,012"
Uganda,Stroke,Noncommunicable diseases,49.59,25.24,"11,753","11,181"
Uganda,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",26.45,16.38,"6,268","7,254"
Western Sahara,,,,,,
Zambia,Cirrhosis of the liver,Noncommunicable diseases,44.02,25.14,"4,578","4,501"
Zambia,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",159.54,35.06,"16,592","6,275"
Zambia,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",514.51,96.28,"53,509","17,234"
Zambia,Ischaemic heart disease,Noncommunicable diseases,44.27,24.76,"4,604","4,432"
Zambia,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",160.78,53.17,"16,721","9,517"
Zambia,Malaria,"Communicable, maternal, neonatal, and nutritional diseases",87.87,44.03,"9,138","7,882"
Zambia,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",135.82,72.63,"14,126","13,001"
Zambia,Road injury,Injuries,27.4,20.41,"2,850","3,654"
Zambia,Stroke,Noncommunicable diseases,57.34,44.4,"5,963","7,948"
Zambia,Tuberculosis,"Communicable, maternal, neonatal, and nutritional diseases",35.94,33.19,"3,737","5,941"
Zimbabwe,Congenital anomalies,Noncommunicable diseases,9.15,15.19,"1,089","2,217"
Zimbabwe,Diabetes mellitus,Noncommunicable diseases,14.55,22.9,"1,731","3,344"
Zimbabwe,Diarrhoeal diseases,"Communicable, maternal, neonatal, and nutritional diseases",32.83,31.47,"3,907","4,595"
Zimbabwe,HIV/AIDS,"Communicable, maternal, neonatal, and nutritional diseases",914.82,136.91,"108,863","19,988"
Zimbabwe,Ischaemic heart disease,Noncommunicable diseases,40.06,58.17,"4,767","8,493"
Zimbabwe,Lower respiratory infections,"Communicable, maternal, neonatal, and nutritional diseases",62.16,73.83,"7,397","10,779"
Zimbabwe,Neonatal conditions,"Communicable, maternal, neonatal, and nutritional diseases",69.69,65.18,"8,293","9,516"
Zimbabwe,Protein-energy malnutrition,"Communicable, maternal, neonatal, and nutritional diseases",10.43,16.41,"1,242","2,396"
Zimbabwe,Road injury,Injuries,29.27,41.35,"3,483","6,037"
Zimbabwe,Stroke,Noncommunicable diseases,26.49,35.11,"3,153","5,126"
