name,year,High income,Low income,Lower-middle income,Not classified by income,Upper-middle income,High income (value),Low income (value),Lower-middle income (value),Not classified by income (value),Upper-middle income (value),source
Finland,2021,0.0,0.38,0.38,0.54,0.13,0.0,0.38,0.38,0.54,0.13,OECD DAC Creditor Reporting System (CRS)
France,2000,0.82,0.74,1.87,0.99,0.53,0.82,0.74,1.87,0.99,0.53,OECD DAC Creditor Reporting System (CRS)
France,2001,0.76,0.79,1.87,1.1,0.51,0.76,0.79,1.87,1.1,0.51,OECD DAC Creditor Reporting System (CRS)
France,2002,0.83,1.38,2.26,1.27,0.67,0.83,1.38,2.26,1.27,0.67,OECD DAC Creditor Reporting System (CRS)
France,2003,1.05,2.53,2.42,1.63,0.74,1.05,2.53,2.42,1.63,0.74,OECD DAC Creditor Reporting System (CRS)
France,2004,1.2,2.31,3.29,2.16,0.85,1.2,2.31,3.29,2.16,0.85,OECD DAC Creditor Reporting System (CRS)
France,2005,0.07,1.58,4.96,2.17,1.47,0.07,1.58,4.96,2.17,1.47,OECD DAC Creditor Reporting System (CRS)
France,2006,0.07,1.82,5.35,1.94,2.05,0.07,1.82,5.35,1.94,2.05,OECD DAC Creditor Reporting System (CRS)
France,2007,0.06,2.12,3.56,2.1500000000000004,2.12,0.06,2.12,3.56,2.15,2.12,OECD DAC Creditor Reporting System (CRS)
France,2008,0.07,2.22,4.01,2.95,1.77,0.07,2.22,4.01,2.95,1.77,OECD DAC Creditor Reporting System (CRS)
France,2009,0.06,2.3,5.17,3.3,1.79,0.06,2.3,5.17,3.3,1.79,OECD DAC Creditor Reporting System (CRS)
France,2010,0.07,2.6,5.14,3.37,1.81,0.07,2.6,5.14,3.37,1.81,OECD DAC Creditor Reporting System (CRS)
France,2011,0.04,2.79,4.54,2.79,2.86,0.04,2.79,4.54,2.79,2.86,OECD DAC Creditor Reporting System (CRS)
France,2012,0.02,1.56,4.94,2.43,2.86,0.02,1.56,4.94,2.43,2.86,OECD DAC Creditor Reporting System (CRS)
France,2013,0.02,1.7,4.66,2.33,2.36,0.02,1.7,4.66,2.33,2.36,OECD DAC Creditor Reporting System (CRS)
France,2014,0.02,1.71,3.93,2.23,2.59,0.02,1.71,3.93,2.23,2.59,OECD DAC Creditor Reporting System (CRS)
France,2015,0.01,1.68,2.93,2.06,2.26,0.01,1.68,2.93,2.06,2.26,OECD DAC Creditor Reporting System (CRS)
France,2016,0.0,1.51,3.14,2.52,2.34,0.0,1.51,3.14,2.52,2.34,OECD DAC Creditor Reporting System (CRS)
France,2017,0.05,1.83,4.09,2.54,2.75,0.05,1.83,4.09,2.54,2.75,OECD DAC Creditor Reporting System (CRS)
France,2018,0.01,2.25,4.85,3.3899999999999997,2.36,0.01,2.25,4.85,3.39,2.36,OECD DAC Creditor Reporting System (CRS)
France,2019,0.04,1.87,4.56,3.6799999999999997,1.67,0.04,1.87,4.56,3.68,1.67,OECD DAC Creditor Reporting System (CRS)
France,2020,0.0,2.77,5.52,4.51,2.86,0.0,2.77,5.52,4.51,2.86,OECD DAC Creditor Reporting System (CRS)
France,2021,-0.01,2.67,5.28,4.95,3.4,-0.01,2.67,5.28,4.95,3.4,OECD DAC Creditor Reporting System (CRS)
Germany,2000,0.01,0.92,1.61,1.03,1.36,0.01,0.92,1.61,1.03,1.36,OECD DAC Creditor Reporting System (CRS)
Germany,2001,0.02,0.92,1.77,1.03,1.23,0.02,0.92,1.77,1.03,1.23,OECD DAC Creditor Reporting System (CRS)
Germany,2002,0.02,1.09,1.68,1.2,1.35,0.02,1.09,1.68,1.2,1.35,OECD DAC Creditor Reporting System (CRS)
Germany,2003,0.04,1.96,2.34,1.2,1.25,0.04,1.96,2.34,1.2,1.25,OECD DAC Creditor Reporting System (CRS)
Germany,2004,0.05,1.71,3.01,1.3800000000000001,1.38,0.05,1.71,3.01,1.38,1.38,OECD DAC Creditor Reporting System (CRS)
Germany,2005,0.07,1.42,3.61,1.61,3.36,0.07,1.42,3.61,1.61,3.36,OECD DAC Creditor Reporting System (CRS)
Germany,2006,0.09,2.01,4.59,1.89,1.82,0.09,2.01,4.59,1.89,1.82,OECD DAC Creditor Reporting System (CRS)
Germany,2007,0.08,2.26,4.02,2.25,3.66,0.08,2.26,4.02,2.25,3.66,OECD DAC Creditor Reporting System (CRS)
Germany,2008,0.1,2.78,3.88,2.84,4.35,0.1,2.78,3.88,2.84,4.35,OECD DAC Creditor Reporting System (CRS)
Germany,2009,0.07,2.55,3.84,3.2399999999999998,2.32,0.07,2.55,3.84,3.24,2.32,OECD DAC Creditor Reporting System (CRS)
Germany,2010,0.14,2.74,3.84,3.97,2.08,0.14,2.74,3.84,3.97,2.08,OECD DAC Creditor Reporting System (CRS)
Germany,2011,0.06,2.86,4.58,3.5,3.06,0.06,2.86,4.58,3.5,3.06,OECD DAC Creditor Reporting System (CRS)
Germany,2012,0.07,2.92,3.71,3.5999999999999996,2.58,0.07,2.92,3.71,3.6,2.58,OECD DAC Creditor Reporting System (CRS)
Germany,2013,0.04,2.79,4.22,4.3999999999999995,2.71,0.04,2.79,4.22,4.4,2.71,OECD DAC Creditor Reporting System (CRS)
Germany,2014,0.26,2.97,4.86,4.88,3.59,0.26,2.97,4.86,4.88,3.59,OECD DAC Creditor Reporting System (CRS)
Germany,2015,0.02,2.27,4.39,7.38,3.6,0.02,2.27,4.39,7.38,3.6,OECD DAC Creditor Reporting System (CRS)
Germany,2016,0.15,3.68,4.87,11.47,4.23,0.15,3.68,4.87,11.47,4.23,OECD DAC Creditor Reporting System (CRS)
Germany,2017,0.09,4.18,5.07,11.17,4.34,0.09,4.18,5.07,11.17,4.34,OECD DAC Creditor Reporting System (CRS)
Germany,2018,0.01,4.59,6.34,10.219999999999999,4.44,0.01,4.59,6.34,10.22,4.44,OECD DAC Creditor Reporting System (CRS)
Germany,2019,0.01,4.35,5.01,10.229999999999999,4.21,0.01,4.35,5.01,10.23,4.21,OECD DAC Creditor Reporting System (CRS)
Germany,2020,-0.02,5.29,7.03,12.129999999999999,4.53,-0.02,5.29,7.03,12.13,4.53,OECD DAC Creditor Reporting System (CRS)
Germany,2021,0.01,5.29,6.89,16.03,3.96,0.01,5.29,6.89,16.03,3.96,OECD DAC Creditor Reporting System (CRS)
Greece,2000,0.0,0.02,0.04,0.03,0.12,0.0,0.02,0.04,0.03,0.12,OECD DAC Creditor Reporting System (CRS)
Greece,2001,0.0,0.02,0.04,0.02,0.1,0.0,0.02,0.04,0.02,0.1,OECD DAC Creditor Reporting System (CRS)
Greece,2002,0.0,0.05,0.05,0.05,0.11,0.0,0.05,0.05,0.05,0.11,OECD DAC Creditor Reporting System (CRS)
Greece,2003,0.0,0.05,0.06,0.05,0.2,0.0,0.05,0.06,0.05,0.2,OECD DAC Creditor Reporting System (CRS)
Greece,2004,0.0,0.06,0.07,0.1,0.1,0.0,0.06,0.07,0.1,0.1,OECD DAC Creditor Reporting System (CRS)
Greece,2005,0.0,0.07,0.08,0.09,0.13,0.0,0.07,0.08,0.09,0.13,OECD DAC Creditor Reporting System (CRS)
Greece,2006,0.0,0.08,0.11,0.09,0.12,0.0,0.08,0.11,0.09,0.12,OECD DAC Creditor Reporting System (CRS)
Greece,2007,0.0,0.09,0.11,0.13,0.16,0.0,0.09,0.11,0.13,0.16,OECD DAC Creditor Reporting System (CRS)
Greece,2008,0.0,0.12,0.17,0.15,0.2,0.0,0.12,0.17,0.15,0.2,OECD DAC Creditor Reporting System (CRS)
Greece,2009,0.0,0.1,0.13,0.17,0.19,0.0,0.1,0.13,0.17,0.19,OECD DAC Creditor Reporting System (CRS)
Greece,2010,0.0,0.08,0.11,0.16,0.14,0.0,0.08,0.11,0.16,0.14,OECD DAC Creditor Reporting System (CRS)
Greece,2011,0.0,0.05,0.09,0.09,0.18,0.0,0.05,0.09,0.09,0.18,OECD DAC Creditor Reporting System (CRS)
Greece,2012,0.0,0.04,0.08,0.07,0.13,0.0,0.04,0.08,0.07,0.13,OECD DAC Creditor Reporting System (CRS)
Greece,2013,0.0,0.04,0.06,0.07,0.07,0.0,0.04,0.06,0.07,0.07,OECD DAC Creditor Reporting System (CRS)
Greece,2014,0.0,0.04,0.06,0.07,0.07,0.0,0.04,0.06,0.07,0.07,OECD DAC Creditor Reporting System (CRS)
Greece,2015,0.0,0.03,0.05,0.09,0.06,0.0,0.03,0.05,0.09,0.06,OECD DAC Creditor Reporting System (CRS)
Greece,2016,0.0,0.04,0.06,0.19,0.08,0.0,0.04,0.06,0.19,0.08,OECD DAC Creditor Reporting System (CRS)
Greece,2017,0.0,0.05,0.07,0.11,0.08,0.0,0.05,0.07,0.11,0.08,OECD DAC Creditor Reporting System (CRS)
Greece,2018,0.0,0.05,0.07,0.09,0.07,0.0,0.05,0.07,0.09,0.07,OECD DAC Creditor Reporting System (CRS)
Greece,2019,0.0,0.04,0.06,0.19,0.06,0.0,0.04,0.06,0.19,0.06,OECD DAC Creditor Reporting System (CRS)
Greece,2020,0.0,0.04,0.08,0.14,0.06,0.0,0.04,0.08,0.14,0.06,OECD DAC Creditor Reporting System (CRS)
Greece,2021,0.0,0.05,0.1,0.1,0.07,0.0,0.05,0.1,0.1,0.07,OECD DAC Creditor Reporting System (CRS)
Hungary,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Hungary,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Hungary,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Hungary,2003,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Hungary,2004,0.0,0.01,0.02,0.01,0.03,0.0,0.01,0.02,0.01,0.03,OECD DAC Creditor Reporting System (CRS)
Hungary,2005,0.0,0.02,0.03,0.03,0.02,0.0,0.02,0.03,0.03,0.02,OECD DAC Creditor Reporting System (CRS)
Hungary,2006,0.0,0.02,0.02,0.03,0.08,0.0,0.02,0.02,0.03,0.08,OECD DAC Creditor Reporting System (CRS)
Hungary,2007,0.0,0.04,0.03,0.01,0.02,0.0,0.04,0.03,0.01,0.02,OECD DAC Creditor Reporting System (CRS)
Hungary,2008,0.0,0.03,0.03,0.02,0.02,0.0,0.03,0.03,0.02,0.02,OECD DAC Creditor Reporting System (CRS)
Hungary,2009,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,OECD DAC Creditor Reporting System (CRS)
Hungary,2010,0.0,0.03,0.03,0.03,0.02,0.0,0.03,0.03,0.03,0.02,OECD DAC Creditor Reporting System (CRS)
Hungary,2011,0.0,0.03,0.03,0.03,0.05,0.0,0.03,0.03,0.03,0.05,OECD DAC Creditor Reporting System (CRS)
Hungary,2012,0.0,0.02,0.04,0.02,0.04,0.0,0.02,0.04,0.02,0.04,OECD DAC Creditor Reporting System (CRS)
Hungary,2013,0.0,0.02,0.04,0.03,0.04,0.0,0.02,0.04,0.03,0.04,OECD DAC Creditor Reporting System (CRS)
Hungary,2014,0.0,0.02,0.04,0.04,0.04,0.0,0.02,0.04,0.04,0.04,OECD DAC Creditor Reporting System (CRS)
Hungary,2015,0.0,0.02,0.05,0.04,0.04,0.0,0.02,0.05,0.04,0.04,OECD DAC Creditor Reporting System (CRS)
Hungary,2016,0.0,0.03,0.06,0.04,0.07,0.0,0.03,0.06,0.04,0.07,OECD DAC Creditor Reporting System (CRS)
Hungary,2017,0.0,0.02,0.04,0.03,0.05,0.0,0.02,0.04,0.03,0.05,OECD DAC Creditor Reporting System (CRS)
Hungary,2018,0.0,0.04,0.11,0.06,0.08,0.0,0.04,0.11,0.06,0.08,OECD DAC Creditor Reporting System (CRS)
Hungary,2019,0.0,0.05,0.11,0.05,0.08,0.0,0.05,0.11,0.05,0.08,OECD DAC Creditor Reporting System (CRS)
Hungary,2020,0.0,0.04,0.15,0.07,0.15,0.0,0.04,0.15,0.07,0.15,OECD DAC Creditor Reporting System (CRS)
Hungary,2021,0.0,0.07,0.17,0.05,0.12,0.0,0.07,0.17,0.05,0.12,OECD DAC Creditor Reporting System (CRS)
Iceland,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2003,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2004,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2005,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2006,0.0,0.02,0.01,0.01,0.0,0.0,0.02,0.01,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2007,0.0,0.02,0.01,0.02,0.0,0.0,0.02,0.01,0.02,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2008,0.0,0.02,0.01,0.01,0.0,0.0,0.02,0.01,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2009,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2010,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2011,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2012,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2013,0.0,0.02,0.0,0.01,0.0,0.0,0.02,0.0,0.01,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2014,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2015,0.0,0.02,0.01,0.02,0.0,0.0,0.02,0.01,0.02,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2016,0.0,0.02,0.01,0.03,0.0,0.0,0.02,0.01,0.03,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2017,0.0,0.02,0.01,0.04,0.0,0.0,0.02,0.01,0.04,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2018,0.0,0.03,0.01,0.03,0.0,0.0,0.03,0.01,0.03,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2019,0.0,0.02,0.01,0.03,0.0,0.0,0.02,0.01,0.03,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2020,0.0,0.02,0.01,0.02,0.0,0.0,0.02,0.01,0.02,0.0,OECD DAC Creditor Reporting System (CRS)
Iceland,2021,0.0,0.03,0.01,0.03,0.0,0.0,0.03,0.01,0.03,0.0,OECD DAC Creditor Reporting System (CRS)
Ireland,2000,0.0,0.08,0.07,0.05,0.03,0.0,0.08,0.07,0.05,0.03,OECD DAC Creditor Reporting System (CRS)
Ireland,2001,0.0,0.11,0.08,0.05,0.03,0.0,0.11,0.08,0.05,0.03,OECD DAC Creditor Reporting System (CRS)
Ireland,2002,0.0,0.17,0.11,0.07,0.04,0.0,0.17,0.11,0.07,0.04,OECD DAC Creditor Reporting System (CRS)
Ireland,2003,0.0,0.21,0.13,0.09,0.06,0.0,0.21,0.13,0.09,0.06,OECD DAC Creditor Reporting System (CRS)
Ireland,2004,0.0,0.26,0.17,0.11,0.06,0.0,0.26,0.17,0.11,0.06,OECD DAC Creditor Reporting System (CRS)
Ireland,2005,0.0,0.28,0.21,0.15,0.06,0.0,0.28,0.21,0.15,0.06,OECD DAC Creditor Reporting System (CRS)
Ireland,2006,0.0,0.4,0.31,0.22,0.08,0.0,0.4,0.31,0.22,0.08,OECD DAC Creditor Reporting System (CRS)
Ireland,2007,0.0,0.47,0.34,0.27,0.09,0.0,0.47,0.34,0.27,0.09,OECD DAC Creditor Reporting System (CRS)
Ireland,2008,0.0,0.51,0.37,0.32,0.1,0.0,0.51,0.37,0.32,0.1,OECD DAC Creditor Reporting System (CRS)
Ireland,2009,0.0,0.39,0.28,0.24,0.08,0.0,0.39,0.28,0.24,0.08,OECD DAC Creditor Reporting System (CRS)
Ireland,2010,0.0,0.38,0.26,0.19,0.06,0.0,0.38,0.26,0.19,0.06,OECD DAC Creditor Reporting System (CRS)
Ireland,2011,0.0,0.37,0.25,0.19,0.09,0.0,0.37,0.25,0.19,0.09,OECD DAC Creditor Reporting System (CRS)
Ireland,2012,0.0,0.33,0.22,0.18,0.07,0.0,0.33,0.22,0.18,0.07,OECD DAC Creditor Reporting System (CRS)
Ireland,2013,0.0,0.35,0.23,0.19,0.07,0.0,0.35,0.23,0.19,0.07,OECD DAC Creditor Reporting System (CRS)
Ireland,2014,0.0,0.34,0.21,0.18,0.08,0.0,0.34,0.21,0.18,0.08,OECD DAC Creditor Reporting System (CRS)
Ireland,2015,0.0,0.3,0.18,0.15,0.08,0.0,0.3,0.18,0.15,0.08,OECD DAC Creditor Reporting System (CRS)
Ireland,2016,0.0,0.31,0.2,0.18,0.11,0.0,0.31,0.2,0.18,0.11,OECD DAC Creditor Reporting System (CRS)
Ireland,2017,0.0,0.31,0.19,0.23,0.11,0.0,0.31,0.19,0.23,0.11,OECD DAC Creditor Reporting System (CRS)
Ireland,2018,0.0,0.33,0.21,0.28,0.1,0.0,0.33,0.21,0.28,0.1,OECD DAC Creditor Reporting System (CRS)
Ireland,2019,0.0,0.32,0.22,0.31,0.09,0.0,0.32,0.22,0.31,0.09,OECD DAC Creditor Reporting System (CRS)
Ireland,2020,0.0,0.33,0.25,0.27,0.11,0.0,0.33,0.25,0.27,0.11,OECD DAC Creditor Reporting System (CRS)
Ireland,2021,0.0,0.36,0.27,0.36,0.13,0.0,0.36,0.27,0.36,0.13,OECD DAC Creditor Reporting System (CRS)
Italy,2000,0.03,0.37,0.42,0.25,0.29,0.03,0.37,0.42,0.25,0.29,OECD DAC Creditor Reporting System (CRS)
Italy,2001,0.02,0.44,0.51,0.36,0.28,0.02,0.44,0.51,0.36,0.28,OECD DAC Creditor Reporting System (CRS)
Italy,2002,0.01,0.94,0.64,0.39,0.22,0.01,0.94,0.64,0.39,0.22,OECD DAC Creditor Reporting System (CRS)
Italy,2003,0.01,1.01,0.55,0.45,0.27,0.01,1.01,0.55,0.45,0.27,OECD DAC Creditor Reporting System (CRS)
Italy,2004,0.02,0.65,0.74,0.57,0.41,0.02,0.65,0.74,0.57,0.41,OECD DAC Creditor Reporting System (CRS)
Italy,2005,0.02,1.1,1.86,0.64,1.4,0.02,1.1,1.86,0.64,1.4,OECD DAC Creditor Reporting System (CRS)
Italy,2006,0.02,0.69,1.43,0.42000000000000004,1.01,0.02,0.69,1.43,0.42,1.01,OECD DAC Creditor Reporting System (CRS)
Italy,2007,0.02,1.04,1.12,0.62,1.1,0.02,1.04,1.12,0.62,1.1,OECD DAC Creditor Reporting System (CRS)
Italy,2008,0.06,1.24,1.43,0.67,1.35,0.06,1.24,1.43,0.67,1.35,OECD DAC Creditor Reporting System (CRS)
Italy,2009,0.04,0.9,1.05,0.69,0.57,0.04,0.9,1.05,0.69,0.57,OECD DAC Creditor Reporting System (CRS)
Italy,2010,0.04,0.82,1.07,0.52,0.47,0.04,0.82,1.07,0.52,0.47,OECD DAC Creditor Reporting System (CRS)
Italy,2011,0.02,1.29,1.02,1.04,0.88,0.02,1.29,1.02,1.04,0.88,OECD DAC Creditor Reporting System (CRS)
Italy,2012,0.0,0.53,0.8,0.67,0.66,0.0,0.53,0.8,0.67,0.66,OECD DAC Creditor Reporting System (CRS)
Italy,2013,0.01,0.69,1.06,0.91,0.67,0.01,0.69,1.06,0.91,0.67,OECD DAC Creditor Reporting System (CRS)
Italy,2014,0.01,0.75,1.1,1.38,0.69,0.01,0.75,1.1,1.38,0.69,OECD DAC Creditor Reporting System (CRS)
Italy,2015,0.0,0.7,0.92,1.52,0.68,0.0,0.7,0.92,1.52,0.68,OECD DAC Creditor Reporting System (CRS)
Italy,2016,0.0,0.81,0.96,2.27,0.79,0.0,0.81,0.96,2.27,0.79,OECD DAC Creditor Reporting System (CRS)
Italy,2017,0.01,0.91,1.19,2.56,1.02,0.01,0.91,1.19,2.56,1.02,OECD DAC Creditor Reporting System (CRS)
Italy,2018,0.0,1.02,1.25,2.03,0.7,0.0,1.02,1.25,2.03,0.7,OECD DAC Creditor Reporting System (CRS)
Italy,2019,0.0,0.9,1.22,1.34,0.59,0.0,0.9,1.22,1.34,0.59,OECD DAC Creditor Reporting System (CRS)
Italy,2020,0.01,0.8,1.38,1.21,0.74,0.01,0.8,1.38,1.21,0.74,OECD DAC Creditor Reporting System (CRS)
Italy,2021,0.01,1.46,1.36,2.27,1.01,0.01,1.46,1.36,2.27,1.01,OECD DAC Creditor Reporting System (CRS)
Japan,2000,-0.09,1.12,7.07,2.11,2.83,-0.09,1.12,7.07,2.11,2.83,OECD DAC Creditor Reporting System (CRS)
Japan,2001,0.01,0.83,5.53,1.48,1.86,0.01,0.83,5.53,1.48,1.86,OECD DAC Creditor Reporting System (CRS)
Japan,2002,-0.03,1.03,4.7,1.31,2.02,-0.03,1.03,4.7,1.31,2.02,OECD DAC Creditor Reporting System (CRS)
Japan,2003,-0.39,1.06,5.39,1.46,0.87,-0.39,1.06,5.39,1.46,0.87,OECD DAC Creditor Reporting System (CRS)
Japan,2004,-0.05,1.14,3.42,1.69,2.52,-0.05,1.14,3.42,1.69,2.52,OECD DAC Creditor Reporting System (CRS)
Japan,2005,0.05,1.46,4.96,1.6300000000000001,4.96,0.05,1.46,4.96,1.63,4.96,OECD DAC Creditor Reporting System (CRS)
Japan,2006,0.04,2.15,5.87,1.46,1.52,0.04,2.15,5.87,1.46,1.52,OECD DAC Creditor Reporting System (CRS)
Japan,2007,-0.12,1.03,3.3,1.61,1.57,-0.12,1.03,3.3,1.61,1.57,OECD DAC Creditor Reporting System (CRS)
Japan,2008,0.02,1.48,3.31,2.65,2.09,0.02,1.48,3.31,2.65,2.09,OECD DAC Creditor Reporting System (CRS)
Japan,2009,0.06,1.9,4.34,2.21,0.77,0.06,1.9,4.34,2.21,0.77,OECD DAC Creditor Reporting System (CRS)
Japan,2010,0.16,2.85,5.9,2.03,0.08,0.16,2.85,5.9,2.03,0.08,OECD DAC Creditor Reporting System (CRS)
Japan,2011,0.09,2.67,5.0,2.8699999999999997,0.45,0.09,2.67,5.0,2.87,0.45,OECD DAC Creditor Reporting System (CRS)
Japan,2012,0.03,2.84,5.45,2.25,-0.44,0.03,2.84,5.45,2.25,-0.44,OECD DAC Creditor Reporting System (CRS)
Japan,2013,0.01,2.61,7.05,2.03,-0.26,0.01,2.61,7.05,2.03,-0.26,OECD DAC Creditor Reporting System (CRS)
Japan,2014,0.0,2.01,4.79,2.46,0.09,0.0,2.01,4.79,2.46,0.09,OECD DAC Creditor Reporting System (CRS)
Japan,2015,0.0,1.76,4.92,2.44,-0.25,0.0,1.76,4.92,2.44,-0.25,OECD DAC Creditor Reporting System (CRS)
Japan,2016,0.01,1.84,5.61,2.88,0.05,0.01,1.84,5.61,2.88,0.05,OECD DAC Creditor Reporting System (CRS)
Japan,2017,0.04,1.93,6.79,3.17,-0.49,0.04,1.93,6.79,3.17,-0.49,OECD DAC Creditor Reporting System (CRS)
Japan,2018,0.0,2.26,5.87,2.66,-0.84,0.0,2.26,5.87,2.66,-0.84,OECD DAC Creditor Reporting System (CRS)
Japan,2019,0.01,2.19,7.38,2.47,-0.62,0.01,2.19,7.38,2.47,-0.62,OECD DAC Creditor Reporting System (CRS)
Japan,2020,0.03,1.82,7.9,2.97,0.6,0.03,1.82,7.9,2.97,0.6,OECD DAC Creditor Reporting System (CRS)
Japan,2021,0.07,2.14,9.01,3.3499999999999996,0.49,0.07,2.14,9.01,3.35,0.49,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2000,0.0,0.03,0.06,0.01,0.03,0.0,0.03,0.06,0.01,0.03,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2001,0.0,0.03,0.05,0.03,0.02,0.0,0.03,0.05,0.03,0.02,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2002,0.0,0.04,0.06,0.02,0.02,0.0,0.04,0.06,0.02,0.02,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2003,0.0,0.04,0.08,0.04,0.03,0.0,0.04,0.08,0.04,0.03,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2004,0.0,0.05,0.1,0.04,0.03,0.0,0.05,0.1,0.04,0.03,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2005,0.0,0.06,0.12,0.04,0.03,0.0,0.06,0.12,0.04,0.03,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2006,0.0,0.07,0.13,0.05,0.04,0.0,0.07,0.13,0.05,0.04,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2007,0.0,0.1,0.16,0.07,0.05,0.0,0.1,0.16,0.07,0.05,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2008,0.0,0.11,0.18,0.08,0.05,0.0,0.11,0.18,0.08,0.05,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2009,0.0,0.1,0.16,0.09,0.05,0.0,0.1,0.16,0.09,0.05,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2010,0.0,0.1,0.16,0.08,0.05,0.0,0.1,0.16,0.08,0.05,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2011,0.0,0.1,0.15,0.1,0.05,0.0,0.1,0.15,0.1,0.05,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2012,0.0,0.1,0.15,0.1,0.05,0.0,0.1,0.15,0.1,0.05,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2013,0.0,0.12,0.16,0.1,0.04,0.0,0.12,0.16,0.1,0.04,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2014,0.0,0.12,0.16,0.1,0.04,0.0,0.12,0.16,0.1,0.04,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2015,0.0,0.11,0.14,0.09,0.03,0.0,0.11,0.14,0.09,0.03,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2016,0.0,0.12,0.14,0.1,0.04,0.0,0.12,0.14,0.1,0.04,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2017,0.0,0.13,0.14,0.11,0.03,0.0,0.13,0.14,0.11,0.03,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2018,0.0,0.15,0.16,0.12,0.03,0.0,0.15,0.16,0.12,0.03,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2019,0.0,0.14,0.15,0.14,0.03,0.0,0.14,0.15,0.14,0.03,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2020,0.0,0.15,0.14,0.12,0.03,0.0,0.15,0.14,0.12,0.03,OECD DAC Creditor Reporting System (CRS)
Luxembourg,2021,0.0,0.17,0.17,0.14,0.04,0.0,0.17,0.17,0.14,0.04,OECD DAC Creditor Reporting System (CRS)
Netherlands,2000,0.19,0.54,0.91,1.16,0.46,0.19,0.54,0.91,1.16,0.46,OECD DAC Creditor Reporting System (CRS)
Netherlands,2001,0.07,0.73,1.18,0.58,0.57,0.07,0.73,1.18,0.58,0.57,OECD DAC Creditor Reporting System (CRS)
Netherlands,2002,0.11,0.84,1.15,0.79,0.45,0.11,0.84,1.15,0.79,0.45,OECD DAC Creditor Reporting System (CRS)
