year,name,Humanitarian,Education,Health,Refugees in Donor Countries,Multi-sector,Administrative Costs of Donors,Government,Agriculture and Forestry & Fishing,Transport & Storage and communications,Energy,Civil society,Unallocated/ Unspecified,"Social infrastructure, protection and services",Water Supply & Sanitation,Banking & Financial Services and Business,General Budget Support,Conflict Peace and Security,Environment Protection,"Industry, Mining, Construction",Action Relating to Debt,Other,Trade Policies & Regulations,source
2013,Slovenia,6.7,8.4,3.6,0.1,2.9,9.4,5.0,2.5,3.1,2.2,2.6,1.4,2.4,2.4,0.8,2.4,3.8,3.0,1.1,0.1,0.9,0.8,OECD DAC Creditor Reporting System (CRS)
2013,South Korea,39.1,232.9,190.7,,66.4,60.4,128.6,196.9,1462.8,453.6,12.0,878.8,73.5,123.3,18.7,13.3,3.0,33.0,3181.8,5.2,0.4,11.3,OECD DAC Creditor Reporting System (CRS)
2013,Spain,216.5,154.7,156.8,25.3,142.0,206.0,117.9,141.3,110.3,83.6,123.9,127.2,108.7,135.7,34.7,96.5,143.3,42.7,30.9,250.6,33.5,29.6,OECD DAC Creditor Reporting System (CRS)
2013,Sweden,494.6,191.9,519.4,595.2,230.8,260.8,212.2,149.6,104.9,130.6,574.7,137.9,103.5,158.5,139.8,124.6,181.4,137.5,77.0,63.1,13.8,55.5,OECD DAC Creditor Reporting System (CRS)
2013,Switzerland,404.1,138.6,164.8,492.4,308.7,267.5,236.3,135.9,81.7,67.5,64.6,167.1,52.4,207.5,115.5,54.3,140.5,126.6,26.6,17.1,11.1,47.6,OECD DAC Creditor Reporting System (CRS)
2013,United Kingdom,1826.3,1980.1,3985.9,56.6,1372.6,605.6,1132.0,669.9,941.1,775.8,564.3,592.5,819.4,505.9,621.6,472.4,405.5,959.6,215.8,133.1,215.5,195.9,OECD DAC Creditor Reporting System (CRS)
2013,United States,6620.9,1368.6,12237.6,1343.8,900.6,2973.7,3473.9,1904.2,1376.2,1174.7,873.5,267.3,1201.8,799.0,1109.6,818.3,778.0,983.1,202.4,516.2,604.5,395.5,OECD DAC Creditor Reporting System (CRS)
2014,Australia,311.5,545.1,493.1,,814.7,291.1,479.4,146.7,204.1,45.7,155.8,103.1,103.1,139.4,60.5,36.4,101.9,117.1,22.5,8.0,27.5,21.7,OECD DAC Creditor Reporting System (CRS)
2014,Austria,78.2,198.8,53.5,116.5,70.5,61.1,58.3,60.6,70.5,56.3,26.9,148.9,47.7,58.0,32.6,39.5,24.5,22.0,19.9,121.0,7.5,10.0,OECD DAC Creditor Reporting System (CRS)
2014,Belgium,189.7,171.1,285.6,197.7,250.6,142.2,143.0,194.9,125.4,65.5,70.8,198.1,79.3,94.9,141.5,67.6,31.5,68.9,38.6,27.1,11.1,20.5,OECD DAC Creditor Reporting System (CRS)
2014,Canada,721.6,305.8,714.7,225.8,524.9,251.1,195.1,270.9,125.7,74.9,117.8,165.1,69.3,98.9,106.2,33.7,46.9,49.9,60.2,21.1,23.3,33.9,OECD DAC Creditor Reporting System (CRS)
2014,Czechia,40.2,26.0,13.4,15.6,13.7,17.7,16.3,16.8,11.7,8.7,13.4,5.9,12.3,12.1,2.2,11.9,12.0,8.2,3.9,0.2,2.9,3.1,OECD DAC Creditor Reporting System (CRS)
2014,Denmark,334.0,149.9,237.5,243.7,86.1,193.4,139.2,151.1,63.9,76.9,216.7,311.1,64.4,135.6,65.9,78.2,78.1,156.2,66.7,6.9,13.8,12.7,OECD DAC Creditor Reporting System (CRS)
2014,Estonia,9.3,4.2,2.1,0.4,1.9,2.8,3.5,1.5,3.2,1.4,3.3,1.7,1.7,1.1,1.5,1.3,2.9,1.9,0.5,0.1,0.4,0.5,OECD DAC Creditor Reporting System (CRS)
2014,Finland,170.8,107.5,159.2,16.4,88.4,102.9,67.7,129.3,66.2,96.9,80.6,105.2,51.0,78.5,35.4,59.4,60.3,61.9,18.2,13.0,7.1,23.2,OECD DAC Creditor Reporting System (CRS)
2014,France,417.4,1633.4,1237.8,483.5,949.7,692.2,334.0,622.2,1335.9,780.2,154.4,1056.4,354.1,629.9,956.4,454.4,155.7,646.7,86.2,141.9,91.0,61.6,OECD DAC Creditor Reporting System (CRS)
2014,Germany,1490.7,2252.2,1216.0,188.4,1330.2,857.4,950.9,776.8,652.8,1987.2,956.0,2117.3,434.3,1204.8,2261.2,341.6,590.3,1028.1,384.4,1249.8,184.8,116.1,OECD DAC Creditor Reporting System (CRS)
2014,Greece,28.5,21.3,11.1,20.6,14.2,18.1,13.3,10.6,13.8,6.4,8.4,2.6,9.1,7.2,1.4,15.6,7.4,5.1,2.7,0.3,3.2,3.4,OECD DAC Creditor Reporting System (CRS)
2014,Hungary,20.3,17.8,8.3,12.7,7.9,10.0,10.8,9.3,9.8,5.7,5.8,1.8,7.3,6.8,9.7,8.5,5.1,3.7,2.3,0.2,2.0,2.1,OECD DAC Creditor Reporting System (CRS)
2014,Iceland,2.8,3.3,3.8,3.4,1.3,3.6,1.4,7.2,0.6,6.2,2.9,0.6,4.8,2.5,0.4,0.0,1.6,0.3,0.1,0.0,0.0,0.0,OECD DAC Creditor Reporting System (CRS)
2014,Ireland,148.0,68.4,148.4,0.6,37.1,50.2,33.5,59.3,16.8,10.9,71.2,40.3,40.0,15.3,8.1,23.8,17.9,12.0,3.6,3.3,24.8,4.0,OECD DAC Creditor Reporting System (CRS)
2014,Italy,349.3,223.3,238.1,829.0,164.2,151.1,217.3,190.9,226.3,135.0,119.6,99.7,169.9,136.2,41.8,166.8,76.2,112.5,50.8,73.7,43.1,37.7,OECD DAC Creditor Reporting System (CRS)
2014,Japan,790.0,500.9,655.7,0.4,802.6,547.0,364.5,565.7,3169.0,1135.3,28.5,38.1,377.7,1048.3,98.5,446.9,82.3,280.0,471.1,17.4,225.7,151.9,OECD DAC Creditor Reporting System (CRS)
2014,Lithuania,9.6,5.3,2.6,0.1,3.3,6.9,4.1,3.0,2.6,1.5,2.8,2.3,3.1,1.6,0.4,2.8,2.4,1.4,0.8,0.0,0.8,0.9,OECD DAC Creditor Reporting System (CRS)
2014,Luxembourg,60.2,64.6,80.3,0.0,30.2,30.6,16.4,18.9,11.0,8.5,11.1,25.9,15.1,17.4,22.4,3.6,3.8,5.2,4.7,1.2,4.0,3.0,OECD DAC Creditor Reporting System (CRS)
2014,Netherlands,492.6,269.3,634.6,1045.0,214.8,332.4,245.2,304.2,122.3,166.8,873.7,27.1,117.7,256.8,338.4,93.5,222.5,84.1,47.6,107.7,80.9,119.1,OECD DAC Creditor Reporting System (CRS)
2014,New Zealand,35.6,74.3,32.3,19.2,15.3,45.0,29.5,36.6,33.4,41.2,4.8,2.2,7.7,10.8,12.4,16.0,11.2,3.1,3.4,1.2,0.3,12.4,OECD DAC Creditor Reporting System (CRS)
2014,Norway,397.1,271.8,527.4,228.2,162.4,258.7,146.0,160.9,45.9,252.9,294.0,345.7,81.6,53.5,251.7,66.5,179.0,531.1,48.9,33.6,1.6,14.4,OECD DAC Creditor Reporting System (CRS)
2014,Poland,83.1,82.4,23.2,0.6,28.3,29.7,34.2,50.4,22.3,13.2,35.2,9.0,28.2,14.8,4.0,25.1,21.2,12.3,7.4,0.4,6.8,6.7,OECD DAC Creditor Reporting System (CRS)
2014,Portugal,33.0,73.3,30.2,1.2,16.6,20.6,17.7,11.0,53.2,17.2,9.2,7.0,82.2,8.9,4.6,16.0,11.9,6.7,3.3,12.9,67.7,3.3,OECD DAC Creditor Reporting System (CRS)
2014,Slovakia,14.0,9.9,4.4,1.2,4.6,7.3,6.0,4.6,3.9,2.3,4.8,4.9,4.1,2.4,0.8,4.1,4.9,2.1,1.2,0.1,1.2,1.1,OECD DAC Creditor Reporting System (CRS)
2014,Slovenia,7.9,10.0,2.5,0.1,2.9,8.8,5.0,2.6,2.7,1.9,2.5,1.2,2.3,3.1,0.6,2.7,3.5,2.0,0.9,0.1,0.7,0.7,OECD DAC Creditor Reporting System (CRS)
2014,South Korea,79.5,233.1,206.6,,78.8,57.4,99.6,140.6,2127.3,468.2,11.3,937.2,51.4,165.2,21.2,9.0,7.7,16.6,3691.1,5.0,1.3,13.0,OECD DAC Creditor Reporting System (CRS)
2014,Spain,253.0,128.1,129.7,20.1,104.9,199.5,113.4,143.9,111.8,69.4,117.8,62.6,90.7,95.8,23.9,98.7,69.1,75.2,31.3,10.5,27.2,22.8,OECD DAC Creditor Reporting System (CRS)
2014,Sweden,633.4,242.3,455.1,956.7,251.1,265.7,226.2,181.9,127.5,119.3,616.4,150.1,125.7,159.4,149.0,83.8,162.2,252.3,63.8,9.5,11.7,51.7,OECD DAC Creditor Reporting System (CRS)
2014,Switzerland,452.2,167.8,238.2,525.3,338.7,183.2,239.6,166.8,93.4,74.9,75.9,198.6,56.1,268.8,157.4,66.4,144.9,143.3,76.9,19.1,5.9,48.8,OECD DAC Creditor Reporting System (CRS)
2014,United Kingdom,2356.2,1879.9,3461.2,231.5,1479.2,636.2,1202.0,953.5,980.6,815.5,563.8,571.9,661.7,662.6,773.4,303.8,414.3,985.5,249.4,132.9,87.4,171.0,OECD DAC Creditor Reporting System (CRS)
2014,United States,7937.7,1607.0,12544.9,1660.3,1100.8,2657.8,4292.0,2093.0,1264.4,1023.5,924.1,357.0,832.5,599.1,943.3,276.3,754.0,1194.3,167.6,133.2,703.4,376.4,OECD DAC Creditor Reporting System (CRS)
2015,Australia,330.6,426.1,401.8,,780.2,223.2,426.0,132.1,217.3,46.3,178.7,302.4,84.0,127.4,88.6,0.3,92.5,53.0,39.0,12.5,30.0,45.9,OECD DAC Creditor Reporting System (CRS)
2015,Austria,84.7,208.9,46.5,544.9,62.2,60.6,73.9,69.3,68.1,62.6,26.6,172.8,45.3,57.8,23.8,37.2,19.9,42.1,14.5,3.9,6.8,10.2,OECD DAC Creditor Reporting System (CRS)
2015,Belgium,273.9,144.3,249.5,285.5,212.3,133.3,120.3,190.1,98.7,49.0,65.7,166.1,61.4,71.3,104.7,93.3,35.1,61.3,34.2,3.8,9.7,13.5,OECD DAC Creditor Reporting System (CRS)
2015,Canada,870.8,355.4,1014.6,259.3,593.0,252.2,215.2,273.8,137.4,104.4,126.0,143.0,73.4,129.8,115.8,58.8,125.1,93.1,75.2,9.0,20.1,31.5,OECD DAC Creditor Reporting System (CRS)
2015,Czechia,46.2,27.4,14.0,22.2,18.3,18.0,22.4,19.8,9.1,12.9,13.0,7.3,14.5,11.9,3.4,9.5,13.3,8.2,3.2,0.1,2.7,3.0,OECD DAC Creditor Reporting System (CRS)
2015,Denmark,286.1,132.3,177.0,449.7,82.5,183.3,203.9,141.9,56.3,65.3,304.7,258.7,63.0,106.0,100.7,51.4,70.4,119.3,50.1,2.3,9.2,18.7,OECD DAC Creditor Reporting System (CRS)
2015,Estonia,9.1,5.8,1.9,0.9,2.5,2.8,5.8,1.9,1.9,1.1,3.2,2.4,1.9,1.0,1.5,1.2,3.2,1.2,0.4,0.0,0.3,0.6,OECD DAC Creditor Reporting System (CRS)
2015,Finland,153.0,109.7,113.0,46.5,76.8,84.6,116.6,115.6,57.4,82.8,73.3,112.0,54.3,76.5,38.3,30.4,64.7,60.7,18.1,2.8,8.4,24.0,OECD DAC Creditor Reporting System (CRS)
2015,France,445.7,1561.9,917.3,428.6,1308.9,698.9,538.2,602.1,1039.5,1011.7,152.9,1346.3,424.5,678.7,595.2,496.3,163.1,797.0,134.2,249.8,93.7,67.2,OECD DAC Creditor Reporting System (CRS)
2015,Germany,1576.4,2573.9,1231.3,3827.8,1468.2,879.5,1108.5,1033.3,938.0,2427.7,933.0,3205.6,370.4,1236.1,2466.8,294.7,576.7,982.0,441.7,101.3,234.2,110.1,OECD DAC Creditor Reporting System (CRS)
2015,Greece,26.7,21.7,12.1,68.4,13.0,10.8,13.9,12.2,13.5,5.8,8.3,2.6,9.7,7.6,1.7,16.0,8.9,5.0,2.5,0.0,3.2,3.8,OECD DAC Creditor Reporting System (CRS)
2015,Hungary,24.2,35.5,10.1,13.8,10.5,9.9,12.7,10.8,10.3,6.1,6.1,13.0,8.4,13.0,3.1,8.8,6.0,4.0,2.3,0.2,2.0,2.5,OECD DAC Creditor Reporting System (CRS)
2015,Iceland,5.5,2.9,2.6,6.7,1.0,3.7,1.4,5.6,1.0,5.3,2.9,0.8,7.1,4.4,0.6,0.0,1.2,0.4,0.2,0.1,0.0,0.1,OECD DAC Creditor Reporting System (CRS)
2015,Ireland,152.6,66.1,120.9,0.9,33.0,48.6,31.3,46.6,17.2,10.7,63.2,39.0,34.0,17.3,9.4,30.4,19.6,12.3,4.3,0.7,24.1,4.2,OECD DAC Creditor Reporting System (CRS)
2015,Italy,404.9,251.7,243.9,1150.7,156.2,149.3,334.9,263.1,225.5,136.4,119.2,140.9,168.7,122.5,53.2,161.8,99.6,104.7,54.8,100.7,47.1,41.2,OECD DAC Creditor Reporting System (CRS)
2015,Japan,1023.8,507.6,658.6,0.2,1029.2,542.0,685.5,614.3,2956.2,1511.2,45.6,68.3,183.9,1122.2,141.4,188.6,70.1,318.0,497.1,55.6,282.2,96.0,OECD DAC Creditor Reporting System (CRS)
2015,Latvia,0.4,0.3,0.7,0.5,0.3,0.4,0.6,0.5,1.0,0.5,0.2,2.4,0.3,0.4,0.3,0.7,0.1,0.1,0.1,0.0,0.1,0.2,OECD DAC Creditor Reporting System (CRS)
2015,Lithuania,12.1,6.4,3.7,1.3,3.8,8.9,5.4,3.8,3.3,2.2,3.2,2.2,3.8,2.1,1.2,2.6,2.9,1.6,1.0,0.0,0.8,1.0,OECD DAC Creditor Reporting System (CRS)
2015,Luxembourg,63.6,60.2,69.9,0.1,21.7,28.3,23.3,20.5,8.2,4.8,15.5,38.6,16.6,17.1,19.9,1.8,5.4,5.3,1.7,0.3,4.9,4.3,OECD DAC Creditor Reporting System (CRS)
2015,Netherlands,800.7,254.3,618.8,1755.1,250.4,511.3,298.0,327.3,165.0,180.7,828.5,65.5,146.7,274.3,359.7,80.9,186.6,75.0,72.8,78.0,76.5,103.8,OECD DAC Creditor Reporting System (CRS)
2015,New Zealand,30.9,87.8,25.7,19.1,16.6,47.5,34.2,47.5,17.8,32.0,4.4,3.8,9.5,12.0,9.8,16.2,11.3,11.8,3.8,0.3,0.3,23.9,OECD DAC Creditor Reporting System (CRS)
2015,Norway,467.0,369.4,553.7,499.0,144.7,291.0,210.6,148.9,46.4,178.5,292.3,872.5,77.6,50.5,265.0,65.0,176.0,470.1,46.2,21.6,1.6,14.6,OECD DAC Creditor Reporting System (CRS)
2015,Poland,85.4,98.1,25.6,13.5,29.3,29.8,40.9,68.6,25.3,18.2,41.6,8.6,33.1,18.3,8.7,25.5,23.9,13.4,7.4,0.1,6.6,7.7,OECD DAC Creditor Reporting System (CRS)
2015,Portugal,32.3,65.0,40.4,3.8,18.1,20.6,17.7,13.4,19.4,25.6,9.2,5.9,52.9,8.1,4.9,15.8,13.8,9.5,4.5,18.4,39.5,4.2,OECD DAC Creditor Reporting System (CRS)
2015,Slovakia,17.5,10.9,4.9,2.4,6.8,7.3,9.8,6.1,5.4,3.7,4.6,2.0,5.7,4.2,2.1,4.2,6.0,2.5,1.5,0.1,1.2,1.3,OECD DAC Creditor Reporting System (CRS)
2015,Slovenia,9.9,10.9,2.8,9.2,3.2,7.1,5.4,3.3,2.8,1.7,2.6,1.7,2.6,3.3,1.0,2.7,4.5,2.8,1.2,0.0,0.7,0.9,OECD DAC Creditor Reporting System (CRS)
2015,South Korea,63.7,247.3,198.1,,76.8,68.3,112.1,241.8,2607.3,3141.6,19.8,1006.9,51.1,154.5,25.2,8.5,20.8,27.8,6167.9,2.6,2.3,10.7,OECD DAC Creditor Reporting System (CRS)
2015,Spain,252.1,119.8,114.0,40.5,117.7,197.1,131.8,136.9,76.4,49.8,111.7,141.1,109.3,76.0,17.4,86.5,74.1,48.5,22.0,147.1,25.9,23.4,OECD DAC Creditor Reporting System (CRS)
2015,Sweden,540.9,216.7,491.7,2512.9,277.1,284.2,729.9,154.1,130.7,168.0,591.5,113.9,128.1,158.3,93.7,124.9,159.1,135.4,68.9,5.9,12.2,63.1,OECD DAC Creditor Reporting System (CRS)
2015,Switzerland,522.4,186.9,228.7,575.9,359.5,196.1,320.2,207.4,99.2,72.8,89.4,238.2,73.0,272.9,164.9,49.6,110.2,127.8,55.4,6.2,10.7,48.4,OECD DAC Creditor Reporting System (CRS)
2015,United Kingdom,2631.4,1508.9,2689.3,427.9,1522.9,878.9,1665.7,1089.6,799.5,683.3,556.2,241.6,778.6,592.5,1228.2,307.0,622.3,810.6,224.8,31.4,86.5,161.7,OECD DAC Creditor Reporting System (CRS)
2015,United States,8089.2,1479.8,11003.9,1772.9,1171.0,2822.4,3000.3,2092.3,935.1,1148.1,775.0,667.7,654.8,705.2,777.8,404.9,856.3,1237.2,155.0,44.5,950.3,277.3,OECD DAC Creditor Reporting System (CRS)
2016,Australia,225.1,295.7,389.1,,563.7,240.1,416.4,153.4,495.0,81.8,185.7,346.1,71.0,92.1,112.3,3.5,265.4,36.2,31.9,12.2,50.8,39.6,OECD DAC Creditor Reporting System (CRS)
2016,Austria,110.6,225.3,55.1,728.9,80.6,61.6,79.9,69.7,110.3,193.5,27.3,254.2,57.5,57.2,29.9,32.3,24.1,33.5,15.4,12.9,7.0,12.0,OECD DAC Creditor Reporting System (CRS)
2016,Belgium,429.2,163.4,237.5,462.6,244.9,136.1,136.5,187.1,74.4,65.1,76.7,567.7,69.1,96.1,152.9,43.5,49.6,85.9,24.8,6.8,11.9,18.6,OECD DAC Creditor Reporting System (CRS)
2016,Canada,668.8,326.2,923.7,489.4,308.3,249.9,256.1,271.4,99.0,179.2,129.5,172.9,77.7,89.3,111.7,17.4,65.9,90.4,126.3,7.1,54.2,28.7,OECD DAC Creditor Reporting System (CRS)
2016,Czechia,64.0,29.5,16.8,27.6,24.3,21.0,24.5,24.6,12.5,13.1,16.2,7.4,17.5,14.3,5.0,13.4,16.1,11.3,3.6,0.1,3.8,4.3,OECD DAC Creditor Reporting System (CRS)
2016,Denmark,358.2,110.0,161.4,464.5,69.9,180.0,123.2,172.7,96.2,73.6,207.5,193.3,59.1,109.1,109.0,38.0,71.4,123.5,26.8,6.4,7.3,16.2,OECD DAC Creditor Reporting System (CRS)
2016,Estonia,10.6,5.9,2.4,3.8,8.1,3.9,4.3,2.8,2.0,1.8,3.5,2.0,2.1,1.3,1.8,1.6,3.6,1.3,0.5,0.0,0.5,0.7,OECD DAC Creditor Reporting System (CRS)
2016,Finland,150.0,83.6,63.0,154.8,58.5,73.3,48.9,97.5,37.6,59.1,55.0,99.0,42.8,58.7,28.6,20.1,49.0,26.7,23.6,0.9,4.9,23.8,OECD DAC Creditor Reporting System (CRS)
2016,France,674.4,1575.0,983.2,547.7,880.6,766.8,730.3,674.8,1265.2,1137.5,166.4,1330.9,359.2,935.2,646.0,434.2,175.4,655.0,186.2,170.2,97.5,70.7,OECD DAC Creditor Reporting System (CRS)
2016,Germany,3166.5,2817.8,1436.6,8265.9,1637.8,835.5,1488.3,1177.9,1322.4,2763.7,1042.2,1088.7,537.7,1283.9,1788.8,273.1,764.8,1457.2,393.6,66.4,536.6,141.3,OECD DAC Creditor Reporting System (CRS)
2016,Greece,45.1,15.2,13.7,169.6,18.0,14.1,17.5,16.4,14.9,7.6,9.8,2.5,11.4,8.9,3.0,16.7,10.6,7.1,2.8,0.0,3.6,4.2,OECD DAC Creditor Reporting System (CRS)
2016,Hungary,4.6,35.9,7.3,13.8,5.2,2.9,7.7,9.8,10.5,7.1,2.1,18.1,2.2,8.0,2.4,8.9,1.7,2.1,0.9,0.1,1.3,2.0,OECD DAC Creditor Reporting System (CRS)
2016,Iceland,8.4,2.6,3.1,19.8,1.0,4.1,1.0,5.2,0.9,5.8,2.2,1.1,8.0,3.8,0.6,0.0,1.1,0.2,0.2,0.1,0.0,0.1,OECD DAC Creditor Reporting System (CRS)
2016,Ireland,211.2,67.3,121.1,1.4,40.6,53.5,34.1,60.4,16.6,14.0,69.3,40.4,50.3,18.5,10.0,13.8,22.4,16.0,5.7,0.6,8.5,5.1,OECD DAC Creditor Reporting System (CRS)
2016,Italy,557.8,282.9,282.3,1929.4,217.0,146.6,243.0,254.5,397.7,127.2,111.2,118.4,186.3,132.9,57.9,153.5,126.3,121.2,45.8,171.7,73.3,42.6,OECD DAC Creditor Reporting System (CRS)
2016,Japan,678.0,579.2,647.6,0.2,1138.1,557.4,488.1,737.3,2869.5,1698.6,53.7,158.8,200.6,1112.9,102.0,599.5,67.7,259.2,317.8,29.3,101.2,138.4,OECD DAC Creditor Reporting System (CRS)
2016,Latvia,7.6,2.9,1.8,0.8,2.6,2.2,3.3,2.7,1.7,1.3,1.6,0.7,2.0,1.3,0.7,1.7,2.0,1.2,0.5,0.0,0.5,0.5,OECD DAC Creditor Reporting System (CRS)
2016,Lithuania,17.4,7.3,3.1,2.3,4.6,9.5,5.8,4.7,3.5,3.2,3.8,1.3,3.9,2.5,1.5,3.3,3.2,2.0,1.0,0.0,0.9,1.2,OECD DAC Creditor Reporting System (CRS)
2016,Luxembourg,74.9,71.9,65.5,0.0,28.4,27.7,27.1,23.9,6.7,6.2,17.4,34.1,18.7,10.6,29.1,2.1,5.4,4.8,2.7,0.4,5.4,4.1,OECD DAC Creditor Reporting System (CRS)
2016,Netherlands,593.9,296.4,707.3,573.0,529.1,417.6,315.9,440.9,164.7,224.1,557.6,72.8,198.6,335.4,331.1,79.8,254.3,93.9,69.8,88.0,52.5,141.4,OECD DAC Creditor Reporting System (CRS)
2016,New Zealand,35.5,78.7,22.4,18.9,19.4,48.1,35.1,49.3,12.7,27.8,6.4,4.9,8.9,11.1,16.1,29.9,12.4,4.0,1.6,0.2,0.3,17.9,OECD DAC Creditor Reporting System (CRS)
2016,Norway,555.2,466.1,563.8,912.9,136.3,296.2,150.1,116.6,66.7,168.0,274.6,190.2,80.9,52.9,283.2,38.7,156.1,432.0,30.5,22.8,2.4,13.9,OECD DAC Creditor Reporting System (CRS)
2016,Poland,153.6,98.2,32.5,8.9,44.6,37.5,53.1,150.3,116.4,26.0,44.7,10.3,41.8,24.5,15.8,33.8,31.9,19.6,10.9,1.5,8.7,10.3,OECD DAC Creditor Reporting System (CRS)
2016,Portugal,50.1,75.6,28.9,5.6,22.6,22.8,21.3,18.6,23.8,12.7,10.8,8.4,44.2,15.6,7.4,16.8,16.4,7.7,3.4,22.0,40.5,4.4,OECD DAC Creditor Reporting System (CRS)
2016,Slovakia,19.7,13.1,5.7,2.2,8.8,8.3,8.8,7.8,4.4,3.4,5.6,15.2,5.5,4.0,1.5,5.3,6.9,3.1,1.4,0.0,1.4,1.5,OECD DAC Creditor Reporting System (CRS)
2016,Slovenia,11.9,13.2,3.4,9.4,4.4,8.8,6.3,5.0,3.5,2.6,2.9,1.3,4.8,4.9,2.2,3.3,4.6,3.2,1.4,0.1,0.8,1.0,OECD DAC Creditor Reporting System (CRS)
2016,South Korea,80.3,257.2,239.7,,97.0,87.2,106.1,152.6,2864.1,303.5,15.2,609.5,51.7,124.6,25.7,6.2,25.7,29.4,5876.0,2.3,13.3,10.2,OECD DAC Creditor Reporting System (CRS)
2016,Spain,318.6,194.7,170.6,108.5,236.9,213.4,180.7,205.7,143.6,106.9,142.2,112.4,138.8,120.1,51.9,97.7,87.4,61.9,31.0,2552.0,29.3,35.8,OECD DAC Creditor Reporting System (CRS)
2016,Sweden,622.6,208.9,487.8,859.8,327.8,288.0,224.5,179.5,124.6,107.6,582.1,277.9,125.0,155.5,113.2,26.2,160.9,143.7,56.3,5.8,15.4,44.6,OECD DAC Creditor Reporting System (CRS)
2016,Switzerland,464.1,198.1,217.1,824.1,366.5,199.9,288.5,198.6,129.4,99.7,109.9,238.3,84.3,209.2,174.0,46.1,99.3,141.5,42.5,5.9,1.1,47.6,OECD DAC Creditor Reporting System (CRS)
2016,United Kingdom,2672.6,2014.8,2679.1,680.5,1778.3,972.8,1263.4,1000.8,893.7,865.7,580.6,1177.8,995.1,565.8,1262.5,1026.9,838.5,789.5,315.4,53.8,106.6,154.7,OECD DAC Creditor Reporting System (CRS)
2016,United States,8089.2,2127.6,13306.2,2444.1,1195.4,2799.2,3602.3,1977.1,664.3,1564.4,804.7,102.2,707.6,678.2,956.1,33.4,919.8,1308.9,192.2,35.4,708.1,177.4,OECD DAC Creditor Reporting System (CRS)
2017,Australia,259.2,237.5,264.6,,617.7,225.3,332.5,164.0,155.5,169.5,217.7,149.2,90.1,78.2,120.4,6.2,69.1,49.9,43.1,4.9,64.3,35.8,OECD DAC Creditor Reporting System (CRS)
2017,Austria,139.6,240.9,55.4,182.0,84.0,60.5,77.7,85.2,67.0,171.6,30.2,174.9,68.3,51.4,25.6,27.6,27.9,34.9,29.0,15.1,7.6,12.3,OECD DAC Creditor Reporting System (CRS)
2017,Belgium,339.1,193.5,244.8,373.6,222.1,137.3,122.4,193.1,75.0,120.7,71.2,110.0,64.0,81.0,111.0,42.6,42.8,101.2,43.3,19.4,14.1,13.9,OECD DAC Creditor Reporting System (CRS)
2017,Canada,854.5,309.1,1027.4,558.9,274.8,230.7,189.7,244.1,96.6,224.1,130.5,232.9,85.2,98.0,132.5,10.3,111.6,113.0,104.5,13.7,32.0,27.4,OECD DAC Creditor Reporting System (CRS)
2017,Czechia,64.8,31.2,21.7,31.1,25.3,19.1,29.2,28.5,11.7,11.4,19.0,10.1,23.6,12.8,5.6,11.2,15.0,12.8,4.9,0.1,4.3,4.1,OECD DAC Creditor Reporting System (CRS)
2017,Denmark,484.7,134.2,189.7,128.2,102.8,178.1,141.1,156.8,48.2,106.9,207.2,601.0,42.8,68.3,72.7,32.2,166.0,98.9,31.0,4.0,15.7,21.7,OECD DAC Creditor Reporting System (CRS)
2017,Estonia,9.3,5.1,2.4,3.8,4.2,6.5,4.4,2.6,2.5,1.2,3.3,2.2,1.6,1.1,1.6,1.2,3.4,2.3,0.5,0.0,0.4,0.6,OECD DAC Creditor Reporting System (CRS)
2017,Finland,143.4,85.4,62.0,89.4,61.4,71.4,66.4,91.5,45.5,153.8,56.3,136.3,48.1,48.9,27.4,18.4,45.1,23.5,11.8,1.1,5.7,12.8,OECD DAC Creditor Reporting System (CRS)
2017,France,571.0,1697.3,953.2,710.4,857.7,788.0,569.0,954.4,1294.3,1792.2,167.1,1246.9,587.3,990.4,436.7,1133.9,134.9,552.4,317.7,177.5,102.8,72.8,OECD DAC Creditor Reporting System (CRS)
2017,Germany,3948.6,2871.0,1577.0,7349.4,1417.2,1131.0,1155.6,1313.6,742.3,2611.8,1020.7,1424.2,965.5,1337.8,1858.7,235.2,1054.6,1625.3,154.1,137.2,355.8,427.7,OECD DAC Creditor Reporting System (CRS)
2017,Greece,47.7,18.6,16.0,77.0,22.2,11.4,21.4,19.7,15.7,9.4,10.0,2.1,11.0,9.5,4.0,14.1,10.1,7.9,3.7,0.3,3.9,4.3,OECD DAC Creditor Reporting System (CRS)
2017,Hungary,24.3,42.5,7.5,4.4,11.0,7.2,11.3,12.0,5.7,8.5,5.7,5.4,6.3,7.0,2.6,4.9,6.4,3.9,2.1,0.1,3.3,2.0,OECD DAC Creditor Reporting System (CRS)
2017,Iceland,6.4,1.9,1.9,24.5,1.4,3.8,0.8,5.6,0.8,5.3,3.1,1.5,9.4,2.4,0.4,0.0,1.1,0.3,0.2,0.1,0.1,0.1,OECD DAC Creditor Reporting System (CRS)
2017,Ireland,201.5,67.7,121.2,46.2,41.9,51.5,34.4,64.2,15.1,18.3,76.0,38.9,48.2,18.1,9.6,10.9,21.5,19.2,6.7,0.4,5.5,4.8,OECD DAC Creditor Reporting System (CRS)
