year,name,Africa,America,Asia,"Developing countries, unspecified",Europe,Oceania,note
2002,Germany,1830.49,512.9,1384.07,693.63,890.34,18.92,"<b>Africa:</b> 1,830.5 million<br><b>America:</b> 512.9 million<br><b>Asia:</b> 1,384.1 million<br><b>Developing countries, unspecified:</b> 693.6 million<br><b>Europe:</b> 890.3 million<br><b>Oceania:</b> 18.9 million"
2002,Greece,66.61,12.28,53.09,23.44,106.28,1.07,"<b>Africa:</b> 66.6 million<br><b>America:</b> 12.3 million<br><b>Asia:</b> 53.1 million<br><b>Developing countries, unspecified:</b> 23.4 million<br><b>Europe:</b> 106.3 million<br><b>Oceania:</b> 1.1 million"
2002,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,"<b>Africa:</b> 0.0 million<br><b>America:</b> 0.0 million<br><b>Asia:</b> 0.0 million<br><b>Developing countries, unspecified:</b> 0.0 million<br><b>Europe:</b> 0.0 million<br><b>Oceania:</b> 0.0 million"
2002,Iceland,5.99,0.22,1.09,0.24,0.13,0.01,"<b>Africa:</b> 6.0 million<br><b>America:</b> 0.2 million<br><b>Asia:</b> 1.1 million<br><b>Developing countries, unspecified:</b> 0.2 million<br><b>Europe:</b> 0.1 million<br><b>Oceania:</b> 0.0 million"
2002,Ireland,243.19,17.55,57.64,54.01,18.41,0.99,"<b>Africa:</b> 243.2 million<br><b>America:</b> 17.6 million<br><b>Asia:</b> 57.6 million<br><b>Developing countries, unspecified:</b> 54.0 million<br><b>Europe:</b> 18.4 million<br><b>Oceania:</b> 1.0 million"
2002,Italy,1340.23,107.68,321.86,212.25,207.2,7.17,"<b>Africa:</b> 1,340.2 million<br><b>America:</b> 107.7 million<br><b>Asia:</b> 321.9 million<br><b>Developing countries, unspecified:</b> 212.2 million<br><b>Europe:</b> 207.2 million<br><b>Oceania:</b> 7.2 million"
2002,Japan,1637.62,710.97,5296.65,1154.99,121.46,106.03,"<b>Africa:</b> 1,637.6 million<br><b>America:</b> 711.0 million<br><b>Asia:</b> 5,296.6 million<br><b>Developing countries, unspecified:</b> 1,155.0 million<br><b>Europe:</b> 121.5 million<br><b>Oceania:</b> 106.0 million"
2002,Luxembourg,66.42,18.23,34.1,12.72,13.8,0.2,"<b>Africa:</b> 66.4 million<br><b>America:</b> 18.2 million<br><b>Asia:</b> 34.1 million<br><b>Developing countries, unspecified:</b> 12.7 million<br><b>Europe:</b> 13.8 million<br><b>Oceania:</b> 0.2 million"
2002,Netherlands,1287.87,375.09,827.71,619.47,220.23,7.19,"<b>Africa:</b> 1,287.9 million<br><b>America:</b> 375.1 million<br><b>Asia:</b> 827.7 million<br><b>Developing countries, unspecified:</b> 619.5 million<br><b>Europe:</b> 220.2 million<br><b>Oceania:</b> 7.2 million"
2002,New Zealand,13.33,3.49,36.92,10.41,0.85,49.22,"<b>Africa:</b> 13.3 million<br><b>America:</b> 3.5 million<br><b>Asia:</b> 36.9 million<br><b>Developing countries, unspecified:</b> 10.4 million<br><b>Europe:</b> 0.8 million<br><b>Oceania:</b> 49.2 million"
2002,Norway,692.27,90.52,482.39,223.33,161.19,3.19,"<b>Africa:</b> 692.3 million<br><b>America:</b> 90.5 million<br><b>Asia:</b> 482.4 million<br><b>Developing countries, unspecified:</b> 223.3 million<br><b>Europe:</b> 161.2 million<br><b>Oceania:</b> 3.2 million"
2002,Poland,3.28,0.47,9.13,0.29,9.41,0.03,"<b>Africa:</b> 3.3 million<br><b>America:</b> 0.5 million<br><b>Asia:</b> 9.1 million<br><b>Developing countries, unspecified:</b> 0.3 million<br><b>Europe:</b> 9.4 million<br><b>Oceania:</b> 0.0 million"
2002,Portugal,136.14,8.97,142.59,14.9,17.39,1.34,"<b>Africa:</b> 136.1 million<br><b>America:</b> 9.0 million<br><b>Asia:</b> 142.6 million<br><b>Developing countries, unspecified:</b> 14.9 million<br><b>Europe:</b> 17.4 million<br><b>Oceania:</b> 1.3 million"
2002,Slovakia,1.37,0.14,1.39,2.76,0.89,0.0,"<b>Africa:</b> 1.4 million<br><b>America:</b> 0.1 million<br><b>Asia:</b> 1.4 million<br><b>Developing countries, unspecified:</b> 2.8 million<br><b>Europe:</b> 0.9 million<br><b>Oceania:</b> 0.0 million"
2002,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,"<b>Africa:</b> 0.0 million<br><b>America:</b> 0.0 million<br><b>Asia:</b> 0.0 million<br><b>Developing countries, unspecified:</b> 0.0 million<br><b>Europe:</b> 0.0 million<br><b>Oceania:</b> 0.0 million"
2002,South Korea,31.57,13.25,203.37,13.45,22.42,1.79,"<b>Africa:</b> 31.6 million<br><b>America:</b> 13.2 million<br><b>Asia:</b> 203.4 million<br><b>Developing countries, unspecified:</b> 13.4 million<br><b>Europe:</b> 22.4 million<br><b>Oceania:</b> 1.8 million"
2002,Spain,495.43,476.53,269.72,176.14,194.49,3.55,"<b>Africa:</b> 495.4 million<br><b>America:</b> 476.5 million<br><b>Asia:</b> 269.7 million<br><b>Developing countries, unspecified:</b> 176.1 million<br><b>Europe:</b> 194.5 million<br><b>Oceania:</b> 3.5 million"
2002,Sweden,736.97,162.49,489.21,467.97,131.5,2.71,"<b>Africa:</b> 737.0 million<br><b>America:</b> 162.5 million<br><b>Asia:</b> 489.2 million<br><b>Developing countries, unspecified:</b> 468.0 million<br><b>Europe:</b> 131.5 million<br><b>Oceania:</b> 2.7 million"
2002,Switzerland,265.98,90.3,243.57,237.25,91.95,1.39,"<b>Africa:</b> 266.0 million<br><b>America:</b> 90.3 million<br><b>Asia:</b> 243.6 million<br><b>Developing countries, unspecified:</b> 237.2 million<br><b>Europe:</b> 92.0 million<br><b>Oceania:</b> 1.4 million"
2002,United Kingdom,1663.57,385.23,1276.63,915.96,693.2,17.06,"<b>Africa:</b> 1,663.6 million<br><b>America:</b> 385.2 million<br><b>Asia:</b> 1,276.6 million<br><b>Developing countries, unspecified:</b> 916.0 million<br><b>Europe:</b> 693.2 million<br><b>Oceania:</b> 17.1 million"
2002,United States,4214.06,1362.56,4267.85,2643.58,1429.62,177.38,"<b>Africa:</b> 4,214.1 million<br><b>America:</b> 1,362.6 million<br><b>Asia:</b> 4,267.9 million<br><b>Developing countries, unspecified:</b> 2,643.6 million<br><b>Europe:</b> 1,429.6 million<br><b>Oceania:</b> 177.4 million"
2003,Australia,107.86,13.6,500.91,165.74,38.42,379.12,"<b>Africa:</b> 107.9 million<br><b>America:</b> 13.6 million<br><b>Asia:</b> 500.9 million<br><b>Developing countries, unspecified:</b> 165.7 million<br><b>Europe:</b> 38.4 million<br><b>Oceania:</b> 379.1 million"
2003,Austria,224.74,39.74,84.73,59.5,98.44,2.03,"<b>Africa:</b> 224.7 million<br><b>America:</b> 39.7 million<br><b>Asia:</b> 84.7 million<br><b>Developing countries, unspecified:</b> 59.5 million<br><b>Europe:</b> 98.4 million<br><b>Oceania:</b> 2.0 million"
2003,Belgium,1227.38,101.05,143.76,328.18,37.05,2.55,"<b>Africa:</b> 1,227.4 million<br><b>America:</b> 101.0 million<br><b>Asia:</b> 143.8 million<br><b>Developing countries, unspecified:</b> 328.2 million<br><b>Europe:</b> 37.0 million<br><b>Oceania:</b> 2.5 million"
2003,Canada,752.14,217.38,251.94,581.0,59.82,7.52,"<b>Africa:</b> 752.1 million<br><b>America:</b> 217.4 million<br><b>Asia:</b> 251.9 million<br><b>Developing countries, unspecified:</b> 581.0 million<br><b>Europe:</b> 59.8 million<br><b>Oceania:</b> 7.5 million"
2003,Czech Republic,6.58,11.64,59.27,0.72,13.63,0.08,"<b>Africa:</b> 6.6 million<br><b>America:</b> 11.6 million<br><b>Asia:</b> 59.3 million<br><b>Developing countries, unspecified:</b> 0.7 million<br><b>Europe:</b> 13.6 million<br><b>Oceania:</b> 0.1 million"
2003,Denmark,749.59,124.15,321.76,370.83,59.77,3.36,"<b>Africa:</b> 749.6 million<br><b>America:</b> 124.1 million<br><b>Asia:</b> 321.8 million<br><b>Developing countries, unspecified:</b> 370.8 million<br><b>Europe:</b> 59.8 million<br><b>Oceania:</b> 3.4 million"
2003,EU Institutions,3281.0,618.24,1606.72,851.86,892.16,48.66,"<b>Africa:</b> 3,281.0 million<br><b>America:</b> 618.2 million<br><b>Asia:</b> 1,606.7 million<br><b>Developing countries, unspecified:</b> 851.9 million<br><b>Europe:</b> 892.2 million<br><b>Oceania:</b> 48.7 million"
2003,Finland,220.12,43.6,141.02,102.96,37.3,1.66,"<b>Africa:</b> 220.1 million<br><b>America:</b> 43.6 million<br><b>Asia:</b> 141.0 million<br><b>Developing countries, unspecified:</b> 103.0 million<br><b>Europe:</b> 37.3 million<br><b>Oceania:</b> 1.7 million"
2003,France,4584.88,387.37,1194.93,613.11,537.3,1037.8,"<b>Africa:</b> 4,584.9 million<br><b>America:</b> 387.4 million<br><b>Asia:</b> 1,194.9 million<br><b>Developing countries, unspecified:</b> 613.1 million<br><b>Europe:</b> 537.3 million<br><b>Oceania:</b> 1,037.8 million"
2003,Germany,3297.25,700.27,1492.46,771.28,502.04,18.96,"<b>Africa:</b> 3,297.2 million<br><b>America:</b> 700.3 million<br><b>Asia:</b> 1,492.5 million<br><b>Developing countries, unspecified:</b> 771.3 million<br><b>Europe:</b> 502.0 million<br><b>Oceania:</b> 19.0 million"
2003,Greece,72.36,12.22,65.8,15.84,195.73,0.84,"<b>Africa:</b> 72.4 million<br><b>America:</b> 12.2 million<br><b>Asia:</b> 65.8 million<br><b>Developing countries, unspecified:</b> 15.8 million<br><b>Europe:</b> 195.7 million<br><b>Oceania:</b> 0.8 million"
2003,Hungary,3.13,0.58,4.19,5.21,10.28,0.03,"<b>Africa:</b> 3.1 million<br><b>America:</b> 0.6 million<br><b>Asia:</b> 4.2 million<br><b>Developing countries, unspecified:</b> 5.2 million<br><b>Europe:</b> 10.3 million<br><b>Oceania:</b> 0.0 million"
2003,Iceland,6.16,0.11,2.23,7.9,0.16,0.0,"<b>Africa:</b> 6.2 million<br><b>America:</b> 0.1 million<br><b>Asia:</b> 2.2 million<br><b>Developing countries, unspecified:</b> 7.9 million<br><b>Europe:</b> 0.2 million<br><b>Oceania:</b> 0.0 million"
2003,Ireland,311.89,23.11,67.8,76.81,15.34,1.12,"<b>Africa:</b> 311.9 million<br><b>America:</b> 23.1 million<br><b>Asia:</b> 67.8 million<br><b>Developing countries, unspecified:</b> 76.8 million<br><b>Europe:</b> 15.3 million<br><b>Oceania:</b> 1.1 million"
2003,Italy,1289.49,181.84,355.59,286.33,169.2,8.76,"<b>Africa:</b> 1,289.5 million<br><b>America:</b> 181.8 million<br><b>Asia:</b> 355.6 million<br><b>Developing countries, unspecified:</b> 286.3 million<br><b>Europe:</b> 169.2 million<br><b>Oceania:</b> 8.8 million"
2003,Japan,1737.92,626.46,4524.36,1232.96,196.19,69.19,"<b>Africa:</b> 1,737.9 million<br><b>America:</b> 626.5 million<br><b>Asia:</b> 4,524.4 million<br><b>Developing countries, unspecified:</b> 1,233.0 million<br><b>Europe:</b> 196.2 million<br><b>Oceania:</b> 69.2 million"
2003,Luxembourg,83.68,27.15,50.96,18.68,12.5,0.3,"<b>Africa:</b> 83.7 million<br><b>America:</b> 27.2 million<br><b>Asia:</b> 51.0 million<br><b>Developing countries, unspecified:</b> 18.7 million<br><b>Europe:</b> 12.5 million<br><b>Oceania:</b> 0.3 million"
2003,Netherlands,1530.01,376.63,924.97,1015.5,198.27,8.86,"<b>Africa:</b> 1,530.0 million<br><b>America:</b> 376.6 million<br><b>Asia:</b> 925.0 million<br><b>Developing countries, unspecified:</b> 1,015.5 million<br><b>Europe:</b> 198.3 million<br><b>Oceania:</b> 8.9 million"
2003,New Zealand,22.18,4.81,51.53,13.15,1.1,66.66,"<b>Africa:</b> 22.2 million<br><b>America:</b> 4.8 million<br><b>Asia:</b> 51.5 million<br><b>Developing countries, unspecified:</b> 13.2 million<br><b>Europe:</b> 1.1 million<br><b>Oceania:</b> 66.7 million"
2003,Norway,854.29,113.24,569.91,330.77,159.36,3.32,"<b>Africa:</b> 854.3 million<br><b>America:</b> 113.2 million<br><b>Asia:</b> 569.9 million<br><b>Developing countries, unspecified:</b> 330.8 million<br><b>Europe:</b> 159.4 million<br><b>Oceania:</b> 3.3 million"
2003,Poland,4.26,0.87,9.28,0.35,20.93,0.05,"<b>Africa:</b> 4.3 million<br><b>America:</b> 0.9 million<br><b>Asia:</b> 9.3 million<br><b>Developing countries, unspecified:</b> 0.3 million<br><b>Europe:</b> 20.9 million<br><b>Oceania:</b> 0.1 million"
2003,Portugal,180.41,10.47,85.61,25.81,14.87,0.86,"<b>Africa:</b> 180.4 million<br><b>America:</b> 10.5 million<br><b>Asia:</b> 85.6 million<br><b>Developing countries, unspecified:</b> 25.8 million<br><b>Europe:</b> 14.9 million<br><b>Oceania:</b> 0.9 million"
2003,Slovakia,5.41,1.07,4.98,0.32,3.62,0.02,"<b>Africa:</b> 5.4 million<br><b>America:</b> 1.1 million<br><b>Asia:</b> 5.0 million<br><b>Developing countries, unspecified:</b> 0.3 million<br><b>Europe:</b> 3.6 million<br><b>Oceania:</b> 0.0 million"
2003,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,"<b>Africa:</b> 0.0 million<br><b>America:</b> 0.0 million<br><b>Asia:</b> 0.0 million<br><b>Developing countries, unspecified:</b> 0.0 million<br><b>Europe:</b> 0.0 million<br><b>Oceania:</b> 0.0 million"
2003,South Korea,68.88,17.28,243.07,18.1,6.95,5.68,"<b>Africa:</b> 68.9 million<br><b>America:</b> 17.3 million<br><b>Asia:</b> 243.1 million<br><b>Developing countries, unspecified:</b> 18.1 million<br><b>Europe:</b> 6.9 million<br><b>Oceania:</b> 5.7 million"
2003,Spain,552.98,601.89,333.1,232.84,184.11,5.03,"<b>Africa:</b> 553.0 million<br><b>America:</b> 601.9 million<br><b>Asia:</b> 333.1 million<br><b>Developing countries, unspecified:</b> 232.8 million<br><b>Europe:</b> 184.1 million<br><b>Oceania:</b> 5.0 million"
2003,Sweden,981.18,184.26,443.91,598.02,155.12,2.61,"<b>Africa:</b> 981.2 million<br><b>America:</b> 184.3 million<br><b>Asia:</b> 443.9 million<br><b>Developing countries, unspecified:</b> 598.0 million<br><b>Europe:</b> 155.1 million<br><b>Oceania:</b> 2.6 million"
2003,Switzerland,430.19,120.19,338.74,280.26,119.18,1.55,"<b>Africa:</b> 430.2 million<br><b>America:</b> 120.2 million<br><b>Asia:</b> 338.7 million<br><b>Developing countries, unspecified:</b> 280.3 million<br><b>Europe:</b> 119.2 million<br><b>Oceania:</b> 1.6 million"
2003,United Kingdom,2605.83,324.95,1976.87,1130.53,222.8,12.63,"<b>Africa:</b> 2,605.8 million<br><b>America:</b> 325.0 million<br><b>Asia:</b> 1,976.9 million<br><b>Developing countries, unspecified:</b> 1,130.5 million<br><b>Europe:</b> 222.8 million<br><b>Oceania:</b> 12.6 million"
2003,United States,5636.02,1975.32,5468.31,2646.35,739.16,186.16,"<b>Africa:</b> 5,636.0 million<br><b>America:</b> 1,975.3 million<br><b>Asia:</b> 5,468.3 million<br><b>Developing countries, unspecified:</b> 2,646.4 million<br><b>Europe:</b> 739.2 million<br><b>Oceania:</b> 186.2 million"
2004,Australia,118.73,15.64,598.98,223.07,9.97,448.95,"<b>Africa:</b> 118.7 million<br><b>America:</b> 15.6 million<br><b>Asia:</b> 599.0 million<br><b>Developing countries, unspecified:</b> 223.1 million<br><b>Europe:</b> 10.0 million<br><b>Oceania:</b> 448.9 million"
2004,Austria,291.26,45.09,148.02,74.98,119.78,3.2,"<b>Africa:</b> 291.3 million<br><b>America:</b> 45.1 million<br><b>Asia:</b> 148.0 million<br><b>Developing countries, unspecified:</b> 75.0 million<br><b>Europe:</b> 119.8 million<br><b>Oceania:</b> 3.2 million"
2004,Belgium,804.35,125.31,187.16,271.02,57.27,4.21,"<b>Africa:</b> 804.4 million<br><b>America:</b> 125.3 million<br><b>Asia:</b> 187.2 million<br><b>Developing countries, unspecified:</b> 271.0 million<br><b>Europe:</b> 57.3 million<br><b>Oceania:</b> 4.2 million"
2004,Canada,873.69,247.57,621.83,717.34,59.16,8.64,"<b>Africa:</b> 873.7 million<br><b>America:</b> 247.6 million<br><b>Asia:</b> 621.8 million<br><b>Developing countries, unspecified:</b> 717.3 million<br><b>Europe:</b> 59.2 million<br><b>Oceania:</b> 8.6 million"
2004,Czech Republic,22.82,17.13,46.67,5.21,20.56,0.4,"<b>Africa:</b> 22.8 million<br><b>America:</b> 17.1 million<br><b>Asia:</b> 46.7 million<br><b>Developing countries, unspecified:</b> 5.2 million<br><b>Europe:</b> 20.6 million<br><b>Oceania:</b> 0.4 million"
2004,Denmark,860.49,130.98,509.3,328.27,75.78,5.4,"<b>Africa:</b> 860.5 million<br><b>America:</b> 131.0 million<br><b>Asia:</b> 509.3 million<br><b>Developing countries, unspecified:</b> 328.3 million<br><b>Europe:</b> 75.8 million<br><b>Oceania:</b> 5.4 million"
2004,EU Institutions,3888.73,702.24,1934.17,1088.69,1183.49,86.7,"<b>Africa:</b> 3,888.7 million<br><b>America:</b> 702.2 million<br><b>Asia:</b> 1,934.2 million<br><b>Developing countries, unspecified:</b> 1,088.7 million<br><b>Europe:</b> 1,183.5 million<br><b>Oceania:</b> 86.7 million"
2004,Finland,257.66,50.65,157.51,130.26,67.19,2.2,"<b>Africa:</b> 257.7 million<br><b>America:</b> 50.6 million<br><b>Asia:</b> 157.5 million<br><b>Developing countries, unspecified:</b> 130.3 million<br><b>Europe:</b> 67.2 million<br><b>Oceania:</b> 2.2 million"
2004,France,5198.83,595.52,1413.08,918.86,461.49,1220.87,"<b>Africa:</b> 5,198.8 million<br><b>America:</b> 595.5 million<br><b>Asia:</b> 1,413.1 million<br><b>Developing countries, unspecified:</b> 918.9 million<br><b>Europe:</b> 461.5 million<br><b>Oceania:</b> 1,220.9 million"
2004,Germany,3091.49,923.1,2056.5,890.52,535.59,25.95,"<b>Africa:</b> 3,091.5 million<br><b>America:</b> 923.1 million<br><b>Asia:</b> 2,056.5 million<br><b>Developing countries, unspecified:</b> 890.5 million<br><b>Europe:</b> 535.6 million<br><b>Oceania:</b> 26.0 million"
2004,Greece,88.03,13.94,76.78,39.81,103.03,1.52,"<b>Africa:</b> 88.0 million<br><b>America:</b> 13.9 million<br><b>Asia:</b> 76.8 million<br><b>Developing countries, unspecified:</b> 39.8 million<br><b>Europe:</b> 103.0 million<br><b>Oceania:</b> 1.5 million"
2004,Hungary,15.73,2.92,15.34,9.43,28.45,0.32,"<b>Africa:</b> 15.7 million<br><b>America:</b> 2.9 million<br><b>Asia:</b> 15.3 million<br><b>Developing countries, unspecified:</b> 9.4 million<br><b>Europe:</b> 28.4 million<br><b>Oceania:</b> 0.3 million"
2004,Iceland,7.33,0.11,2.74,8.87,0.18,0.0,"<b>Africa:</b> 7.3 million<br><b>America:</b> 0.1 million<br><b>Asia:</b> 2.7 million<br><b>Developing countries, unspecified:</b> 8.9 million<br><b>Europe:</b> 0.2 million<br><b>Oceania:</b> 0.0 million"
2004,Ireland,371.96,28.14,81.95,91.44,18.8,1.58,"<b>Africa:</b> 372.0 million<br><b>America:</b> 28.1 million<br><b>Asia:</b> 81.9 million<br><b>Developing countries, unspecified:</b> 91.4 million<br><b>Europe:</b> 18.8 million<br><b>Oceania:</b> 1.6 million"
2004,Italy,1070.19,241.03,501.34,329.28,229.43,17.93,"<b>Africa:</b> 1,070.2 million<br><b>America:</b> 241.0 million<br><b>Asia:</b> 501.3 million<br><b>Developing countries, unspecified:</b> 329.3 million<br><b>Europe:</b> 229.4 million<br><b>Oceania:</b> 17.9 million"
2004,Japan,1994.39,503.13,4645.83,1365.39,143.3,69.85,"<b>Africa:</b> 1,994.4 million<br><b>America:</b> 503.1 million<br><b>Asia:</b> 4,645.8 million<br><b>Developing countries, unspecified:</b> 1,365.4 million<br><b>Europe:</b> 143.3 million<br><b>Oceania:</b> 69.8 million"
2004,Luxembourg,105.7,24.49,61.66,25.02,14.08,0.6,"<b>Africa:</b> 105.7 million<br><b>America:</b> 24.5 million<br><b>Asia:</b> 61.7 million<br><b>Developing countries, unspecified:</b> 25.0 million<br><b>Europe:</b> 14.1 million<br><b>Oceania:</b> 0.6 million"
2004,Netherlands,1922.94,374.53,797.38,853.44,217.0,10.96,"<b>Africa:</b> 1,922.9 million<br><b>America:</b> 374.5 million<br><b>Asia:</b> 797.4 million<br><b>Developing countries, unspecified:</b> 853.4 million<br><b>Europe:</b> 217.0 million<br><b>Oceania:</b> 11.0 million"
2004,New Zealand,25.38,5.3,66.66,14.24,1.07,80.22,"<b>Africa:</b> 25.4 million<br><b>America:</b> 5.3 million<br><b>Asia:</b> 66.7 million<br><b>Developing countries, unspecified:</b> 14.2 million<br><b>Europe:</b> 1.1 million<br><b>Oceania:</b> 80.2 million"
2004,Norway,938.46,128.07,587.99,384.41,147.45,4.92,"<b>Africa:</b> 938.5 million<br><b>America:</b> 128.1 million<br><b>Asia:</b> 588.0 million<br><b>Developing countries, unspecified:</b> 384.4 million<br><b>Europe:</b> 147.4 million<br><b>Oceania:</b> 4.9 million"
2004,Poland,50.52,7.95,28.09,10.54,25.31,0.83,"<b>Africa:</b> 50.5 million<br><b>America:</b> 8.0 million<br><b>Asia:</b> 28.1 million<br><b>Developing countries, unspecified:</b> 10.5 million<br><b>Europe:</b> 25.3 million<br><b>Oceania:</b> 0.8 million"
2004,Portugal,875.22,13.44,84.87,28.87,23.43,1.36,"<b>Africa:</b> 875.2 million<br><b>America:</b> 13.4 million<br><b>Asia:</b> 84.9 million<br><b>Developing countries, unspecified:</b> 28.9 million<br><b>Europe:</b> 23.4 million<br><b>Oceania:</b> 1.4 million"
2004,Slovakia,8.42,1.39,10.07,3.1,5.85,0.15,"<b>Africa:</b> 8.4 million<br><b>America:</b> 1.4 million<br><b>Asia:</b> 10.1 million<br><b>Developing countries, unspecified:</b> 3.1 million<br><b>Europe:</b> 5.8 million<br><b>Oceania:</b> 0.1 million"
2004,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,"<b>Africa:</b> 0.0 million<br><b>America:</b> 0.0 million<br><b>Asia:</b> 0.0 million<br><b>Developing countries, unspecified:</b> 0.0 million<br><b>Europe:</b> 0.0 million<br><b>Oceania:</b> 0.0 million"
2004,South Korea,66.26,19.78,306.54,23.78,12.17,1.31,"<b>Africa:</b> 66.3 million<br><b>America:</b> 19.8 million<br><b>Asia:</b> 306.5 million<br><b>Developing countries, unspecified:</b> 23.8 million<br><b>Europe:</b> 12.2 million<br><b>Oceania:</b> 1.3 million"
2004,Spain,730.29,722.35,465.82,283.27,187.56,7.69,"<b>Africa:</b> 730.3 million<br><b>America:</b> 722.4 million<br><b>Asia:</b> 465.8 million<br><b>Developing countries, unspecified:</b> 283.3 million<br><b>Europe:</b> 187.6 million<br><b>Oceania:</b> 7.7 million"
2004,Sweden,954.0,241.49,586.97,766.17,175.56,5.95,"<b>Africa:</b> 954.0 million<br><b>America:</b> 241.5 million<br><b>Asia:</b> 587.0 million<br><b>Developing countries, unspecified:</b> 766.2 million<br><b>Europe:</b> 175.6 million<br><b>Oceania:</b> 6.0 million"
2004,Switzerland,418.34,134.73,376.05,482.28,124.9,1.88,"<b>Africa:</b> 418.3 million<br><b>America:</b> 134.7 million<br><b>Asia:</b> 376.1 million<br><b>Developing countries, unspecified:</b> 482.3 million<br><b>Europe:</b> 124.9 million<br><b>Oceania:</b> 1.9 million"
2004,United Kingdom,3589.37,329.45,2294.26,1397.23,274.17,16.13,"<b>Africa:</b> 3,589.4 million<br><b>America:</b> 329.4 million<br><b>Asia:</b> 2,294.3 million<br><b>Developing countries, unspecified:</b> 1,397.2 million<br><b>Europe:</b> 274.2 million<br><b>Oceania:</b> 16.1 million"
2004,United States,5738.95,2031.52,7567.27,3813.44,800.74,162.53,"<b>Africa:</b> 5,739.0 million<br><b>America:</b> 2,031.5 million<br><b>Asia:</b> 7,567.3 million<br><b>Developing countries, unspecified:</b> 3,813.4 million<br><b>Europe:</b> 800.7 million<br><b>Oceania:</b> 162.5 million"
2005,Australia,143.22,13.34,688.86,330.84,6.46,486.34,"<b>Africa:</b> 143.2 million<br><b>America:</b> 13.3 million<br><b>Asia:</b> 688.9 million<br><b>Developing countries, unspecified:</b> 330.8 million<br><b>Europe:</b> 6.5 million<br><b>Oceania:</b> 486.3 million"
2005,Austria,311.92,50.05,974.73,78.59,149.85,4.58,"<b>Africa:</b> 311.9 million<br><b>America:</b> 50.0 million<br><b>Asia:</b> 974.7 million<br><b>Developing countries, unspecified:</b> 78.6 million<br><b>Europe:</b> 149.9 million<br><b>Oceania:</b> 4.6 million"
2005,Belgium,920.67,133.4,503.58,322.05,64.99,5.76,"<b>Africa:</b> 920.7 million<br><b>America:</b> 133.4 million<br><b>Asia:</b> 503.6 million<br><b>Developing countries, unspecified:</b> 322.0 million<br><b>Europe:</b> 65.0 million<br><b>Oceania:</b> 5.8 million"
2005,Canada,1373.23,475.0,1388.79,321.5,80.3,18.67,"<b>Africa:</b> 1,373.2 million<br><b>America:</b> 475.0 million<br><b>Asia:</b> 1,388.8 million<br><b>Developing countries, unspecified:</b> 321.5 million<br><b>Europe:</b> 80.3 million<br><b>Oceania:</b> 18.7 million"
2005,Czech Republic,36.62,18.27,42.3,11.53,24.94,0.87,"<b>Africa:</b> 36.6 million<br><b>America:</b> 18.3 million<br><b>Asia:</b> 42.3 million<br><b>Developing countries, unspecified:</b> 11.5 million<br><b>Europe:</b> 24.9 million<br><b>Oceania:</b> 0.9 million"
2005,Denmark,906.55,146.42,565.82,352.99,59.84,9.48,"<b>Africa:</b> 906.5 million<br><b>America:</b> 146.4 million<br><b>Asia:</b> 565.8 million<br><b>Developing countries, unspecified:</b> 353.0 million<br><b>Europe:</b> 59.8 million<br><b>Oceania:</b> 9.5 million"
2005,EU Institutions,4245.43,793.26,2117.89,1038.36,1103.26,91.86,"<b>Africa:</b> 4,245.4 million<br><b>America:</b> 793.3 million<br><b>Asia:</b> 2,117.9 million<br><b>Developing countries, unspecified:</b> 1,038.4 million<br><b>Europe:</b> 1,103.3 million<br><b>Oceania:</b> 91.9 million"
2005,Finland,291.35,47.23,370.68,141.72,36.23,3.98,"<b>Africa:</b> 291.4 million<br><b>America:</b> 47.2 million<br><b>Asia:</b> 370.7 million<br><b>Developing countries, unspecified:</b> 141.7 million<br><b>Europe:</b> 36.2 million<br><b>Oceania:</b> 4.0 million"
2005,France,6155.52,520.02,1988.17,914.04,522.64,141.74,"<b>Africa:</b> 6,155.5 million<br><b>America:</b> 520.0 million<br><b>Asia:</b> 1,988.2 million<br><b>Developing countries, unspecified:</b> 914.0 million<br><b>Europe:</b> 522.6 million<br><b>Oceania:</b> 141.7 million"
2005,Germany,3829.96,676.97,3990.18,985.83,545.11,38.28,"<b>Africa:</b> 3,830.0 million<br><b>America:</b> 677.0 million<br><b>Asia:</b> 3,990.2 million<br><b>Developing countries, unspecified:</b> 985.8 million<br><b>Europe:</b> 545.1 million<br><b>Oceania:</b> 38.3 million"
2005,Greece,91.48,17.61,85.46,73.61,106.87,2.22,"<b>Africa:</b> 91.5 million<br><b>America:</b> 17.6 million<br><b>Asia:</b> 85.5 million<br><b>Developing countries, unspecified:</b> 73.6 million<br><b>Europe:</b> 106.9 million<br><b>Oceania:</b> 2.2 million"
2005,Hungary,27.69,6.95,27.4,13.3,20.38,3.9,"<b>Africa:</b> 27.7 million<br><b>America:</b> 7.0 million<br><b>Asia:</b> 27.4 million<br><b>Developing countries, unspecified:</b> 13.3 million<br><b>Europe:</b> 20.4 million<br><b>Oceania:</b> 3.9 million"
