name,year,High income,Low income,Lower-middle income,Not classified by income,Upper-middle income,High income (value),Low income (value),Lower-middle income (value),Not classified by income (value),Upper-middle income (value)
Germany,2022,0.01,4.46,4.96,18.89,7.79,0.01,4.46,4.96,18.89,7.79
Germany,2023,0.01,6.24,8.18,17.36,9.22,0.01,6.24,8.18,17.36,9.22
Greece,2000,0.0,0.02,0.04,0.03,0.12,0.0,0.02,0.04,0.03,0.12
Greece,2001,0.0,0.02,0.04,0.02,0.1,0.0,0.02,0.04,0.02,0.1
Greece,2002,0.0,0.04,0.06,0.05,0.11,0.0,0.04,0.06,0.05,0.11
Greece,2003,0.0,0.05,0.05,0.05,0.2,0.0,0.05,0.05,0.05,0.2
Greece,2004,0.0,0.05,0.07,0.1,0.1,0.0,0.05,0.07,0.1,0.1
Greece,2005,0.0,0.07,0.07,0.09,0.14,0.0,0.07,0.07,0.09,0.14
Greece,2006,0.0,0.08,0.11,0.09,0.13,0.0,0.08,0.11,0.09,0.13
Greece,2007,0.0,0.09,0.11,0.13,0.16,0.0,0.09,0.11,0.13,0.16
Greece,2008,0.01,0.11,0.16,0.15,0.21,0.01,0.11,0.16,0.15,0.21
Greece,2009,0.01,0.1,0.12,0.17,0.2,0.01,0.1,0.12,0.17,0.2
Greece,2010,0.01,0.08,0.11,0.16,0.15,0.01,0.08,0.11,0.16,0.15
Greece,2011,0.0,0.05,0.09,0.09,0.19,0.0,0.05,0.09,0.09,0.19
Greece,2012,0.0,0.04,0.07,0.07,0.14,0.0,0.04,0.07,0.07,0.14
Greece,2013,0.0,0.04,0.05,0.07,0.08,0.0,0.04,0.05,0.07,0.08
Greece,2014,0.0,0.04,0.05,0.07,0.08,0.0,0.04,0.05,0.07,0.08
Greece,2015,0.0,0.03,0.05,0.09,0.07,0.0,0.03,0.05,0.09,0.07
Greece,2016,0.0,0.04,0.05,0.19,0.08,0.0,0.04,0.05,0.19,0.08
Greece,2017,0.0,0.05,0.06,0.11,0.08,0.0,0.05,0.06,0.11,0.08
Greece,2018,0.0,0.05,0.06,0.09,0.08,0.0,0.05,0.06,0.09,0.08
Greece,2019,0.0,0.04,0.06,0.19,0.06,0.0,0.04,0.06,0.19,0.06
Greece,2020,0.0,0.04,0.07,0.14,0.07,0.0,0.04,0.07,0.14,0.07
Greece,2021,0.0,0.05,0.09,0.1,0.08,0.0,0.05,0.09,0.1,0.08
Greece,2022,0.0,0.04,0.05,0.14,0.13,0.0,0.04,0.05,0.14,0.13
Greece,2023,0.0,0.03,0.04,0.1,0.16,0.0,0.03,0.04,0.1,0.16
Hungary,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,2003,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01
Hungary,2004,0.0,0.01,0.01,0.01,0.03,0.0,0.01,0.01,0.01,0.03
Hungary,2005,0.0,0.02,0.03,0.03,0.03,0.0,0.02,0.03,0.03,0.03
Hungary,2006,0.0,0.02,0.02,0.03,0.08,0.0,0.02,0.02,0.03,0.08
Hungary,2007,0.0,0.04,0.02,0.01,0.02,0.0,0.04,0.02,0.01,0.02
Hungary,2008,0.0,0.03,0.03,0.02,0.03,0.0,0.03,0.03,0.02,0.03
Hungary,2009,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03
Hungary,2010,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03
Hungary,2011,0.0,0.02,0.03,0.03,0.05,0.0,0.02,0.03,0.03,0.05
Hungary,2012,0.0,0.02,0.03,0.02,0.04,0.0,0.02,0.03,0.02,0.04
Hungary,2013,0.0,0.02,0.03,0.03,0.05,0.0,0.02,0.03,0.03,0.05
Hungary,2014,0.0,0.02,0.04,0.04,0.04,0.0,0.02,0.04,0.04,0.04
Hungary,2015,0.0,0.02,0.05,0.04,0.05,0.0,0.02,0.05,0.04,0.05
Hungary,2016,0.0,0.03,0.06,0.04,0.07,0.0,0.03,0.06,0.04,0.07
Hungary,2017,0.0,0.02,0.04,0.03,0.05,0.0,0.02,0.04,0.03,0.05
Hungary,2018,0.0,0.04,0.1,0.06,0.08,0.0,0.04,0.1,0.06,0.08
Hungary,2019,0.0,0.05,0.1,0.05,0.09,0.0,0.05,0.1,0.05,0.09
Hungary,2020,0.0,0.04,0.12,0.07,0.19,0.0,0.04,0.12,0.07,0.19
Hungary,2021,0.0,0.07,0.14,0.05,0.16,0.0,0.07,0.14,0.05,0.16
Hungary,2022,0.0,0.02,0.09,0.01,0.21,0.0,0.02,0.09,0.01,0.21
Hungary,2023,0.0,0.02,0.11,0.01,0.11,0.0,0.02,0.11,0.01,0.11
Iceland,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,2003,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0
Iceland,2004,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0
Iceland,2005,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0
Iceland,2006,0.0,0.02,0.01,0.01,0.0,0.0,0.02,0.01,0.01,0.0
Iceland,2007,0.0,0.02,0.01,0.02,0.0,0.0,0.02,0.01,0.02,0.0
Iceland,2008,0.0,0.02,0.01,0.01,0.0,0.0,0.02,0.01,0.01,0.0
Iceland,2009,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0
Iceland,2010,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0
Iceland,2011,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0
Iceland,2012,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0
Iceland,2013,0.0,0.02,0.0,0.01,0.0,0.0,0.02,0.0,0.01,0.0
Iceland,2014,0.0,0.01,0.0,0.02,0.0,0.0,0.01,0.0,0.02,0.0
Iceland,2015,0.0,0.02,0.01,0.02,0.0,0.0,0.02,0.01,0.02,0.0
Iceland,2016,0.0,0.02,0.01,0.03,0.0,0.0,0.02,0.01,0.03,0.0
Iceland,2017,0.0,0.02,0.01,0.04,0.0,0.0,0.02,0.01,0.04,0.0
Iceland,2018,0.0,0.03,0.01,0.03,0.0,0.0,0.03,0.01,0.03,0.0
Iceland,2019,0.0,0.02,0.01,0.03,0.0,0.0,0.02,0.01,0.03,0.0
Iceland,2020,0.0,0.02,0.01,0.02,0.0,0.0,0.02,0.01,0.02,0.0
Iceland,2021,0.0,0.03,0.01,0.03,0.0,0.0,0.03,0.01,0.03,0.0
Iceland,2022,0.0,0.04,0.01,0.03,0.02,0.0,0.04,0.01,0.03,0.02
Iceland,2023,0.0,0.04,0.01,0.04,0.02,0.0,0.04,0.01,0.04,0.02
Ireland,2000,0.0,0.07,0.08,0.05,0.03,0.0,0.07,0.08,0.05,0.03
Ireland,2001,0.0,0.1,0.09,0.05,0.04,0.0,0.1,0.09,0.05,0.04
Ireland,2002,0.0,0.14,0.13,0.07,0.04,0.0,0.14,0.13,0.07,0.04
Ireland,2003,0.0,0.19,0.15,0.09,0.06,0.0,0.19,0.15,0.09,0.06
Ireland,2004,0.0,0.23,0.19,0.11,0.06,0.0,0.23,0.19,0.11,0.06
Ireland,2005,0.0,0.25,0.22,0.15,0.08,0.0,0.25,0.22,0.15,0.08
Ireland,2006,0.0,0.36,0.34,0.22,0.09,0.0,0.36,0.34,0.22,0.09
Ireland,2007,0.0,0.42,0.37,0.27,0.11,0.0,0.42,0.37,0.27,0.11
Ireland,2008,0.0,0.46,0.41,0.32,0.12,0.0,0.46,0.41,0.32,0.12
Ireland,2009,0.0,0.35,0.31,0.24,0.09,0.0,0.35,0.31,0.24,0.09
Ireland,2010,0.0,0.34,0.29,0.19,0.07,0.0,0.34,0.29,0.19,0.07
Ireland,2011,0.0,0.34,0.28,0.19,0.1,0.0,0.34,0.28,0.19,0.1
Ireland,2012,0.0,0.3,0.25,0.18,0.07,0.0,0.3,0.25,0.18,0.07
Ireland,2013,0.0,0.32,0.25,0.19,0.08,0.0,0.32,0.25,0.19,0.08
Ireland,2014,0.0,0.32,0.24,0.18,0.08,0.0,0.32,0.24,0.18,0.08
Ireland,2015,0.0,0.27,0.21,0.15,0.08,0.0,0.27,0.21,0.15,0.08
Ireland,2016,0.0,0.29,0.22,0.18,0.11,0.0,0.29,0.22,0.18,0.11
Ireland,2017,0.0,0.29,0.2,0.23,0.11,0.0,0.29,0.2,0.23,0.11
Ireland,2018,0.0,0.31,0.22,0.28,0.11,0.0,0.31,0.22,0.28,0.11
Ireland,2019,0.0,0.31,0.23,0.31,0.1,0.0,0.31,0.23,0.31,0.1
Ireland,2020,0.0,0.32,0.25,0.27,0.12,0.0,0.32,0.25,0.27,0.12
Ireland,2021,0.0,0.35,0.27,0.36,0.14,0.0,0.35,0.27,0.36,0.14
Ireland,2022,0.0,0.34,0.23,1.53,0.28,0.0,0.34,0.23,1.53,0.28
Ireland,2023,0.0,0.34,0.28,1.84,0.33,0.0,0.34,0.28,1.84,0.33
Italy,2000,0.04,0.33,0.45,0.25,0.29,0.04,0.33,0.45,0.25,0.29
Italy,2001,0.02,0.4,0.54,0.36,0.29,0.02,0.4,0.54,0.36,0.29
Italy,2002,0.01,0.9,0.65,0.39,0.24,0.01,0.9,0.65,0.39,0.24
Italy,2003,0.01,0.96,0.57,0.45,0.3,0.01,0.96,0.57,0.45,0.3
Italy,2004,0.02,0.62,0.73,0.57,0.44,0.02,0.62,0.73,0.57,0.44
Italy,2005,0.02,1.04,1.86,0.64,1.46,0.02,1.04,1.86,0.64,1.46
Italy,2006,0.03,0.62,1.47,0.42000000000000004,1.04,0.03,0.62,1.47,0.42,1.04
Italy,2007,0.03,1.0,1.11,0.62,1.14,0.03,1.0,1.11,0.62,1.14
Italy,2008,0.07,1.16,1.44,0.67,1.41,0.07,1.16,1.44,0.67,1.41
Italy,2009,0.05,0.86,1.05,0.69,0.59,0.05,0.86,1.05,0.69,0.59
Italy,2010,0.04,0.79,1.07,0.52,0.49,0.04,0.79,1.07,0.52,0.49
Italy,2011,0.02,1.26,1.01,1.04,0.92,0.02,1.26,1.01,1.04,0.92
Italy,2012,0.01,0.48,0.82,0.67,0.68,0.01,0.48,0.82,0.67,0.68
Italy,2013,0.01,0.66,1.05,0.91,0.7,0.01,0.66,1.05,0.91,0.7
Italy,2014,0.01,0.73,1.09,1.38,0.73,0.01,0.73,1.09,1.38,0.73
Italy,2015,0.0,0.67,0.93,1.52,0.69,0.0,0.67,0.93,1.52,0.69
Italy,2016,0.01,0.76,0.97,2.27,0.84,0.01,0.76,0.97,2.27,0.84
Italy,2017,0.02,0.88,1.18,2.56,1.05,0.02,0.88,1.18,2.56,1.05
Italy,2018,0.01,0.99,1.23,2.03,0.74,0.01,0.99,1.23,2.03,0.74
Italy,2019,0.01,0.87,1.2,1.34,0.64,0.01,0.87,1.2,1.34,0.64
Italy,2020,0.01,0.78,1.29,1.21,0.85,0.01,0.78,1.29,1.21,0.85
Italy,2021,0.02,1.59,1.58,1.89,1.03,0.02,1.59,1.58,1.89,1.03
Italy,2022,0.0,0.82,1.04,2.7399999999999998,1.81,0.0,0.82,1.04,2.74,1.81
Italy,2023,0.0,0.77,0.97,2.4,1.69,0.0,0.77,0.97,2.4,1.69
Japan,2000,0.13,0.97,6.06,2.11,3.94,0.13,0.97,6.06,2.11,3.94
Japan,2001,0.11,0.69,4.63,1.48,2.87,0.11,0.69,4.63,1.48,2.87
Japan,2002,0.03,0.89,4.13,1.31,2.71,0.03,0.89,4.13,1.31,2.71
Japan,2003,0.07,0.96,4.23,1.46,2.1,0.07,0.96,4.23,1.46,2.1
Japan,2004,0.02,1.05,3.65,1.69,2.36,0.02,1.05,3.65,1.69,2.36
Japan,2005,0.06,1.27,3.8,1.6300000000000001,6.29,0.06,1.27,3.8,1.63,6.29
Japan,2006,0.07,1.93,6.03,1.46,1.56,0.07,1.93,6.03,1.46,1.56
Japan,2007,-0.11,0.9,3.49,1.61,1.49,-0.11,0.9,3.49,1.61,1.49
Japan,2008,0.05,1.38,3.45,2.65,2.02,0.05,1.38,3.45,2.65,2.02
Japan,2009,0.08,1.83,4.64,2.21,0.52,0.08,1.83,4.64,2.21,0.52
Japan,2010,0.17,2.77,5.65,2.03,0.39,0.17,2.77,5.65,2.03,0.39
Japan,2011,0.1,2.57,5.35,2.8699999999999997,0.19,0.1,2.57,5.35,2.87,0.19
Japan,2012,0.05,2.59,6.39,2.25,-1.16,0.05,2.59,6.39,2.25,-1.16
Japan,2013,0.03,2.43,7.78,2.03,-0.82,0.03,2.43,7.78,2.03,-0.82
Japan,2014,0.01,1.87,5.98,2.46,-0.97,0.01,1.87,5.98,2.46,-0.97
Japan,2015,0.01,1.68,6.05,2.44,-1.29,0.01,1.68,6.05,2.44,-1.29
Japan,2016,0.02,1.73,6.46,2.88,-0.71,0.02,1.73,6.46,2.88,-0.71
Japan,2017,0.05,1.84,7.56,3.17,-1.19,0.05,1.84,7.56,3.17,-1.19
Japan,2018,0.02,2.13,6.75,2.66,-1.63,0.02,2.13,6.75,2.66,-1.63
Japan,2019,0.03,2.06,8.29,2.47,-1.43,0.03,2.06,8.29,2.47,-1.43
Japan,2020,0.07,1.74,7.87,2.97,0.67,0.07,1.74,7.87,2.97,0.67
Japan,2021,0.09,2.07,9.39,3.3099999999999996,0.21,0.09,2.07,9.39,3.31,0.21
Japan,2022,0.12,1.39,9.73,3.4299999999999997,1.71,0.12,1.39,9.73,3.43,1.71
Japan,2023,0.22,2.02,10.06,3.9,2.12,0.22,2.02,10.06,3.9,2.12
Lithuania,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,2006,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01
Lithuania,2007,0.0,0.02,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.01
Lithuania,2008,0.0,0.02,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.01
Lithuania,2009,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01
Lithuania,2010,0.0,0.02,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.01
Lithuania,2011,0.0,0.02,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.01
Lithuania,2012,0.0,0.02,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.01
Lithuania,2013,0.0,0.02,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.01
Lithuania,2014,0.0,0.01,0.01,0.01,0.02,0.0,0.01,0.01,0.01,0.02
Lithuania,2015,0.0,0.01,0.01,0.01,0.02,0.0,0.01,0.01,0.01,0.02
Lithuania,2016,0.0,0.01,0.01,0.01,0.02,0.0,0.01,0.01,0.01,0.02
Lithuania,2017,0.0,0.01,0.01,0.02,0.02,0.0,0.01,0.01,0.02,0.02
Lithuania,2018,0.0,0.01,0.01,0.02,0.02,0.0,0.01,0.01,0.02,0.02
Lithuania,2019,0.0,0.01,0.01,0.02,0.02,0.0,0.01,0.01,0.02,0.02
Lithuania,2020,0.0,0.01,0.02,0.02,0.03,0.0,0.01,0.02,0.02,0.03
Lithuania,2021,0.0,0.01,0.02,0.02,0.03,0.0,0.01,0.02,0.02,0.03
Lithuania,2022,0.0,0.01,0.02,0.1,0.1,0.0,0.01,0.02,0.1,0.1
Lithuania,2023,0.0,0.01,0.02,0.06,0.12,0.0,0.01,0.02,0.06,0.12
Luxembourg,2000,0.0,0.03,0.05,0.01,0.03,0.0,0.03,0.05,0.01,0.03
Luxembourg,2001,0.0,0.03,0.05,0.03,0.03,0.0,0.03,0.05,0.03,0.03
Luxembourg,2002,0.0,0.04,0.05,0.02,0.03,0.0,0.04,0.05,0.02,0.03
Luxembourg,2003,0.0,0.04,0.07,0.04,0.04,0.0,0.04,0.07,0.04,0.04
Luxembourg,2004,0.0,0.05,0.1,0.04,0.04,0.0,0.05,0.1,0.04,0.04
Luxembourg,2005,0.0,0.06,0.11,0.04,0.04,0.0,0.06,0.11,0.04,0.04
Luxembourg,2006,0.0,0.07,0.12,0.05,0.05,0.0,0.07,0.12,0.05,0.05
Luxembourg,2007,0.0,0.1,0.14,0.07,0.06,0.0,0.1,0.14,0.07,0.06
Luxembourg,2008,0.0,0.11,0.16,0.08,0.07,0.0,0.11,0.16,0.08,0.07
Luxembourg,2009,0.0,0.1,0.15,0.09,0.07,0.0,0.1,0.15,0.09,0.07
Luxembourg,2010,0.0,0.1,0.15,0.08,0.06,0.0,0.1,0.15,0.08,0.06
Luxembourg,2011,0.0,0.1,0.14,0.1,0.06,0.0,0.1,0.14,0.1,0.06
Luxembourg,2012,0.0,0.09,0.14,0.1,0.07,0.0,0.09,0.14,0.1,0.07
Luxembourg,2013,0.0,0.11,0.15,0.1,0.06,0.0,0.11,0.15,0.1,0.06
Luxembourg,2014,0.0,0.12,0.15,0.1,0.05,0.0,0.12,0.15,0.1,0.05
Luxembourg,2015,0.0,0.1,0.13,0.09,0.04,0.0,0.1,0.13,0.09,0.04
Luxembourg,2016,0.0,0.11,0.13,0.1,0.05,0.0,0.11,0.13,0.1,0.05
Luxembourg,2017,0.0,0.13,0.13,0.11,0.04,0.0,0.13,0.13,0.11,0.04
Luxembourg,2018,0.0,0.15,0.16,0.12,0.04,0.0,0.15,0.16,0.12,0.04
Luxembourg,2019,0.0,0.14,0.15,0.14,0.04,0.0,0.14,0.15,0.14,0.04
Luxembourg,2020,0.0,0.15,0.13,0.12,0.04,0.0,0.15,0.13,0.12,0.04
Luxembourg,2021,0.0,0.17,0.17,0.14,0.05,0.0,0.17,0.17,0.14,0.05
Luxembourg,2022,0.0,0.16,0.14,0.15,0.06,0.0,0.16,0.14,0.15,0.06
Luxembourg,2023,0.0,0.16,0.16,0.17,0.08,0.0,0.16,0.16,0.17,0.08
Netherlands,2000,0.02,0.47,0.82,1.16,0.62,0.02,0.47,0.82,1.16,0.62
Netherlands,2001,0.03,0.68,1.08,0.58,0.71,0.03,0.68,1.08,0.58,0.71
Netherlands,2002,0.01,0.79,1.05,0.79,0.6,0.01,0.79,1.05,0.79,0.6
Netherlands,2003,0.01,0.99,1.1,1.23,0.62,0.01,0.99,1.1,1.23,0.62
Netherlands,2004,0.02,1.13,1.17,1.14,0.73,0.02,1.13,1.17,1.14,0.73
Netherlands,2005,0.01,1.15,1.64,1.41,0.87,0.01,1.15,1.64,1.41,0.87
Netherlands,2006,0.02,0.94,1.34,2.54,0.57,0.02,0.94,1.34,2.54,0.57
Netherlands,2007,0.02,1.3,1.64,2.6,0.62,0.02,1.3,1.64,2.6,0.62
Netherlands,2008,0.02,1.43,1.49,3.24,0.71,0.02,1.43,1.49,3.24,0.71
Netherlands,2009,0.02,1.17,1.26,3.21,0.65,0.02,1.17,1.26,3.21,0.65
Netherlands,2010,0.02,1.44,1.05,3.25,0.48,0.02,1.44,1.05,3.25,0.48
Netherlands,2011,0.01,1.02,1.28,3.34,0.59,0.01,1.02,1.28,3.34,0.59
Netherlands,2012,0.01,0.86,0.94,3.2,0.4,0.01,0.86,0.94,3.2,0.4
Netherlands,2013,0.01,1.06,0.95,3.04,0.37,0.01,1.06,0.95,3.04,0.37
Netherlands,2014,0.01,0.9,0.75,3.56,0.32,0.01,0.9,0.75,3.56,0.32
Netherlands,2015,0.0,0.83,0.88,3.68,0.3,0.0,0.83,0.88,3.68,0.3
Netherlands,2016,0.0,0.92,0.99,2.6,0.44,0.0,0.92,0.99,2.6,0.44
Netherlands,2017,0.01,0.87,0.69,3.03,0.32,0.01,0.87,0.69,3.03,0.32
Netherlands,2018,0.0,1.08,0.99,3.2,0.33,0.0,1.08,0.99,3.2,0.33
Netherlands,2019,0.0,0.99,0.9,2.9099999999999997,0.29,0.0,0.99,0.9,2.91,0.29
Netherlands,2020,0.0,0.91,0.78,3.16,0.34,0.0,0.91,0.78,3.16,0.34
Netherlands,2021,0.0,0.76,0.7,3.3,0.31,0.0,0.76,0.7,3.3,0.31
Netherlands,2022,0.0,0.91,0.79,3.82,0.78,0.0,0.91,0.79,3.82,0.78
Netherlands,2023,0.0,0.96,0.81,4.25,1.16,0.0,0.96,0.81,4.25,1.16
New Zealand,2000,0.0,0.01,0.05,0.04,0.02,0.0,0.01,0.05,0.04,0.02
New Zealand,2001,0.0,0.01,0.05,0.04,0.02,0.0,0.01,0.05,0.04,0.02
New Zealand,2002,0.0,0.01,0.04,0.04,0.02,0.0,0.01,0.04,0.04,0.02
New Zealand,2003,0.0,0.01,0.06,0.05,0.03,0.0,0.01,0.06,0.05,0.03
New Zealand,2004,0.0,0.03,0.08,0.06,0.03,0.0,0.03,0.08,0.06,0.03
New Zealand,2005,0.0,0.03,0.08,0.11000000000000001,0.04,0.0,0.03,0.08,0.11,0.04
New Zealand,2006,0.0,0.02,0.1,0.09000000000000001,0.04,0.0,0.02,0.1,0.09,0.04
New Zealand,2007,0.0,0.02,0.11,0.12,0.05,0.0,0.02,0.11,0.12,0.05
New Zealand,2008,0.0,0.02,0.12,0.14,0.04,0.0,0.02,0.12,0.14,0.04
New Zealand,2009,0.0,0.02,0.13,0.11,0.03,0.0,0.02,0.13,0.11,0.03
New Zealand,2010,0.0,0.02,0.14,0.14,0.03,0.0,0.02,0.14,0.14,0.03
New Zealand,2011,0.0,0.03,0.16,0.16999999999999998,0.05,0.0,0.03,0.16,0.17,0.05
New Zealand,2012,0.0,0.03,0.16,0.17,0.05,0.0,0.03,0.16,0.17,0.05
New Zealand,2013,0.0,0.03,0.18,0.19,0.04,0.0,0.03,0.18,0.19,0.04
New Zealand,2014,0.0,0.03,0.19,0.2,0.06,0.0,0.03,0.19,0.2,0.06
New Zealand,2015,0.0,0.02,0.17,0.17,0.06,0.0,0.02,0.17,0.17,0.06
New Zealand,2016,0.0,0.02,0.16,0.17,0.06,0.0,0.02,0.16,0.17,0.06
New Zealand,2017,0.0,0.04,0.16,0.18,0.06,0.0,0.04,0.16,0.18,0.06
New Zealand,2018,0.0,0.03,0.19,0.24000000000000002,0.07,0.0,0.03,0.19,0.24,0.07
New Zealand,2019,0.0,0.03,0.18,0.24,0.06,0.0,0.03,0.18,0.24,0.06
New Zealand,2020,0.0,0.03,0.19,0.2,0.06,0.0,0.03,0.19,0.2,0.06
New Zealand,2021,0.0,0.04,0.22,0.26,0.13,0.0,0.04,0.22,0.26,0.13
New Zealand,2022,0.0,0.03,0.14,0.26,0.05,0.0,0.03,0.14,0.26,0.05
New Zealand,2023,0.0,0.04,0.22,0.36,0.1,0.0,0.04,0.22,0.36,0.1
Norway,2000,0.01,0.26,0.39,0.34,0.24,0.01,0.26,0.39,0.34,0.24
Norway,2001,0.02,0.28,0.45,0.35,0.21,0.02,0.28,0.45,0.35,0.21
Norway,2002,0.02,0.45,0.53,0.41,0.25,0.02,0.45,0.53,0.41,0.25
Norway,2003,0.02,0.56,0.61,0.51,0.33,0.02,0.56,0.61,0.51,0.33
Norway,2004,0.02,0.61,0.67,0.6,0.29,0.02,0.61,0.67,0.6,0.29
Norway,2005,0.04,0.72,0.88,0.8,0.34,0.04,0.72,0.88,0.8,0.34
Norway,2006,0.03,0.77,0.86,0.96,0.29,0.03,0.77,0.86,0.96,0.29
Norway,2007,0.04,0.89,1.04,1.29,0.46,0.04,0.89,1.04,1.29,0.46
Norway,2008,0.04,0.99,1.09,1.53,0.33,0.04,0.99,1.09,1.53,0.33
Norway,2009,0.02,0.86,0.96,1.93,0.3,0.02,0.86,0.96,1.93,0.3
Norway,2010,0.05,0.92,1.11,1.88,0.36,0.05,0.92,1.11,1.88,0.36
Norway,2011,0.04,1.04,1.16,2.02,0.43,0.04,1.04,1.16,2.02,0.43
Norway,2012,0.04,0.96,1.11,2.07,0.46,0.04,0.96,1.11,2.07,0.46
Norway,2013,0.02,1.15,1.14,2.18,0.99,0.02,1.15,1.14,2.18,0.99
Norway,2014,0.1,1.09,1.04,2.32,0.47,0.1,1.09,1.04,2.32,0.47
Norway,2015,0.01,0.84,0.82,2.08,0.44,0.01,0.84,0.82,2.08,0.44
Norway,2016,0.01,0.89,0.78,2.22,0.42,0.01,0.89,0.78,2.22,0.42
Norway,2017,0.01,0.99,0.85,1.84,0.38,0.01,0.99,0.85,1.84,0.38
Norway,2018,0.0,1.05,0.83,1.95,0.38,0.0,1.05,0.83,1.95,0.38
Norway,2019,0.05,1.04,0.75,1.98,0.37,0.05,1.04,0.75,1.98,0.37
Norway,2020,0.01,1.03,0.76,1.9,0.37,0.01,1.03,0.76,1.9,0.37
Norway,2021,0.01,1.12,0.84,2.23,0.37,0.01,1.12,0.84,2.23,0.37
Norway,2022,0.01,1.01,0.76,2.3699999999999997,0.92,0.01,1.01,0.76,2.37,0.92
Norway,2023,0.0,1.05,0.77,2.23,1.14,0.0,1.05,0.77,2.23,1.14
Poland,2000,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01
Poland,2001,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
Poland,2002,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
Poland,2003,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.01,0.0,0.02
Poland,2004,0.0,0.03,0.03,0.02,0.03,0.0,0.03,0.03,0.02,0.03
Poland,2005,0.0,0.04,0.06,0.03,0.07,0.0,0.04,0.06,0.03,0.07
Poland,2006,0.0,0.04,0.16,0.03,0.06,0.0,0.04,0.16,0.03,0.06
Poland,2007,0.0,0.05,0.1,0.04,0.16,0.0,0.05,0.1,0.04,0.16
Poland,2008,0.01,0.08,0.11,0.06,0.12,0.01,0.08,0.11,0.06,0.12
Poland,2009,0.0,0.07,0.09,0.07,0.14,0.0,0.07,0.09,0.07,0.14
Poland,2010,0.0,0.08,0.09,0.06,0.14,0.0,0.08,0.09,0.06,0.14
Poland,2011,0.0,0.06,0.09,0.07,0.2,0.0,0.06,0.09,0.07,0.2
Poland,2012,0.0,0.06,0.09,0.07,0.19,0.0,0.06,0.09,0.07,0.19
Poland,2013,0.0,0.07,0.14,0.08,0.18,0.0,0.07,0.14,0.08,0.18
Poland,2014,0.0,0.1,0.11,0.07,0.17,0.0,0.1,0.11,0.07,0.17
Poland,2015,0.0,0.09,0.12,0.07,0.15,0.0,0.09,0.12,0.07,0.15
Poland,2016,0.0,0.14,0.17,0.09,0.2,0.0,0.14,0.17,0.09,0.2
Poland,2017,0.0,0.1,0.13,0.17,0.26,0.0,0.1,0.13,0.17,0.26
Poland,2018,0.0,0.1,0.26,0.14,0.26,0.0,0.1,0.26,0.14,0.26
Poland,2019,0.0,0.1,0.19,0.15,0.29,0.0,0.1,0.19,0.15,0.29
Poland,2020,0.0,0.09,0.2,0.15,0.34,0.0,0.09,0.2,0.15,0.34
Poland,2021,0.0,0.11,0.27,0.18,0.38,0.0,0.11,0.27,0.18,0.38
